id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
404.0,tomaszgozdz,"... że żadne zmiany w prawie bez zgody Nawrockiego nie zajdą. I że żaden pisowiec bez zgody Nawrockiego nie będzie ukarany. To jest dość spory koszt tego, że w tej koalicji każdy ma EGO i chce być PODMIOTOWY Pięknie pokazaliście ego i podmiotowość, a prezydentem jest Nawrocki.",0,0,0,0,"Jun 3, 2025 · 1:02 PM UTC",,,,,,"... że żadne zmiany w prawie bez zgody Nawrockiego nie zajdą. I że żaden pisowiec bez zgody Nawrockiego nie będzie ukarany. To jest dość spory koszt tego, że w tej koalicji każdy ma EGO i chce być PODMIOTOWY Pięknie pokazaliście ego i podmiotowość, a prezydentem jest Nawrocki.","... że żadne zmiany w prawie bez zgody Nawrockiego nie zajdą. I że żaden pisowiec bez zgody Nawrockiego nie będzie ukarany. To jest dość spory koszt tego, że w tej koalicji każdy ma EGO i chce być PODMIOTOWY Pięknie pokazaliście ego i podmiotowość, a prezydentem jest Nawrocki.",,,,0,0,0,277,47,0.0,niski,29,0.8713554216335075
369.0,irekojioji11514,Prezydent elekt Karol Nawrocki...Dorotko wyluzuj już.,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Prezydent elekt Karol Nawrocki...Dorotko wyluzuj już.,Prezydent elekt Karol Nawrocki...Dorotko wyluzuj już.,,,,0,0,0,53,6,0.0,niski,29,1.0
479.0,tygryskowa_pani,"Nawrocki nie będzie moim prezydentem. Nazywać tego szemranego człowieka tym mianem, to potwarz dla mojej Ojczyzny.",0,16,0,16,"Jun 2, 2025 · 3:51 PM UTC",,,,,,"Nawrocki nie będzie moim prezydentem. Nazywać tego szemranego człowieka tym mianem, to potwarz dla mojej Ojczyzny.","Nawrocki nie będzie moim prezydentem. Nazywać tego szemranego człowieka tym mianem, to potwarz dla mojej Ojczyzny.",,,,0,0,0,114,16,16.0,średni,29,1.0
32.0,edgeserpent,"Konstytucja stanowi, że Radę Gabinetową zwołuje się w szczególnych przypadkach. Nawrocki niewątpliwie jest takim szczególnym przypadkiem.",0,1,0,1,27-08-25,2025-08-27,2025.0,8.0,27.0,0.0,"Konstytucja stanowi, że Radę Gabinetową zwołuje się w szczególnych przypadkach. Nawrocki niewątpliwie jest takim szczególnym przypadkiem.","Konstytucja stanowi, że Radę Gabinetową zwołuje się w szczególnych przypadkach. Nawrocki niewątpliwie jest takim szczególnym przypadkiem.",,,,0,0,0,137,16,1.0,średni,29,0.7613276954143362
5.0,edward66g,"Prezydent Nawrocki chce rewolucji w dyplomacji? ""Mamy taką możliwość""Będzie powoływał jak się naćpa po tym alfonsie sutenerze oszuście złodzieju bandycie brał udział w bójkach Można się wszystkiego spodziewać To samozwaniec nie wiadomo ile dostał głosów i boi si ich policzenia",0,0,0,0,07-10-25,2025-10-07,2025.0,10.0,7.0,0.0,"Prezydent Nawrocki chce rewolucji w dyplomacji? ""Mamy taką możliwość""Będzie powoływał jak się naćpa po tym alfonsie sutenerze oszuście złodzieju bandycie brał udział w bójkach Można się wszystkiego spodziewać To samozwaniec nie wiadomo ile dostał głosów i boi si ich policzenia","Prezydent Nawrocki chce rewolucji w dyplomacji? ""Mamy taką możliwość""Będzie powoływał jak się naćpa po tym alfonsie sutenerze oszuście złodzieju bandycie brał udział w bójkach Można się wszystkiego spodziewać To samozwaniec nie wiadomo ile dostał głosów i boi si ich policzenia",,,,0,0,0,277,40,0.0,niski,29,0.9353130689898818
513.0,gross_major,"No widzisz ale to właśnie dlatego, że to PO atakowało Nawrockiego a Nawrocki brał to na klatę za chwilę będzie prezydentem. Bądźmy ponad nimi bo poza chwilą satysfakcji nie ma z tego żadnej korzyści.",0,0,0,0,"Jun 4, 2025 · 4:59 PM UTC",,,,,,"No widzisz ale to właśnie dlatego, że to PO atakowało Nawrockiego a Nawrocki brał to na klatę za chwilę będzie prezydentem. Bądźmy ponad nimi bo poza chwilą satysfakcji nie ma z tego żadnej korzyści.","No widzisz ale to właśnie dlatego, że to PO atakowało Nawrockiego a Nawrocki brał to na klatę za chwilę będzie prezydentem. Bądźmy ponad nimi bo poza chwilą satysfakcji nie ma z tego żadnej korzyści.",,,,0,0,0,199,34,0.0,niski,29,1.0
168.0,hubnerrmax,"Ludzie, prawie 600 000 zasięgu! Cieszy najbardziej z jednego względu. Ludzie są bardzo zainteresowani co zrobi, robi i planuje Prezydent Elekt, Karol Nawrocki. Bardzo za to dziękuję!",0,23,3,26,"Jun 5, 2025 · 8:45 AM UTC",,,,,,"Ludzie, prawie 600 000 zasięgu! Cieszy najbardziej z jednego względu. Ludzie są bardzo zainteresowani co zrobi, robi i planuje Prezydent Elekt, Karol Nawrocki. Bardzo za to dziękuję!","Ludzie, prawie 600 000 zasięgu! Cieszy najbardziej z jednego względu. Ludzie są bardzo zainteresowani co zrobi, robi i planuje Prezydent Elekt, Karol Nawrocki. Bardzo za to dziękuję!",,,,0,0,0,182,27,7.67,średni,29,1.0
152.0,wojciechgnat,"Warto było tu być w tak szczególnym dniu! Karol Nawrocki został przywitany dziś przez Polaków po królewsku! 👑🇵🇱 Panie Prezydencie, powodzenia!",1,22,6,29,06-08-25,2025-08-06,2025.0,8.0,6.0,0.0,"Warto było tu być w tak szczególnym dniu! Karol Nawrocki został przywitany dziś przez Polaków po królewsku! 👑🇵🇱 Panie Prezydencie, powodzenia!","Warto było tu być w tak szczególnym dniu! Karol Nawrocki został przywitany dziś przez Polaków po królewsku! 👑🇵🇱 Panie Prezydencie, powodzenia!",,,,0,0,0,142,21,3.67,średni,29,0.9161769110286554
168.0,86marciniusz,Karol Nawrocki silny Prezydent na ciężkie czasy!,0,0,0,0,11-09-25,2025-09-11,2025.0,9.0,11.0,0.0,Karol Nawrocki silny Prezydent na ciężkie czasy!,Karol Nawrocki silny Prezydent na ciężkie czasy!,,,,0,0,0,48,7,0.0,niski,29,1.0
35.0,dudekmacie40404,Ciekawe co zrobicie jak Prezydent Nawrocki skieruje ustawę budżetową do Trybunału Konstytucyjnego? Zmieścicie się z długiem publicznym?,0,1,0,1,05-08-25,2025-08-05,2025.0,8.0,5.0,0.0,Ciekawe co zrobicie jak Prezydent Nawrocki skieruje ustawę budżetową do Trybunału Konstytucyjnego? Zmieścicie się z długiem publicznym?,Ciekawe co zrobicie jak Prezydent Nawrocki skieruje ustawę budżetową do Trybunału Konstytucyjnego? Zmieścicie się z długiem publicznym?,,,,0,0,0,135,17,1.0,średni,29,0.9611704747961628
