id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
201.0,rockitime,Mike Nawrocki @Rockitime 16s Replying to @PapiTrumpo GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Mike Nawrocki 16s Replying to GIF,Mike Nawrocki 16s Replying to GIF,@Rockitime|@PapiTrumpo,,,2,0,0,33,6,0.0,niski,0,1.0
236.0,rockitime,Mike Nawrocki @Rockitime 31s Replying to @PapiTrumpo GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Mike Nawrocki 31s Replying to GIF,Mike Nawrocki 31s Replying to GIF,@Rockitime|@PapiTrumpo,,,2,0,0,33,6,0.0,niski,0,1.0
273.0,rockitime,Mike Nawrocki @Rockitime 46s Replying to @PapiTrumpo GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Mike Nawrocki 46s Replying to GIF,Mike Nawrocki 46s Replying to GIF,@Rockitime|@PapiTrumpo,,,2,0,0,33,6,0.0,niski,0,1.0
307.0,rockitime,Mike Nawrocki @Rockitime 1m Replying to @PapiTrumpo GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Mike Nawrocki 1m Replying to GIF,Mike Nawrocki 1m Replying to GIF,@Rockitime|@PapiTrumpo,,,2,0,0,32,6,0.0,niski,0,0.4080846997642706
442.0,rockitime,Mike Nawrocki @Rockitime 2m Replying to @PapiTrumpo GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Mike Nawrocki 2m Replying to GIF,Mike Nawrocki 2m Replying to GIF,@Rockitime|@PapiTrumpo,,,2,0,0,32,6,0.0,niski,0,0.5692177747665386
26.0,naprawnik,engele merkel #byle Nie trzaskowski retweeted NAPRAWNIK #PILNUJPOLSKI #TeamKasia @Naprawnik 11h 15 116 5 434,5,116,15,136,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,engele merkel byle Nie trzaskowski retweeted NAPRAWNIK PILNUJPOLSKI TeamKasia 11h 15 116 5 434,engele merkel Nie trzaskowski retweeted NAPRAWNIK 11h 15 116 5 434,@Naprawnik,#byle|#PILNUJPOLSKI|#TeamKasia,,1,3,0,94,14,7.73,wysoki,0,0.0030573030283691
502.0,emilabogusz1958,"engele merkel #byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ #SilniDuchem @emilabogusz1958 18h 28 213 4 1,069",4,213,28,245,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"engele merkel byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ SilniDuchem 18h 28 213 4 1,069","engele merkel Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ 18h 28 213 4 1,069",@emilabogusz1958,#byle|#SilniDuchem,,1,2,0,94,14,7.61,wysoki,0,0.0030573200199319
537.0,emilabogusz1958,"engele merkel #byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ #SilniDuchem @emilabogusz1958 18h 28 214 4 1,070",4,214,28,246,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"engele merkel byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ SilniDuchem 18h 28 214 4 1,070","engele merkel Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ 18h 28 214 4 1,070",@emilabogusz1958,#byle|#SilniDuchem,,1,2,0,94,14,7.64,wysoki,0,0.0030573192144709
568.0,emilabogusz1958,"engele merkel #byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ #SilniDuchem @emilabogusz1958 18h 28 214 4 1,071",4,214,28,246,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"engele merkel byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ SilniDuchem 18h 28 214 4 1,071","engele merkel Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ 18h 28 214 4 1,071",@emilabogusz1958,#byle|#SilniDuchem,,1,2,0,94,14,7.64,wysoki,0,0.0030573548430143
694.0,emilabogusz1958,"engele merkel #byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ #SilniDuchem @emilabogusz1958 18h 28 214 4 1,072",4,214,28,246,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"engele merkel byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ SilniDuchem 18h 28 214 4 1,072","engele merkel Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ 18h 28 214 4 1,072",@emilabogusz1958,#byle|#SilniDuchem,,1,2,0,94,14,7.64,wysoki,0,0.0030573486474413
759.0,emilabogusz1958,"engele merkel #byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ #SilniDuchem @emilabogusz1958 18h 28 214 4 1,073",4,214,28,246,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"engele merkel byle Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ SilniDuchem 18h 28 214 4 1,073","engele merkel Nie trzaskowski retweeted Emilia Bogusz🇵🇱💯❤️ 18h 28 214 4 1,073",@emilabogusz1958,#byle|#SilniDuchem,,1,2,0,94,14,7.64,wysoki,0,0.0030572083978656
308.0,kaszlyk_rebirth,Kaszlyk @Kaszlyk_rebirth 5s Replying to @Ismetremy @trzaskowski_ GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Kaszlyk 5s Replying to GIF,Kaszlyk 5s Replying to GIF,@Kaszlyk_rebirth|@Ismetremy|@trzaskowski_,,,3,0,0,26,5,0.0,niski,0,1.0
343.0,kaszlyk_rebirth,Kaszlyk @Kaszlyk_rebirth 21s Replying to @Ismetremy @trzaskowski_ GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Kaszlyk 21s Replying to GIF,Kaszlyk 21s Replying to GIF,@Kaszlyk_rebirth|@Ismetremy|@trzaskowski_,,,3,0,0,27,5,0.0,niski,0,0.9391345919210246
375.0,kaszlyk_rebirth,Kaszlyk @Kaszlyk_rebirth 36s Replying to @Ismetremy @trzaskowski_ GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Kaszlyk 36s Replying to GIF,Kaszlyk 36s Replying to GIF,@Kaszlyk_rebirth|@Ismetremy|@trzaskowski_,,,3,0,0,27,5,0.0,niski,0,1.0
407.0,kaszlyk_rebirth,Kaszlyk @Kaszlyk_rebirth 49s Replying to @Ismetremy @trzaskowski_ GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Kaszlyk 49s Replying to GIF,Kaszlyk 49s Replying to GIF,@Kaszlyk_rebirth|@Ismetremy|@trzaskowski_,,,3,0,0,27,5,0.0,niski,0,0.8159420832852002
437.0,kaszlyk_rebirth,Kaszlyk @Kaszlyk_rebirth 1m Replying to @Ismetremy @trzaskowski_ GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Kaszlyk 1m Replying to GIF,Kaszlyk 1m Replying to GIF,@Kaszlyk_rebirth|@Ismetremy|@trzaskowski_,,,3,0,0,26,5,0.0,niski,0,1.0
570.0,kaszlyk_rebirth,Kaszlyk @Kaszlyk_rebirth 2m Replying to @Ismetremy @trzaskowski_ GIF,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Kaszlyk 2m Replying to GIF,Kaszlyk 2m Replying to GIF,@Kaszlyk_rebirth|@Ismetremy|@trzaskowski_,,,3,0,0,26,5,0.0,niski,0,1.0
47.0,wlogra1,Włodzimierz Grabarczyk @wlogra1 1m Replying to @trzaskowski_ @donaldtusk GIF,0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,Włodzimierz Grabarczyk 1m Replying to GIF,Włodzimierz Grabarczyk 1m Replying to GIF,@wlogra1|@trzaskowski_|@donaldtusk,,,3,0,0,41,6,0.0,niski,0,1.0
188.0,wlogra1,Włodzimierz Grabarczyk @wlogra1 2m Replying to @trzaskowski_ @donaldtusk GIF,0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,Włodzimierz Grabarczyk 2m Replying to GIF,Włodzimierz Grabarczyk 2m Replying to GIF,@wlogra1|@trzaskowski_|@donaldtusk,,,3,0,0,41,6,0.0,niski,0,1.0
330.0,wlogra1,Włodzimierz Grabarczyk @wlogra1 3m Replying to @trzaskowski_ @donaldtusk GIF,0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,Włodzimierz Grabarczyk 3m Replying to GIF,Włodzimierz Grabarczyk 3m Replying to GIF,@wlogra1|@trzaskowski_|@donaldtusk,,,3,0,0,41,6,0.0,niski,0,1.0
286.0,mateuszhol,Mateusz W @MateuszHol 13s Replying to @trzaskowski_ @LegiaKosz @warszawa GIF,0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,Mateusz W 13s Replying to GIF,Mateusz W 13s Replying to GIF,@MateuszHol|@trzaskowski_|@LegiaKosz|@warszawa,,,4,0,0,29,6,0.0,niski,0,1.0
318.0,mateuszhol,Mateusz W @MateuszHol 26s Replying to @trzaskowski_ @LegiaKosz @warszawa GIF,0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,Mateusz W 26s Replying to GIF,Mateusz W 26s Replying to GIF,@MateuszHol|@trzaskowski_|@LegiaKosz|@warszawa,,,4,0,0,29,6,0.0,niski,0,1.0
348.0,mateuszhol,Mateusz W @MateuszHol 39s Replying to @trzaskowski_ @LegiaKosz @warszawa GIF,0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,Mateusz W 39s Replying to GIF,Mateusz W 39s Replying to GIF,@MateuszHol|@trzaskowski_|@LegiaKosz|@warszawa,,,4,0,0,29,6,0.0,niski,0,1.0
380.0,mateuszhol,Mateusz W @MateuszHol 55s Replying to @trzaskowski_ @LegiaKosz @warszawa GIF,0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,Mateusz W 55s Replying to GIF,Mateusz W 55s Replying to GIF,@MateuszHol|@trzaskowski_|@LegiaKosz|@warszawa,,,4,0,0,29,6,0.0,niski,0,1.0
414.0,mateuszhol,Mateusz W @MateuszHol 1m Replying to @trzaskowski_ @LegiaKosz @warszawa GIF,0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,Mateusz W 1m Replying to GIF,Mateusz W 1m Replying to GIF,@MateuszHol|@trzaskowski_|@LegiaKosz|@warszawa,,,4,0,0,28,6,0.0,niski,0,0.2126523715003319
30.0,ryszardogi,Rychu 🐈‍⬛ @RyszardOgi 2s Replying to @trzaskowski_ @warszawa GIF,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Rychu 🐈‍⬛ 2s Replying to GIF,Rychu 🐈‍⬛ 2s Replying to GIF,@RyszardOgi|@trzaskowski_|@warszawa,,,3,0,0,28,6,0.0,niski,0,0.4473834245599716
64.0,ryszardogi,Rychu 🐈‍⬛ @RyszardOgi 16s Replying to @trzaskowski_ @warszawa GIF,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Rychu 🐈‍⬛ 16s Replying to GIF,Rychu 🐈‍⬛ 16s Replying to GIF,@RyszardOgi|@trzaskowski_|@warszawa,,,3,0,0,29,6,0.0,niski,0,1.0
96.0,ryszardogi,Rychu 🐈‍⬛ @RyszardOgi 31s Replying to @trzaskowski_ @warszawa GIF,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Rychu 🐈‍⬛ 31s Replying to GIF,Rychu 🐈‍⬛ 31s Replying to GIF,@RyszardOgi|@trzaskowski_|@warszawa,,,3,0,0,29,6,0.0,niski,0,1.0
127.0,ryszardogi,Rychu 🐈‍⬛ @RyszardOgi 46s Replying to @trzaskowski_ @warszawa GIF,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Rychu 🐈‍⬛ 46s Replying to GIF,Rychu 🐈‍⬛ 46s Replying to GIF,@RyszardOgi|@trzaskowski_|@warszawa,,,3,0,0,29,6,0.0,niski,0,1.0
160.0,ryszardogi,Rychu 🐈‍⬛ @RyszardOgi 1m Replying to @trzaskowski_ @warszawa GIF,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Rychu 🐈‍⬛ 1m Replying to GIF,Rychu 🐈‍⬛ 1m Replying to GIF,@RyszardOgi|@trzaskowski_|@warszawa,,,3,0,0,28,6,0.0,niski,0,1.0
301.0,ryszardogi,Rychu 🐈‍⬛ @RyszardOgi 2m Replying to @trzaskowski_ @warszawa GIF,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Rychu 🐈‍⬛ 2m Replying to GIF,Rychu 🐈‍⬛ 2m Replying to GIF,@RyszardOgi|@trzaskowski_|@warszawa,,,3,0,0,28,6,0.0,niski,0,1.0
392.0,raging_bull_ct_,Raging Bull @Raging_Bull_CT_ 2s Replying to @mkokoszka86 @adam_abramczyk @trzaskowski_ GIF,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Raging Bull 2s Replying to GIF,Raging Bull 2s Replying to GIF,@Raging_Bull_CT_|@mkokoszka86|@adam_abramczyk|@trzaskowski_,,,4,0,0,30,6,0.0,niski,0,0.7113782767549339
419.0,raging_bull_ct_,Raging Bull @Raging_Bull_CT_ 15s Replying to @mkokoszka86 @adam_abramczyk @trzaskowski_ GIF,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Raging Bull 15s Replying to GIF,Raging Bull 15s Replying to GIF,@Raging_Bull_CT_|@mkokoszka86|@adam_abramczyk|@trzaskowski_,,,4,0,0,31,6,0.0,niski,0,0.6603216536556635
445.0,raging_bull_ct_,Raging Bull @Raging_Bull_CT_ 29s Replying to @mkokoszka86 @adam_abramczyk @trzaskowski_ GIF,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Raging Bull 29s Replying to GIF,Raging Bull 29s Replying to GIF,@Raging_Bull_CT_|@mkokoszka86|@adam_abramczyk|@trzaskowski_,,,4,0,0,31,6,0.0,niski,0,0.7126746194717773
470.0,raging_bull_ct_,Raging Bull @Raging_Bull_CT_ 42s Replying to @mkokoszka86 @adam_abramczyk @trzaskowski_ GIF,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Raging Bull 42s Replying to GIF,Raging Bull 42s Replying to GIF,@Raging_Bull_CT_|@mkokoszka86|@adam_abramczyk|@trzaskowski_,,,4,0,0,31,6,0.0,niski,0,0.7157878465696719
499.0,raging_bull_ct_,Raging Bull @Raging_Bull_CT_ 57s Replying to @mkokoszka86 @adam_abramczyk @trzaskowski_ GIF,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Raging Bull 57s Replying to GIF,Raging Bull 57s Replying to GIF,@Raging_Bull_CT_|@mkokoszka86|@adam_abramczyk|@trzaskowski_,,,4,0,0,31,6,0.0,niski,0,0.7180168828505252
17.0,milikey45,Vasque @Milikey45 3m Replying to @WDragos20635 @IBRiS_PL @NawrockiKn @sikorskiradek @trzaskowski_ @GrzegorzBraun_ @szymon_holownia @OficjalnyJK @onetpl GIF,0,0,0,0,30-07-25,2025-07-30,2025.0,7.0,30.0,0.0,Vasque 3m Replying to GIF,Vasque 3m Replying to GIF,@Milikey45|@WDragos20635|@IBRiS_PL|@NawrockiKn|@sikorskiradek|@trzaskowski_|@GrzegorzBraun_|@szymon_holownia|@OficjalnyJK|@onetpl,,,10,0,0,25,5,0.0,niski,0,1.0
106.0,milikey45,Vasque @Milikey45 4m Replying to @WDragos20635 @IBRiS_PL @NawrockiKn @sikorskiradek @trzaskowski_ @GrzegorzBraun_ @szymon_holownia @OficjalnyJK @onetpl GIF,0,0,0,0,30-07-25,2025-07-30,2025.0,7.0,30.0,0.0,Vasque 4m Replying to GIF,Vasque 4m Replying to GIF,@Milikey45|@WDragos20635|@IBRiS_PL|@NawrockiKn|@sikorskiradek|@trzaskowski_|@GrzegorzBraun_|@szymon_holownia|@OficjalnyJK|@onetpl,,,10,0,0,25,5,0.0,niski,0,1.0
256.0,milikey45,Vasque @Milikey45 5m Replying to @WDragos20635 @IBRiS_PL @NawrockiKn @sikorskiradek @trzaskowski_ @GrzegorzBraun_ @szymon_holownia @OficjalnyJK @onetpl GIF,0,0,0,0,30-07-25,2025-07-30,2025.0,7.0,30.0,0.0,Vasque 5m Replying to GIF,Vasque 5m Replying to GIF,@Milikey45|@WDragos20635|@IBRiS_PL|@NawrockiKn|@sikorskiradek|@trzaskowski_|@GrzegorzBraun_|@szymon_holownia|@OficjalnyJK|@onetpl,,,10,0,0,25,5,0.0,niski,0,1.0
350.0,milikey45,Vasque @Milikey45 6m Replying to @WDragos20635 @IBRiS_PL @NawrockiKn @sikorskiradek @trzaskowski_ @GrzegorzBraun_ @szymon_holownia @OficjalnyJK @onetpl GIF,0,0,0,0,30-07-25,2025-07-30,2025.0,7.0,30.0,0.0,Vasque 6m Replying to GIF,Vasque 6m Replying to GIF,@Milikey45|@WDragos20635|@IBRiS_PL|@NawrockiKn|@sikorskiradek|@trzaskowski_|@GrzegorzBraun_|@szymon_holownia|@OficjalnyJK|@onetpl,,,10,0,0,25,5,0.0,niski,0,1.0
27.0,okrutnikjeden,Okrutnik @OkrutnikJeden 7m Replying to @LM1387 @maggiepython @trzaskowski_ 1 GIF,0,0,0,0,02-08-25,2025-08-02,2025.0,8.0,2.0,0.0,Okrutnik 7m Replying to 1 GIF,Okrutnik 7m Replying to 1 GIF,@OkrutnikJeden|@LM1387|@maggiepython|@trzaskowski_,,,4,0,0,29,6,0.0,niski,0,1.0
128.0,okrutnikjeden,Okrutnik @OkrutnikJeden 8m Replying to @LM1387 @maggiepython @trzaskowski_ 1 GIF,0,0,0,0,02-08-25,2025-08-02,2025.0,8.0,2.0,0.0,Okrutnik 8m Replying to 1 GIF,Okrutnik 8m Replying to 1 GIF,@OkrutnikJeden|@LM1387|@maggiepython|@trzaskowski_,,,4,0,0,29,6,0.0,niski,0,1.0
250.0,okrutnikjeden,Okrutnik @OkrutnikJeden 9m Replying to @LM1387 @maggiepython @trzaskowski_ 1 GIF,0,0,0,0,02-08-25,2025-08-02,2025.0,8.0,2.0,0.0,Okrutnik 9m Replying to 1 GIF,Okrutnik 9m Replying to 1 GIF,@OkrutnikJeden|@LM1387|@maggiepython|@trzaskowski_,,,4,0,0,29,6,0.0,niski,0,1.0
12.0,nal3rt,japierdziele_official @NAl3rt 11m Replying to @JzefBonk1 @trzaskowski_ @warszawa GIF,0,0,0,0,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,japierdziele_official 11m Replying to GIF,japierdziele_official 11m Replying to GIF,@NAl3rt|@JzefBonk1|@trzaskowski_|@warszawa,,,4,0,0,41,5,0.0,niski,0,1.0
