id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
268.0,lucyna08305434,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 @Lucyna08305434 14h 51 718 18 2,934",18,718,51,787,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 718 18 2,934","Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 718 18 2,934",@Lucyna08305434,,,1,0,0,71,11,14.08,wysoki,1,1.0
306.0,lucyna08305434,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 @Lucyna08305434 14h 51 718 18 2,935",18,718,51,787,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 718 18 2,935","Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 718 18 2,935",@Lucyna08305434,,,1,0,0,71,11,14.08,wysoki,1,1.0
343.0,lucyna08305434,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 @Lucyna08305434 14h 51 718 18 2,936",18,718,51,787,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 718 18 2,936","Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 718 18 2,936",@Lucyna08305434,,,1,0,0,71,11,14.08,wysoki,1,1.0
422.0,lucyna08305434,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 @Lucyna08305434 14h 51 719 18 2,938",18,719,51,788,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 719 18 2,938","Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 719 18 2,938",@Lucyna08305434,,,1,0,0,71,11,14.1,wysoki,1,1.0
493.0,lucyna08305434,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 @Lucyna08305434 14h 51 721 18 2,940",18,721,51,790,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 721 18 2,940","Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 721 18 2,940",@Lucyna08305434,,,1,0,0,71,11,14.14,wysoki,1,1.0
530.0,lucyna08305434,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 @Lucyna08305434 14h 51 722 18 2,942",18,722,51,791,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 722 18 2,942","Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 722 18 2,942",@Lucyna08305434,,,1,0,0,71,11,14.16,wysoki,1,1.0
566.0,lucyna08305434,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 @Lucyna08305434 14h 51 722 18 2,944",18,722,51,791,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 722 18 2,944","Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 722 18 2,944",@Lucyna08305434,,,1,0,0,71,11,14.16,wysoki,1,1.0
674.0,lucyna08305434,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 @Lucyna08305434 14h 51 723 18 2,946",18,723,51,792,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 723 18 2,946","Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted lucyna🇵🇱🇵🇱 14h 51 723 18 2,946",@Lucyna08305434,,,1,0,0,71,11,14.18,wysoki,1,1.0
500.0,bigwagwag,Mark Nawrocki retweeted Wun Hung Lo @BigWagWag 17h Replying to @AntiLeftMemes 20 86,0,20,0,20,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,Mark Nawrocki retweeted Wun Hung Lo 17h Replying to 20 86,Mark Nawrocki retweeted Wun Hung Lo 17h Replying to 20 86,@BigWagWag|@AntiLeftMemes,,,2,0,0,57,11,20.0,średni,1,1.0
37.0,mitfoch,Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted Klaus Mitfoch #Nawrocki2025 @mitfoch 23h Replying to @JanGrabiec Koneser Unii Europejskiej @KoneserUnii Jun 20 ❗️BOOOM❗️ Prezes SN zmiażdżył narrację Giertycha i Silnych Razem Enable hls playback 1 18 62,0,18,1,19,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted Klaus Mitfoch Nawrocki2025 23h Replying to Koneser Unii Europejskiej Jun 20 ❗️BOOOM❗️ Prezes SN zmiażdżył narrację Giertycha i Silnych Razem Enable hls playback 1 18 62,Bogumiła# Karol Nawrocki 🇵🇱❤️👊 retweeted Klaus Mitfoch 23h Replying to Koneser Unii Europejskiej Jun 20 ❗️BOOOM❗️ Prezes SN zmiażdżył narrację Giertycha i Silnych Razem Enable hls playback 1 18 62,@mitfoch|@JanGrabiec|@KoneserUnii,#Nawrocki2025,,3,1,0,209,31,18.0,średni,1,1.0
