id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
8.0,rockitime,Mike Nawrocki @Rockitime 15s Replying to @trumplicans2024,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Mike Nawrocki 15s Replying to,Mike Nawrocki 15s Replying to,@Rockitime|@trumplicans2024,,,2,0,0,29,5,0.0,niski,2,1.0
47.0,rockitime,Mike Nawrocki @Rockitime 30s Replying to @trumplicans2024,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Mike Nawrocki 30s Replying to,Mike Nawrocki 30s Replying to,@Rockitime|@trumplicans2024,,,2,0,0,29,5,0.0,niski,2,1.0
90.0,rockitime,Mike Nawrocki @Rockitime 1m Replying to @trumplicans2024,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Mike Nawrocki 1m Replying to,Mike Nawrocki 1m Replying to,@Rockitime|@trumplicans2024,,,2,0,0,28,5,0.0,niski,2,1.0
174.0,antytusk3,ANTYtusk Nasz Prezydent Karol Nawrocki @Antytusk3 10s Replying to @GasewiczJarek,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,ANTYtusk Nasz Prezydent Karol Nawrocki 10s Replying to,ANTYtusk Nasz Prezydent Karol Nawrocki 10s Replying to,@Antytusk3|@GasewiczJarek,,,2,0,0,54,8,0.0,niski,2,1.0
219.0,antytusk3,ANTYtusk Nasz Prezydent Karol Nawrocki @Antytusk3 25s Replying to @GasewiczJarek,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,ANTYtusk Nasz Prezydent Karol Nawrocki 25s Replying to,ANTYtusk Nasz Prezydent Karol Nawrocki 25s Replying to,@Antytusk3|@GasewiczJarek,,,2,0,0,54,8,0.0,niski,2,1.0
260.0,antytusk3,ANTYtusk Nasz Prezydent Karol Nawrocki @Antytusk3 47s Replying to @GasewiczJarek,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,ANTYtusk Nasz Prezydent Karol Nawrocki 47s Replying to,ANTYtusk Nasz Prezydent Karol Nawrocki 47s Replying to,@Antytusk3|@GasewiczJarek,,,2,0,0,54,8,0.0,niski,2,1.0
299.0,antytusk3,ANTYtusk Nasz Prezydent Karol Nawrocki @Antytusk3 1m Replying to @GasewiczJarek,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,ANTYtusk Nasz Prezydent Karol Nawrocki 1m Replying to,ANTYtusk Nasz Prezydent Karol Nawrocki 1m Replying to,@Antytusk3|@GasewiczJarek,,,2,0,0,53,8,0.0,niski,2,1.0
22.0,pawegrzegorczy1,Anty Bąkiewicz Matecki Nawrocki @PaweGrzegorczy1 2m Replying to @BZdrojewski,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Anty Bąkiewicz Matecki Nawrocki 2m Replying to,Anty Bąkiewicz Matecki Nawrocki 2m Replying to,@PaweGrzegorczy1|@BZdrojewski,,,2,0,0,46,7,0.0,niski,2,1.0
311.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 11s Replying to @feufeu3179 @phzero49 @Nephael,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 11s Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 11s Replying to,@ZaworskiAndrze1|@feufeu3179|@phzero49|@Nephael,,,4,0,0,44,8,0.0,niski,2,0.5945769515646213
343.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 25s Replying to @feufeu3179 @phzero49 @Nephael,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 25s Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 25s Replying to,@ZaworskiAndrze1|@feufeu3179|@phzero49|@Nephael,,,4,0,0,44,8,0.0,niski,2,0.4206663161894045
373.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 40s Replying to @feufeu3179 @phzero49 @Nephael,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 40s Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 40s Replying to,@ZaworskiAndrze1|@feufeu3179|@phzero49|@Nephael,,,4,0,0,44,8,0.0,niski,2,0.5945769515646213
405.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 54s Replying to @feufeu3179 @phzero49 @Nephael,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 54s Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 54s Replying to,@ZaworskiAndrze1|@feufeu3179|@phzero49|@Nephael,,,4,0,0,44,8,0.0,niski,2,0.5945769515646213
434.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 1m Replying to @feufeu3179 @phzero49 @Nephael,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 1m Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 1m Replying to,@ZaworskiAndrze1|@feufeu3179|@phzero49|@Nephael,,,4,0,0,43,8,0.0,niski,2,0.5945769515646213
559.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 2m Replying to @feufeu3179 @phzero49 @Nephael,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 2m Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 2m Replying to,@ZaworskiAndrze1|@feufeu3179|@phzero49|@Nephael,,,4,0,0,43,8,0.0,niski,2,0.5945769515646213
690.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 3m Replying to @feufeu3179 @phzero49 @Nephael,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 3m Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 3m Replying to,@ZaworskiAndrze1|@feufeu3179|@phzero49|@Nephael,,,4,0,0,43,8,0.0,niski,2,0.5945769515646213
587.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 11s Replying to @sorcier100_b @phzero49 @Nephael,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 11s Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 11s Replying to,@ZaworskiAndrze1|@sorcier100_b|@phzero49|@Nephael,,,4,0,0,44,8,0.0,niski,2,0.5945769515646213
613.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 23s Replying to @sorcier100_b @phzero49 @Nephael,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 23s Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 23s Replying to,@ZaworskiAndrze1|@sorcier100_b|@phzero49|@Nephael,,,4,0,0,44,8,0.0,niski,2,0.5945769515646213
643.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 37s Replying to @sorcier100_b @phzero49 @Nephael,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 37s Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 37s Replying to,@ZaworskiAndrze1|@sorcier100_b|@phzero49|@Nephael,,,4,0,0,44,8,0.0,niski,2,0.5945769515646213
671.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 51s Replying to @sorcier100_b @phzero49 @Nephael,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 51s Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 51s Replying to,@ZaworskiAndrze1|@sorcier100_b|@phzero49|@Nephael,,,4,0,0,44,8,0.0,niski,2,0.4874856407592963
702.0,zaworskiandrze1,Andrzej 59 # Nawrocki 2025🇵🇱 @ZaworskiAndrze1 1m Replying to @sorcier100_b @phzero49 @Nephael,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Andrzej 59 # Nawrocki 2025🇵🇱 1m Replying to,Andrzej 59 # Nawrocki 2025🇵🇱 1m Replying to,@ZaworskiAndrze1|@sorcier100_b|@phzero49|@Nephael,,,4,0,0,43,8,0.0,niski,2,0.5945769515646213
