id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
7.0,ifritamagda,"Daniel Nawrocki, tak samo jak ojciec, przyjmuje snusy(?) ze skondensowaną nikotyną.",26,98,112,236,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,"Daniel Nawrocki, tak samo jak ojciec, przyjmuje snusy(?) ze skondensowaną nikotyną.","Daniel Nawrocki, tak samo jak ojciec, przyjmuje snusy(?) ze skondensowaną nikotyną.",,,,0,0,0,83,11,0.88,wysoki,3,0.974475896671697
4.0,andruszkiew2,"Bombka to metoda przyjmowania narkotyków doustnie, zawiniętych w papier toaletowy, bibułkę papierosową albo papier ryżowy. Nie chodzi o żaden snus, którego się nie połyka , co Nawrocki czynił wielokrotnie na wizji, tylko o twarde narkotyki jak opioidy czy amfa lub kokaina.",18,419,25,462,26-05-25,2025-05-26,2025.0,5.0,26.0,0.0,"Bombka to metoda przyjmowania narkotyków doustnie, zawiniętych w papier toaletowy, bibułkę papierosową albo papier ryżowy. Nie chodzi o żaden snus, którego się nie połyka , co Nawrocki czynił wielokrotnie na wizji, tylko o twarde narkotyki jak opioidy czy amfa lub kokaina.","Bombka to metoda przyjmowania narkotyków doustnie, zawiniętych w papier toaletowy, bibułkę papierosową albo papier ryżowy. Nie chodzi o żaden snus, którego się nie połyka , co Nawrocki czynił wielokrotnie na wizji, tylko o twarde narkotyki jak opioidy czy amfa lub kokaina.",,,,0,0,0,273,41,16.76,wysoki,3,0.974475896671697
23.0,konfitura69_420,"Nawrocki zawetuje xd A tak btw to papierosy znacznie bardziej szkodliwe i są już cacy? Polska chory kraj, zakażą wszystkiego. To jest przynajmniej jakaś alternatywa dla tego smrodu dymu.",0,0,0,0,28-06-25,2025-06-28,2025.0,6.0,28.0,0.0,"Nawrocki zawetuje xd A tak btw to papierosy znacznie bardziej szkodliwe i są już cacy? Polska chory kraj, zakażą wszystkiego. To jest przynajmniej jakaś alternatywa dla tego smrodu dymu.","Nawrocki zawetuje xd A tak btw to papierosy znacznie bardziej szkodliwe i są już cacy? Polska chory kraj, zakażą wszystkiego. To jest przynajmniej jakaś alternatywa dla tego smrodu dymu.",,,,0,0,0,186,29,0.0,niski,3,0.974475896671697
31.0,_brightdiamond_,"W rządzie się kłócą, ale w jednym są zgodni — trzeba uratować Polskę przed śmiertelnym zagrożeniem... smakowymi saszetkami nikotynowymi. Smakowa wódka całą dobę? Żaden problem. Ale truskawkowa saszetka? To już wojna cywilizacyjna. #nikotyna #snus #absurd #zakazy #nawrocki #tusk",0,0,0,0,02-07-25,2025-07-02,2025.0,7.0,2.0,0.0,"W rządzie się kłócą, ale w jednym są zgodni — trzeba uratować Polskę przed śmiertelnym zagrożeniem... smakowymi saszetkami nikotynowymi. Smakowa wódka całą dobę? Żaden problem. Ale truskawkowa saszetka? To już wojna cywilizacyjna. nikotyna snus absurd zakazy nawrocki tusk","W rządzie się kłócą, ale w jednym są zgodni — trzeba uratować Polskę przed śmiertelnym zagrożeniem... smakowymi saszetkami nikotynowymi. Smakowa wódka całą dobę? Żaden problem. Ale truskawkowa saszetka? To już wojna cywilizacyjna.",,#nikotyna|#snus|#absurd|#zakazy|#nawrocki|#tusk,,0,6,0,272,38,0.0,niski,3,0.974475896671697
95.0,leszek86506466,Batyr nie startował Batyr to pseudonim literacki Startował prezydent Nawrocki pod własnym nazwiskiem .Uzależnienie od tytoniu jest powszechne na świecie. To nie jest narkotyk.Sztuczka z zażyciem tytoniu była po to by zmusić Trzaskowskiego do testów na narkotyki .Nie zrobił,0,0,0,0,01-08-25,2025-08-01,2025.0,8.0,1.0,0.0,Batyr nie startował Batyr to pseudonim literacki Startował prezydent Nawrocki pod własnym nazwiskiem .Uzależnienie od tytoniu jest powszechne na świecie. To nie jest narkotyk.Sztuczka z zażyciem tytoniu była po to by zmusić Trzaskowskiego do testów na narkotyki .Nie zrobił,Batyr nie startował Batyr to pseudonim literacki Startował prezydent Nawrocki pod własnym nazwiskiem .Uzależnienie od tytoniu jest powszechne na świecie. To nie jest narkotyk.Sztuczka z zażyciem tytoniu była po to by zmusić Trzaskowskiego do testów na narkotyki .Nie zrobił,,,,0,0,0,273,39,0.0,niski,3,0.974475896671697
20.0,listkiewiczm,"Czy uwierzą państwo, że z tej tabakiery Prezydent Nawrocki zażył razy cztery?",0,0,0,0,03-08-25,2025-08-03,2025.0,8.0,3.0,0.0,"Czy uwierzą państwo, że z tej tabakiery Prezydent Nawrocki zażył razy cztery?","Czy uwierzą państwo, że z tej tabakiery Prezydent Nawrocki zażył razy cztery?",,,,0,0,0,77,12,0.0,niski,3,0.974475896671697
9.0,kruszkaofficial,"Bogucki mówi, że Nawrocki nie zgodzi się na podwyższenie akcyzy na alkohol! Serio? Ale nam wszystkim ceny prądu podnieść to już problemu nie było! Śmiech na sali... Nawrocki = Drogi Prąd Nawrocki = Tania wódka Pogratulować, ładny początek...",5,83,54,142,24-08-25,2025-08-24,2025.0,8.0,24.0,0.0,"Bogucki mówi, że Nawrocki nie zgodzi się na podwyższenie akcyzy na alkohol! Serio? Ale nam wszystkim ceny prądu podnieść to już problemu nie było! Śmiech na sali... Nawrocki = Drogi Prąd Nawrocki = Tania wódka Pogratulować, ładny początek...","Bogucki mówi, że Nawrocki nie zgodzi się na podwyższenie akcyzy na alkohol! Serio? Ale nam wszystkim ceny prądu podnieść to już problemu nie było! Śmiech na sali... Nawrocki = Drogi Prąd Nawrocki = Tania wódka Pogratulować, ładny początek...",,,,0,0,0,241,38,1.54,wysoki,3,1.0
15.0,wkrawcz1,"Karol Nawrocki nie podpisze ustawy podnoszącej akcyzę na alkohol, gdyż głupim i pijanym narodem łatwiej się manipuluje.",3,68,136,207,24-08-25,2025-08-24,2025.0,8.0,24.0,0.0,"Karol Nawrocki nie podpisze ustawy podnoszącej akcyzę na alkohol, gdyż głupim i pijanym narodem łatwiej się manipuluje.","Karol Nawrocki nie podpisze ustawy podnoszącej akcyzę na alkohol, gdyż głupim i pijanym narodem łatwiej się manipuluje.",,,,0,0,0,119,17,0.5,wysoki,3,1.0
20.0,se_pl,Czy prezydent Karol Nawrocki powinien zawetować ustawy podnoszące akcyzę na alkohol oraz podatek cukrowy?,0,45,4,49,25-08-25,2025-08-25,2025.0,8.0,25.0,0.0,Czy prezydent Karol Nawrocki powinien zawetować ustawy podnoszące akcyzę na alkohol oraz podatek cukrowy?,Czy prezydent Karol Nawrocki powinien zawetować ustawy podnoszące akcyzę na alkohol oraz podatek cukrowy?,,,,0,0,0,105,14,11.25,wysoki,3,1.0
26.0,andrzejinvent,Jaki nasz sąsiad też ma bardzo tania wódkę i to jest ważny element polityczno- gospodarczy Gdybym był złośliwy to napisałbym że nawrocki rozumie uzależnionych i że nie chce uderzać w swój elektorat. Ale nie jestem złośliwy więc tego nei napiszę,0,0,0,0,25-08-25,2025-08-25,2025.0,8.0,25.0,0.0,Jaki nasz sąsiad też ma bardzo tania wódkę i to jest ważny element polityczno- gospodarczy Gdybym był złośliwy to napisałbym że nawrocki rozumie uzależnionych i że nie chce uderzać w swój elektorat. Ale nie jestem złośliwy więc tego nei napiszę,Jaki nasz sąsiad też ma bardzo tania wódkę i to jest ważny element polityczno- gospodarczy Gdybym był złośliwy to napisałbym że nawrocki rozumie uzależnionych i że nie chce uderzać w swój elektorat. Ale nie jestem złośliwy więc tego nei napiszę,,,,0,0,0,244,40,0.0,niski,3,1.0
