id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
25.0,jadwiga31193582,"Ja tam czekam na obniżkę prądu o 30%.. Nawrocki obiecał, „że jak tylko zostanie prezydentem” 😂 co tam jeszcze obiecał?",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Ja tam czekam na obniżkę prądu o 30%.. Nawrocki obiecał, „że jak tylko zostanie prezydentem” 😂 co tam jeszcze obiecał?","Ja tam czekam na obniżkę prądu o 30%.. Nawrocki obiecał, „że jak tylko zostanie prezydentem” 😂 co tam jeszcze obiecał?",,,,0,0,0,118,20,0.0,niski,5,1.0
330.0,wrcpiter,"Nawrocki obiecal 33% taniej, jak polaczy sile z Tuskim to prad bedzie tani jak barszcz xD",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Nawrocki obiecal 33% taniej, jak polaczy sile z Tuskim to prad bedzie tani jak barszcz xD","Nawrocki obiecal 33% taniej, jak polaczy sile z Tuskim to prad bedzie tani jak barszcz xD",,,,0,0,0,89,16,0.0,niski,5,1.0
33.0,pawegrzegorczy1,Od 1 lipca wraca opłata mocowa. Rachunki za prąd w górę,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Od 1 lipca wraca opłata mocowa. Rachunki za prąd w górę,Od 1 lipca wraca opłata mocowa. Rachunki za prąd w górę,,,,0,0,0,55,11,0.0,niski,5,1.0
20.0,j74jacek,Przecież za 2 miesiące Nawrocki obniży ceny energii o 33% . Nie siej pan fermentu,0,20,2,22,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Przecież za 2 miesiące Nawrocki obniży ceny energii o 33% . Nie siej pan fermentu,Przecież za 2 miesiące Nawrocki obniży ceny energii o 33% . Nie siej pan fermentu,,,,0,0,0,81,15,10.0,średni,5,1.0
570.0,anna81782691,Ale Nawrocki nas uratuje. Obniży ceny prądu o 30% ufffff,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Ale Nawrocki nas uratuje. Obniży ceny prądu o 30% ufffff,Ale Nawrocki nas uratuje. Obniży ceny prądu o 30% ufffff,,,,0,0,0,56,10,0.0,niski,5,1.0
576.0,michakuczk13052,To Nawrocki nie obniży ceny prądu 30%?,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,To Nawrocki nie obniży ceny prądu 30%?,To Nawrocki nie obniży ceny prądu 30%?,,,,0,0,0,38,7,0.0,niski,5,1.0
855.0,r_a_ziemkiewicz,Mam przeczucie do jakiego kraju te wiatraki przeniosą…,0,16,7,23,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Mam przeczucie do jakiego kraju te wiatraki przeniosą…,Mam przeczucie do jakiego kraju te wiatraki przeniosą…,,,,0,0,0,54,8,2.29,średni,5,1.0
665.0,mgrbaran,Nie ma mowy o rozliczeniach PiS skoro Nawrocki został prezydentem. Polacy powiedzieli wam jasno że nie chcą rozliczania. Weźcie się wreszcie za spełnianie swoich obietnic wyborczych! Tego prezydent wam nie będzie utrudniał.,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Nie ma mowy o rozliczeniach PiS skoro Nawrocki został prezydentem. Polacy powiedzieli wam jasno że nie chcą rozliczania. Weźcie się wreszcie za spełnianie swoich obietnic wyborczych! Tego prezydent wam nie będzie utrudniał.,Nie ma mowy o rozliczeniach PiS skoro Nawrocki został prezydentem. Polacy powiedzieli wam jasno że nie chcą rozliczania. Weźcie się wreszcie za spełnianie swoich obietnic wyborczych! Tego prezydent wam nie będzie utrudniał.,,,,0,0,0,223,32,0.0,niski,5,0.2790047747394849
452.0,wiihol,"Karol Nawrocki po RBN: Węgiel, atom i zdrowy rozsądek – nie Zielony Ład pisany w Brukseli. Polska musi być energetycznie niezależna! wpolityce.pl/polityka/732809…",3,97,4,104,18-06-25,2025-06-18,2025.0,6.0,18.0,0.0,"Karol Nawrocki po RBN: Węgiel, atom i zdrowy rozsądek – nie Zielony Ład pisany w Brukseli. Polska musi być energetycznie niezależna!","Karol Nawrocki po RBN: Węgiel, atom i zdrowy rozsądek – nie Zielony Ład pisany w Brukseli. Polska musi być energetycznie niezależna!",,,wpolityce.pl/polityka/732809…,0,0,1,132,21,24.25,wysoki,5,1.0
3.0,grok,"The translation of Karol Nawrocki's post into English is: ""I thank President Andrzej Duda for the invitation to the meeting of the National Security Council. Poland’s energy security is a pillar of our sovereignty and economic stability. It’s coal, nuclear power, and common sense—not the Green Deal written in Brussels. Poland must be energy independent!""",0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"The translation of Karol Nawrocki's post into English is: ""I thank President Andrzej Duda for the invitation to the meeting of the National Security Council. Poland’s energy security is a pillar of our sovereignty and economic stability. It’s coal, nuclear power, and common sense—not the Green Deal written in Brussels. Poland must be energy independent!""","The translation of Karol Nawrocki's post into English is: ""I thank President Andrzej Duda for the invitation to the meeting of the National Security Council. Poland’s energy security is a pillar of our sovereignty and economic stability. It’s coal, nuclear power, and common sense—not the Green Deal written in Brussels. Poland must be energy independent!""",,,,0,0,0,356,55,0.0,niski,5,0.9524716769304706
347.0,niochland,dobrze że Nawrocki został prezydentem to już za chwile już za moment obniży ceny energii elektrycznej o 30% tak jak zapowiadał,0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,dobrze że Nawrocki został prezydentem to już za chwile już za moment obniży ceny energii elektrycznej o 30% tak jak zapowiadał,dobrze że Nawrocki został prezydentem to już za chwile już za moment obniży ceny energii elektrycznej o 30% tak jak zapowiadał,,,,0,0,0,126,21,0.0,niski,5,1.0
32.0,sandyn7777,"@grok What do you know about GreenSpark Solar? Is it true that the ""Bug, Beautiful Bill"" would affect it?",0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,"What do you know about GreenSpark Solar? Is it true that the ""Bug, Beautiful Bill"" would affect it?","What do you know about GreenSpark Solar? Is it true that the ""Bug, Beautiful Bill"" would affect it?",@grok,,,1,0,0,99,18,0.0,niski,5,0.9319448779495078
11.0,bdkacz,A to nie Nawrocki miał w programie obniżenie rachunków za prąd o 30% ? Kto za to zapłaci ? Nawrocki ? xD,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,A to nie Nawrocki miał w programie obniżenie rachunków za prąd o 30% ? Kto za to zapłaci ? Nawrocki ? xD,A to nie Nawrocki miał w programie obniżenie rachunków za prąd o 30% ? Kto za to zapłaci ? Nawrocki ? xD,,,,0,0,0,104,22,0.0,niski,5,1.0
10.0,zbrojewskiartur,Dobrze że za PiS prąd i inne opłaty tylko malały. Mi np. w 6 lat ich ostatnich rządów czynsz skoczył z 400zł na 880zł. Prąd też strasznie staniał za PiS. Na szczęście teraz będzie Nawrocki i zaraz ceny prądu spadną o 30%. Bo spadną? Prawda?,0,0,0,0,30-06-25,2025-06-30,2025.0,6.0,30.0,0.0,Dobrze że za PiS prąd i inne opłaty tylko malały. Mi np. w 6 lat ich ostatnich rządów czynsz skoczył z 400zł na 880zł. Prąd też strasznie staniał za PiS. Na szczęście teraz będzie Nawrocki i zaraz ceny prądu spadną o 30%. Bo spadną? Prawda?,Dobrze że za PiS prąd i inne opłaty tylko malały. Mi np. w 6 lat ich ostatnich rządów czynsz skoczył z 400zł na 880zł. Prąd też strasznie staniał za PiS. Na szczęście teraz będzie Nawrocki i zaraz ceny prądu spadną o 30%. Bo spadną? Prawda?,,,,0,0,0,240,45,0.0,niski,5,1.0
217.0,kacprzakar74464,"Prezydent nie lubi widoku wiatraków.Nawrocki będzie wspietał węgiel i atom , który nie wiadomo kiedy będzie.Czy to wystarczy jako",0,0,0,0,30-06-25,2025-06-30,2025.0,6.0,30.0,0.0,"Prezydent nie lubi widoku wiatraków.Nawrocki będzie wspietał węgiel i atom , który nie wiadomo kiedy będzie.Czy to wystarczy jako","Prezydent nie lubi widoku wiatraków.Nawrocki będzie wspietał węgiel i atom , który nie wiadomo kiedy będzie.Czy to wystarczy jako",,,,0,0,0,129,19,0.0,niski,5,1.0
129.0,metatronspi,"Ich nie pogięło, bardzo duża część tych ludzi niema podstawowej wiedzy z wielu dziedzin. Np. część z nich uwierzyła że energia elektr. będzie tańsza bo Nawrocki obiecał ''powrót'' do węgla także...ku chwale 😉",0,0,0,0,04-07-25,2025-07-04,2025.0,7.0,4.0,0.0,"Ich nie pogięło, bardzo duża część tych ludzi niema podstawowej wiedzy z wielu dziedzin. Np. część z nich uwierzyła że energia elektr. będzie tańsza bo Nawrocki obiecał ''powrót'' do węgla także...ku chwale 😉","Ich nie pogięło, bardzo duża część tych ludzi niema podstawowej wiedzy z wielu dziedzin. Np. część z nich uwierzyła że energia elektr. będzie tańsza bo Nawrocki obiecał ''powrót'' do węgla także...ku chwale 😉",,,,0,0,0,208,33,0.0,niski,5,1.0
1.0,andrzej35235527,Od sierpnia prąd tańszy 30% No Nawrocki obiecał przed wyborami 😁,0,0,0,0,07-07-25,2025-07-07,2025.0,7.0,7.0,0.0,Od sierpnia prąd tańszy 30% No Nawrocki obiecał przed wyborami 😁,Od sierpnia prąd tańszy 30% No Nawrocki obiecał przed wyborami 😁,,,,0,0,0,64,11,0.0,niski,5,1.0
37.0,niemamnietutaj0,8 lat PiS powstrzymywał podwyżki cen prądu i likwidację etsu. 8 lat zamiast likwidować wprowadził Wojciechowski zielony ład. 8 lat głosowali i popierali rozwiązania zielonego ładu. A dziś każesz nam uwierzyć że Nawrocki zrobi cokolwiek żeby to zmienić 🤣🤣,0,0,0,0,07-07-25,2025-07-07,2025.0,7.0,7.0,0.0,8 lat PiS powstrzymywał podwyżki cen prądu i likwidację etsu. 8 lat zamiast likwidować wprowadził Wojciechowski zielony ład. 8 lat głosowali i popierali rozwiązania zielonego ładu. A dziś każesz nam uwierzyć że Nawrocki zrobi cokolwiek żeby to zmienić 🤣🤣,8 lat PiS powstrzymywał podwyżki cen prądu i likwidację etsu. 8 lat zamiast likwidować wprowadził Wojciechowski zielony ład. 8 lat głosowali i popierali rozwiązania zielonego ładu. A dziś każesz nam uwierzyć że Nawrocki zrobi cokolwiek żeby to zmienić 🤣🤣,,,,0,0,0,254,39,0.0,niski,5,1.0
