id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
684.0,jan34733995,"08.06.2025 r. - ... Kinga Gajewska vel Ziemniaczek vel Pyra, jest PONOĆ Żydówką. Może ktoś to potwierdzić, ewentualnie zaprzeczyć?",1,43,66,110,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"08.06.2025 r. - ... Kinga Gajewska vel Ziemniaczek vel Pyra, jest PONOĆ Żydówką. Może ktoś to potwierdzić, ewentualnie zaprzeczyć?","08.06.2025 r. - ... Kinga Gajewska vel Ziemniaczek vel Pyra, jest PONOĆ Żydówką. Może ktoś to potwierdzić, ewentualnie zaprzeczyć?",,,,0,0,0,130,19,0.65,wysoki,7,1.0
25.0,profesorpingwin,"Panie Tomku, służę pomocą: wybory wygrał Karol Nawrocki. Teraz może Pan na spokojnie zajmować się Lewandowskim lub racjonalizowaniem zbrodni Izraela: co tam Pan woli.",0,24,5,29,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Panie Tomku, służę pomocą: wybory wygrał Karol Nawrocki. Teraz może Pan na spokojnie zajmować się Lewandowskim lub racjonalizowaniem zbrodni Izraela: co tam Pan woli.","Panie Tomku, służę pomocą: wybory wygrał Karol Nawrocki. Teraz może Pan na spokojnie zajmować się Lewandowskim lub racjonalizowaniem zbrodni Izraela: co tam Pan woli.",,,,0,0,0,166,24,4.8,średni,7,1.0
940.0,lauraloomer,"An Al-Qaeda leader named Sa'ad Bin Atef Al-Awlaki just called for Muslims living in the US to carry out JIHAD and assassinate President Donald Trump, Vice President @JDVance, @elonmusk & other US officials. It’s time to crack down on JIHADIS in America. MASS DEPORT ALL OF THEM!",375,5439,748,6562,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"An Al-Qaeda leader named Sa'ad Bin Atef Al-Awlaki just called for Muslims living in the US to carry out JIHAD and assassinate President Donald Trump, Vice President , & other US officials. It’s time to crack down on JIHADIS in America. MASS DEPORT ALL OF THEM!","An Al-Qaeda leader named Sa'ad Bin Atef Al-Awlaki just called for Muslims living in the US to carry out JIHAD and assassinate President Donald Trump, Vice President , & other US officials. It’s time to crack down on JIHADIS in America. MASS DEPORT ALL OF THEM!",@JDVance|@elonmusk,,,2,0,0,260,46,7.27,wysoki,7,0.3344169643970211
340.0,gameover1920,"Oto Maciej Hunia- Ambasador RP w Izraelu. Po kilku dniach zagrożenia, Ambasada zamierza w końcu działać i wynajęła prywatną firmę, w celu ewakuacji 🇵🇱 przebywających obecnie w Izraelu, ale jest haczyk.. Placówka poprzez SMS podaje, że koszty podróży ponosi każdy indywidualnie. 👇",1,29,2,32,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,"Oto Maciej Hunia- Ambasador RP w Izraelu. Po kilku dniach zagrożenia, Ambasada zamierza w końcu działać i wynajęła prywatną firmę, w celu ewakuacji 🇵🇱 przebywających obecnie w Izraelu, ale jest haczyk.. Placówka poprzez SMS podaje, że koszty podróży ponosi każdy indywidualnie. 👇","Oto Maciej Hunia- Ambasador RP w Izraelu. Po kilku dniach zagrożenia, Ambasada zamierza w końcu działać i wynajęła prywatną firmę, w celu ewakuacji 🇵🇱 przebywających obecnie w Izraelu, ale jest haczyk.. Placówka poprzez SMS podaje, że koszty podróży ponosi każdy indywidualnie. 👇",,,,0,0,0,279,42,14.5,średni,7,1.0
495.0,murzynfrogxxx,Chyba najmocniejsze nagranie do tej pory. Potężne uderzenie w Izrael.,20,271,161,452,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,Chyba najmocniejsze nagranie do tej pory. Potężne uderzenie w Izrael.,Chyba najmocniejsze nagranie do tej pory. Potężne uderzenie w Izrael.,,,,0,0,0,69,10,1.68,wysoki,7,1.0
1283.0,krulmitek,"Dla zasady. Bo gdyby to Izrael został zaatakowany to Duda, Tusk czy Nawrocki pierwsi by ogłaszali wsparcie dla Izraela i potępienie dla atakującego.",0,0,0,0,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,"Dla zasady. Bo gdyby to Izrael został zaatakowany to Duda, Tusk czy Nawrocki pierwsi by ogłaszali wsparcie dla Izraela i potępienie dla atakującego.","Dla zasady. Bo gdyby to Izrael został zaatakowany to Duda, Tusk czy Nawrocki pierwsi by ogłaszali wsparcie dla Izraela i potępienie dla atakującego.",,,,0,0,0,148,23,0.0,niski,7,1.0
152.0,malzahareu,Już chcą nas wepchnąć do wojny Izraela z Iranem Jeżeli Nawrocki zgodzi się na to to już wolałbym aby Trzaskowski wygrał wybory aby ludzie całkowicie odwrócili się od PO a ci ludzie nigdy nie zagłosują na PiS więc zagłosowaliby na Konfederację lub Konfederację Korony Polskiej,0,0,0,0,18-06-25,2025-06-18,2025.0,6.0,18.0,0.0,Już chcą nas wepchnąć do wojny Izraela z Iranem Jeżeli Nawrocki zgodzi się na to to już wolałbym aby Trzaskowski wygrał wybory aby ludzie całkowicie odwrócili się od PO a ci ludzie nigdy nie zagłosują na PiS więc zagłosowaliby na Konfederację lub Konfederację Korony Polskiej,Już chcą nas wepchnąć do wojny Izraela z Iranem Jeżeli Nawrocki zgodzi się na to to już wolałbym aby Trzaskowski wygrał wybory aby ludzie całkowicie odwrócili się od PO a ci ludzie nigdy nie zagłosują na PiS więc zagłosowaliby na Konfederację lub Konfederację Korony Polskiej,,,,0,0,0,275,45,0.0,niski,7,0.2299123811231821
321.0,wolnaradio,"Binjamin Netanjahu skarży się, że Iran ostrzeliwuje budynki mieszkalne. Trzeba było o tym pomyśleć, jak się wszczynało wojnę. A poza tym Izrael permanentnie ostrzeliwał budynki mieszkalne i szpitale w Palestynie i jakoś media nad tym nie ubolewały...",2,61,25,88,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Binjamin Netanjahu skarży się, że Iran ostrzeliwuje budynki mieszkalne. Trzeba było o tym pomyśleć, jak się wszczynało wojnę. A poza tym Izrael permanentnie ostrzeliwał budynki mieszkalne i szpitale w Palestynie i jakoś media nad tym nie ubolewały...","Binjamin Netanjahu skarży się, że Iran ostrzeliwuje budynki mieszkalne. Trzeba było o tym pomyśleć, jak się wszczynało wojnę. A poza tym Izrael permanentnie ostrzeliwał budynki mieszkalne i szpitale w Palestynie i jakoś media nad tym nie ubolewały...",,,,0,0,0,250,37,2.44,wysoki,7,1.0
272.0,krzysiekwsk,Wszystko zepsuł Hamas atakiem 7 października. Hamas zniszczony. Hezbollah zniszczony. Assad obalony. Huti i irackie milicje mocno zniszczone. Możliwości odpowiedzi Iranu są bardzo mocne ograniczone.,0,0,0,0,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,Wszystko zepsuł Hamas atakiem 7 października. Hamas zniszczony. Hezbollah zniszczony. Assad obalony. Huti i irackie milicje mocno zniszczone. Możliwości odpowiedzi Iranu są bardzo mocne ograniczone.,Wszystko zepsuł Hamas atakiem 7 października. Hamas zniszczony. Hezbollah zniszczony. Assad obalony. Huti i irackie milicje mocno zniszczone. Możliwości odpowiedzi Iranu są bardzo mocne ograniczone.,,,,0,0,0,198,25,0.0,niski,7,1.0
3.0,elscousero,Do takich zagrań trzeba mieć kregosłup moralny. Nawrocki przed Żydami się kłania.,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Do takich zagrań trzeba mieć kregosłup moralny. Nawrocki przed Żydami się kłania.,Do takich zagrań trzeba mieć kregosłup moralny. Nawrocki przed Żydami się kłania.,,,,0,0,0,81,12,0.0,niski,7,1.0
6.0,anna_litwa,Czy Nawrocki sprzeciwi sie żydom?,0,2,4,6,30-06-25,2025-06-30,2025.0,6.0,30.0,0.0,Czy Nawrocki sprzeciwi sie żydom?,Czy Nawrocki sprzeciwi sie żydom?,,,,0,0,0,33,5,0.5,średni,7,1.0
24.0,wrealu24_pl,Izrael to państwo terrorystyczne?! Jakim prezydentem będzie Nawrocki?! M. Skowroński i M. Rola – PROGRAM INTERAKTYWNY! ZAPTRASZAMY NA BanBye O GODZINIE 20:00! banbye.com/watch/v_5Sp0XXCzV…,0,0,0,0,05-08-25,2025-08-05,2025.0,8.0,5.0,0.0,Izrael to państwo terrorystyczne?! Jakim prezydentem będzie Nawrocki?! M. Skowroński i M. Rola – PROGRAM INTERAKTYWNY! ZAPTRASZAMY NA BanBye O GODZINIE 20:00!,Izrael to państwo terrorystyczne?! Jakim prezydentem będzie Nawrocki?! M. Skowroński i M. Rola – PROGRAM INTERAKTYWNY! ZAPTRASZAMY NA BanBye O GODZINIE 20:00!,,,banbye.com/watch/v_5Sp0XXCzV…,0,0,1,158,22,0.0,niski,7,1.0
73.0,tonychiiiiiiin,"Skrót zaprzysiężenia: Nawrocki zapowiedział, że będzie dziwką na usługach żydów z USA oraz żydów z Izraela i przy okazji będzie dawał dupy Ukrainie i Unii Europejskiej, a także wybuduje Lotnisko w BARANOWIE i będzie czytał dzieciom lektury osobiście.",0,7,2,9,06-08-25,2025-08-06,2025.0,8.0,6.0,0.0,"Skrót zaprzysiężenia: Nawrocki zapowiedział, że będzie dziwką na usługach żydów z USA oraz żydów z Izraela i przy okazji będzie dawał dupy Ukrainie i Unii Europejskiej, a także wybuduje Lotnisko w BARANOWIE i będzie czytał dzieciom lektury osobiście.","Skrót zaprzysiężenia: Nawrocki zapowiedział, że będzie dziwką na usługach żydów z USA oraz żydów z Izraela i przy okazji będzie dawał dupy Ukrainie i Unii Europejskiej, a także wybuduje Lotnisko w BARANOWIE i będzie czytał dzieciom lektury osobiście.",,,,0,0,0,250,38,3.5,średni,7,1.0
252.0,1972tomek,"Dlaczego prezydent Nawrocki rozmawia z kłamcą jedwabieńskim Schudrichem? Przecież jeśli już musi rozmawiać z jakimś Żydem, to może sobie znaleźć jakiegoś uczciwego.",5,79,121,205,06-08-25,2025-08-06,2025.0,8.0,6.0,0.0,"Dlaczego prezydent Nawrocki rozmawia z kłamcą jedwabieńskim Schudrichem? Przecież jeśli już musi rozmawiać z jakimś Żydem, to może sobie znaleźć jakiegoś uczciwego.","Dlaczego prezydent Nawrocki rozmawia z kłamcą jedwabieńskim Schudrichem? Przecież jeśli już musi rozmawiać z jakimś Żydem, to może sobie znaleźć jakiegoś uczciwego.",,,,0,0,0,164,22,0.65,wysoki,7,1.0
