id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
726.0,everynewdaytv,"We explore the recent #PolishPresidentialElection featuring Karol #Nawrocki and Rafał #Trzaskowski, and look ahead to the pivotal 2025 #Czechelections with Andrej #Babiš and Danuše #Nerudová, followed by the 2026 #HungarianElection where Viktor #Orbán faces rising challenger Péter #Magyar. youtu.be/Mh2GyUAfPDc",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"We explore the recent PolishPresidentialElection featuring Karol Nawrocki and Rafał Trzaskowski, and look ahead to the pivotal 2025 Czechelections with Andrej Babiš and Danuše Nerudová, followed by the 2026 HungarianElection where Viktor Orbán faces rising challenger Péter Magyar. youtu.be/Mh2GyUAfPDc","We explore the recent featuring Karol and Rafał , and look ahead to the pivotal 2025 with Andrej and Danuše , followed by the 2026 where Viktor faces rising challenger Péter . youtu.be/Mh2GyUAfPDc",,#PolishPresidentialElection|#Nawrocki|#Trzaskowski|#Czechelections|#Babiš|#Nerudová|#HungarianElection|#Orbán|#Magyar,,0,9,0,302,39,0.0,niski,8,1.0
11.0,polanddaily24,Hungarian Daily leaves no room for doubt: “Nawrocki’s victory heralds the end of the rainbow coalition” polanddaily24.com/hungarian-…,0,5,1,6,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Hungarian Daily leaves no room for doubt: “Nawrocki’s victory heralds the end of the rainbow coalition”,Hungarian Daily leaves no room for doubt: “Nawrocki’s victory heralds the end of the rainbow coalition”,,,polanddaily24.com/hungarian-…,0,0,1,103,16,5.0,średni,8,1.0
3.0,iiannamagdalena,"Niestety, możemy się naśmiewać i dziwić, ale od kiedy Orban ma potężne problemy na Węgrzech i może stracić władzę w najbliższych wyborach, Nawrocki wyrasta na jego następcę w roli kluczowego rozpierdalacza UE. 🤷‍♀️",0,2,0,2,19-08-25,2025-08-19,2025.0,8.0,19.0,0.0,"Niestety, możemy się naśmiewać i dziwić, ale od kiedy Orban ma potężne problemy na Węgrzech i może stracić władzę w najbliższych wyborach, Nawrocki wyrasta na jego następcę w roli kluczowego rozpierdalacza UE. 🤷‍♀️","Niestety, możemy się naśmiewać i dziwić, ale od kiedy Orban ma potężne problemy na Węgrzech i może stracić władzę w najbliższych wyborach, Nawrocki wyrasta na jego następcę w roli kluczowego rozpierdalacza UE. 🤷‍♀️",,,,0,0,0,214,33,2.0,średni,8,1.0
32.0,nikitheblogger,Tschechien wählt mit Andre Babis die politische Wende. Polen mit Karol Nawrocki auch. Die Slowakei mit Robert Fico auch. Die Niederlande mit Geert Wilders auch. Die USA mit Donald Trump auch. Ungarn mit Viktor Orban auch. Wann wählt Deutschland die AfD in die Regierung?,1,43,17,61,05-10-25,2025-10-05,2025.0,10.0,5.0,0.0,Tschechien wählt mit Andre Babis die politische Wende. Polen mit Karol Nawrocki auch. Die Slowakei mit Robert Fico auch. Die Niederlande mit Geert Wilders auch. Die USA mit Donald Trump auch. Ungarn mit Viktor Orban auch. Wann wählt Deutschland die AfD in die Regierung?,Tschechien wählt mit Andre Babis die politische Wende. Polen mit Karol Nawrocki auch. Die Slowakei mit Robert Fico auch. Die Niederlande mit Geert Wilders auch. Die USA mit Donald Trump auch. Ungarn mit Viktor Orban auch. Wann wählt Deutschland die AfD in die Regierung?,,,,0,0,0,270,44,2.53,wysoki,8,1.0
130.0,vvmmwb,"Niekoniecznie. Trzeba się przyłączyć do ""gromadki"" Orbana. Problem w tym, że Nawrocki do Budapesztu nie, ale płaz nadbałtycki tak, a ten jego szef BBN tylko Kreml ma przed nosem.",0,0,0,0,20-10-25,2025-10-20,2025.0,10.0,20.0,0.0,"Niekoniecznie. Trzeba się przyłączyć do ""gromadki"" Orbana. Problem w tym, że Nawrocki do Budapesztu nie, ale płaz nadbałtycki tak, a ten jego szef BBN tylko Kreml ma przed nosem.","Niekoniecznie. Trzeba się przyłączyć do ""gromadki"" Orbana. Problem w tym, że Nawrocki do Budapesztu nie, ale płaz nadbałtycki tak, a ten jego szef BBN tylko Kreml ma przed nosem.",,,,0,0,0,178,29,0.0,niski,8,1.0
24.0,everynewdaytv,"We explore the recent #PolishPresidentialElection featuring Karol #Nawrocki and Rafał #Trzaskowski, and look ahead to the pivotal 2025 #Czechelections with Andrej #Babiš and Danuše #Nerudová, followed by the 2026 #HungarianElection where Viktor #Orbán faces rising challenger Péter #Magyar. youtu.be/Mh2GyUAfPDc",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"We explore the recent PolishPresidentialElection featuring Karol Nawrocki and Rafał Trzaskowski, and look ahead to the pivotal 2025 Czechelections with Andrej Babiš and Danuše Nerudová, followed by the 2026 HungarianElection where Viktor Orbán faces rising challenger Péter Magyar. youtu.be/Mh2GyUAfPDc","We explore the recent featuring Karol and Rafał , and look ahead to the pivotal 2025 with Andrej and Danuše , followed by the 2026 where Viktor faces rising challenger Péter . youtu.be/Mh2GyUAfPDc",,#PolishPresidentialElection|#Nawrocki|#Trzaskowski|#Czechelections|#Babiš|#Nerudová|#HungarianElection|#Orbán|#Magyar,,0,9,0,302,39,0.0,niski,8,1.0
13.0,instagramjanusz,"No no, tak pokona Orbana jak Trzaskowski Nawrockiego 🤣 System i ordynacja jest tam tak dograna do Orbana że Tisza by musiała mieć z 60% żeby faktycznie rządzić.",0,0,0,0,12-08-25,2025-08-12,2025.0,8.0,12.0,0.0,"No no, tak pokona Orbana jak Trzaskowski Nawrockiego 🤣 System i ordynacja jest tam tak dograna do Orbana że Tisza by musiała mieć z 60% żeby faktycznie rządzić.","No no, tak pokona Orbana jak Trzaskowski Nawrockiego 🤣 System i ordynacja jest tam tak dograna do Orbana że Tisza by musiała mieć z 60% żeby faktycznie rządzić.",,,,0,0,0,160,28,0.0,niski,8,1.0
30.0,marcin_zysk,Prześladowania nie ustają. Powinni państwo nadawać z Węgier.,0,0,0,0,05-09-25,2025-09-05,2025.0,9.0,5.0,0.0,Prześladowania nie ustają. Powinni państwo nadawać z Węgier.,Prześladowania nie ustają. Powinni państwo nadawać z Węgier.,,,,0,0,0,60,8,0.0,niski,8,1.0
291.0,masanajpierw,"No to wróćmy do rosyjskiego skoro to ma być wyznacznik. Dodajmy też czeski, słowacki i węgierski do wybory.",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"No to wróćmy do rosyjskiego skoro to ma być wyznacznik. Dodajmy też czeski, słowacki i węgierski do wybory.","No to wróćmy do rosyjskiego skoro to ma być wyznacznik. Dodajmy też czeski, słowacki i węgierski do wybory.",,,,0,0,0,107,18,0.0,niski,8,1.0
16.0,vojtekus,"To była ostatnia tak wysoka frekwencja w tym układzie sił. Kolejna tak wysoka zdarzy się, gdy przejdziemy drogę podobną do Węgier - po kilku dewastujących kraj kadencjach populistów i skrajnej prawicy. O ile populiści będą na tyle głupi, żeby pozwolić na uczciwe wybory.",1,57,17,75,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,"To była ostatnia tak wysoka frekwencja w tym układzie sił. Kolejna tak wysoka zdarzy się, gdy przejdziemy drogę podobną do Węgier - po kilku dewastujących kraj kadencjach populistów i skrajnej prawicy. O ile populiści będą na tyle głupi, żeby pozwolić na uczciwe wybory.","To była ostatnia tak wysoka frekwencja w tym układzie sił. Kolejna tak wysoka zdarzy się, gdy przejdziemy drogę podobną do Węgier - po kilku dewastujących kraj kadencjach populistów i skrajnej prawicy. O ile populiści będą na tyle głupi, żeby pozwolić na uczciwe wybory.",,,,0,0,0,270,43,3.35,wysoki,8,1.0
193.0,czarkye,Czechy 🇨🇿 | STEM 🔹ANO (populizm) - 31% 🔸Spolu (centropraw.) - 20% 🔹SPD (rad. prawica) - 13% 🔸Starostové (lib.) - 9% 🔹Piráti (lib.) - 7% 🔹Stačilo (komunizm/nacjon.) - 5% 🔹Motoristé (praw. populizm) - 4% 🔸 - rządzący 🔹 - opozycja 🗳️ - wybory w październiku,0,0,0,0,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,Czechy 🇨🇿 | STEM 🔹ANO (populizm) - 31% 🔸Spolu (centropraw.) - 20% 🔹SPD (rad. prawica) - 13% 🔸Starostové (lib.) - 9% 🔹Piráti (lib.) - 7% 🔹Stačilo (komunizm/nacjon.) - 5% 🔹Motoristé (praw. populizm) - 4% 🔸 - rządzący 🔹 - opozycja 🗳️ - wybory w październiku,Czechy 🇨🇿 | STEM 🔹ANO (populizm) - 31% 🔸Spolu (centropraw.) - 20% 🔹SPD (rad. prawica) - 13% 🔸Starostové (lib.) - 9% 🔹Piráti (lib.) - 7% 🔹Stačilo (komunizm/nacjon.) - 5% 🔹Motoristé (praw. populizm) - 4% 🔸 - rządzący 🔹 - opozycja 🗳️ - wybory w październiku,,,,0,0,0,254,45,0.0,niski,8,1.0
268.0,rudawrona2024,"267 tys. Członków (członków XD) waszej pisowskiej sekty. Fałszowaliście wybory, was już nie ma. Tylko debil jak ty jeszcze tego nie rozumie. Lepiej się pakuj na Węgry.",0,0,0,0,25-06-25,2025-06-25,2025.0,6.0,25.0,0.0,"267 tys. Członków (członków XD) waszej pisowskiej sekty. Fałszowaliście wybory, was już nie ma. Tylko debil jak ty jeszcze tego nie rozumie. Lepiej się pakuj na Węgry.","267 tys. Członków (członków XD) waszej pisowskiej sekty. Fałszowaliście wybory, was już nie ma. Tylko debil jak ty jeszcze tego nie rozumie. Lepiej się pakuj na Węgry.",,,,0,0,0,167,27,0.0,niski,8,1.0
