id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
2.0,johnsmiths74,"Nawrocki w Pałacu Prezydenckim, Trzaskowski na marszu LGBT. Wszystko na swoim miejscu. 👍🇵🇱",4,448,19,471,14-06-25,2025-06-14,2025.0,6.0,14.0,0.0,"Nawrocki w Pałacu Prezydenckim, Trzaskowski na marszu LGBT. Wszystko na swoim miejscu. 👍🇵🇱","Nawrocki w Pałacu Prezydenckim, Trzaskowski na marszu LGBT. Wszystko na swoim miejscu. 👍🇵🇱",,,,0,0,0,90,13,23.58,wysoki,9,1.0
9.0,wojciechru82006,"Karol Nawrocki w Pałacu Prezydenckim, Trzaskowski na marszu LGBT. Wszystko na swoim miejscu. Miłej niedzieli.",0,2,0,2,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,"Karol Nawrocki w Pałacu Prezydenckim, Trzaskowski na marszu LGBT. Wszystko na swoim miejscu. Miłej niedzieli.","Karol Nawrocki w Pałacu Prezydenckim, Trzaskowski na marszu LGBT. Wszystko na swoim miejscu. Miłej niedzieli.",,,,0,0,0,109,15,2.0,średni,9,1.0
2.0,wojtek_hagen,Nawrocki poleciał na spotkanie z Markiem Rutte. Trzaskowski poleciałby do Budapesztu na marsz LGBT. Dobrze wybraliśmy 👍,1,134,1,136,02-07-25,2025-07-02,2025.0,7.0,2.0,0.0,Nawrocki poleciał na spotkanie z Markiem Rutte. Trzaskowski poleciałby do Budapesztu na marsz LGBT. Dobrze wybraliśmy 👍,Nawrocki poleciał na spotkanie z Markiem Rutte. Trzaskowski poleciałby do Budapesztu na marsz LGBT. Dobrze wybraliśmy 👍,,,,0,0,0,119,17,134.0,wysoki,9,1.0
425.0,redbaronspandau,"Podatny na szantaż homoseksualista bez certyfikatu bezpieczeństwa i bez dostępu do tajemnic. No, to się ćpun Nawrocki obstawił…",0,4,2,6,03-07-25,2025-07-03,2025.0,7.0,3.0,0.0,"Podatny na szantaż homoseksualista bez certyfikatu bezpieczeństwa i bez dostępu do tajemnic. No, to się ćpun Nawrocki obstawił…","Podatny na szantaż homoseksualista bez certyfikatu bezpieczeństwa i bez dostępu do tajemnic. No, to się ćpun Nawrocki obstawił…",,,,0,0,0,127,18,2.0,średni,9,1.0
22.0,saburo1977,Jak ty geju byłeś za ustawą to nawet nie czytając tej ustawy wiem że prezydent Nawrocki podjął najlepszą z możliwych decyzji wetując tego lewackiego gniota,0,0,0,0,29-08-25,2025-08-29,2025.0,8.0,29.0,0.0,Jak ty geju byłeś za ustawą to nawet nie czytając tej ustawy wiem że prezydent Nawrocki podjął najlepszą z możliwych decyzji wetując tego lewackiego gniota,Jak ty geju byłeś za ustawą to nawet nie czytając tej ustawy wiem że prezydent Nawrocki podjął najlepszą z możliwych decyzji wetując tego lewackiego gniota,,,,0,0,0,155,25,0.0,niski,9,1.0
137.0,tulwinprzem,"Nie dla pedofili. Dobrze, że Nawrocki zawetował to. Dlatego też jestem przeciwko adopcji dzieci przez Homoseksualistów czy tam gejów.",0,2,1,3,29-08-25,2025-08-29,2025.0,8.0,29.0,0.0,"Nie dla pedofili. Dobrze, że Nawrocki zawetował to. Dlatego też jestem przeciwko adopcji dzieci przez Homoseksualistów czy tam gejów.","Nie dla pedofili. Dobrze, że Nawrocki zawetował to. Dlatego też jestem przeciwko adopcji dzieci przez Homoseksualistów czy tam gejów.",,,,0,0,0,133,19,2.0,średni,9,1.0
110.0,pch24pl,Wraz ze specjalnym listem Prezydent RP Karol Nawrocki przekazał obrońcom życia i rodziny flagę Rzeczypospolitej Polskiej. pch24.pl/prezydent-rp-przeka…,1,2,0,3,07-09-25,2025-09-07,2025.0,9.0,7.0,0.0,Wraz ze specjalnym listem Prezydent RP Karol Nawrocki przekazał obrońcom życia i rodziny flagę Rzeczypospolitej Polskiej.,Wraz ze specjalnym listem Prezydent RP Karol Nawrocki przekazał obrońcom życia i rodziny flagę Rzeczypospolitej Polskiej.,,,pch24.pl/prezydent-rp-przeka…,0,0,1,121,16,2.0,średni,9,0.4247097381089548
38.0,kubasinski1977,"A nie-homoseksualista uczestniczył w spotkaniu pomimo braku uprawnień do dostępu do informacji niejawnych - brak poświadczenia bezpieczeństwa. Jaja, po prostu jaja. wydarzenia.interia.pl/kraj/n…",0,1,0,1,09-09-25,2025-09-09,2025.0,9.0,9.0,0.0,"A nie-homoseksualista uczestniczył w spotkaniu pomimo braku uprawnień do dostępu do informacji niejawnych - brak poświadczenia bezpieczeństwa. Jaja, po prostu jaja. wydarzenia.","A nie-homoseksualista uczestniczył w spotkaniu pomimo braku uprawnień do dostępu do informacji niejawnych - brak poświadczenia bezpieczeństwa. Jaja, po prostu jaja. wydarzenia.",,,interia.pl/kraj/n…,0,0,1,176,22,1.0,średni,9,1.0
30.0,arrogance_0024,"Nawrocki nosi polską flagę, a Sikorski paraduje z… francuskim 🇫🇷 orderem Legii Honorowej 🤡😂. Jeden eksponuje symbol własnej ojczyzny, drugi zaś – odznaczenie nadane przez cudze państwo (w formie małego pinsa, czyli miniaturowej wersji orderu, noszonej zwyczajowo na marynarkach francuskiej elity)... Ten szczegół nie jest błahy – pokazuje, co dla kogo jest źródłem prestiżu. Sikorski woli błyszczeć francuskim znaczkiem, jakby akceptacja obcych była ważniejsza niż szacunek rodaków. To jest cała symbolika: jedni budują swoją pozycję na Polsce, inni na zagranicznych orderach. Nawrocki z flagą, Sikorski z pinsikiem.",4,100,18,122,23-09-25,2025-09-23,2025.0,9.0,23.0,0.0,"Nawrocki nosi polską flagę, a Sikorski paraduje z… francuskim 🇫🇷 orderem Legii Honorowej 🤡😂. Jeden eksponuje symbol własnej ojczyzny, drugi zaś – odznaczenie nadane przez cudze państwo (w formie małego pinsa, czyli miniaturowej wersji orderu, noszonej zwyczajowo na marynarkach francuskiej elity)... Ten szczegół nie jest błahy – pokazuje, co dla kogo jest źródłem prestiżu. Sikorski woli błyszczeć francuskim znaczkiem, jakby akceptacja obcych była ważniejsza niż szacunek rodaków. To jest cała symbolika: jedni budują swoją pozycję na Polsce, inni na zagranicznych orderach. Nawrocki z flagą, Sikorski z pinsikiem.","Nawrocki nosi polską flagę, a Sikorski paraduje z… francuskim 🇫🇷 orderem Legii Honorowej 🤡😂. Jeden eksponuje symbol własnej ojczyzny, drugi zaś – odznaczenie nadane przez cudze państwo (w formie małego pinsa, czyli miniaturowej wersji orderu, noszonej zwyczajowo na marynarkach francuskiej elity)... Ten szczegół nie jest błahy – pokazuje, co dla kogo jest źródłem prestiżu. Sikorski woli błyszczeć francuskim znaczkiem, jakby akceptacja obcych była ważniejsza niż szacunek rodaków. To jest cała symbolika: jedni budują swoją pozycję na Polsce, inni na zagranicznych orderach. Nawrocki z flagą, Sikorski z pinsikiem.",,,,0,0,0,616,87,5.56,wysoki,9,0.4247097381089548
12.0,listkiewiczm,"No na pewno jestem na tyle mądry żeby nie bredzić, że Nawrocki jest ideologiem banderyzmu z elementami lgbt.",0,0,0,0,28-09-25,2025-09-28,2025.0,9.0,28.0,0.0,"No na pewno jestem na tyle mądry żeby nie bredzić, że Nawrocki jest ideologiem banderyzmu z elementami lgbt.","No na pewno jestem na tyle mądry żeby nie bredzić, że Nawrocki jest ideologiem banderyzmu z elementami lgbt.",,,,0,0,0,108,18,0.0,niski,9,1.0
