id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
14.0,agerkowski21697,"Premier Tusk, daj spokój. Wygrał K. Nawrocki, będzie prezydentem. Tusk i Bodnar do więzienia.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Premier Tusk, daj spokój. Wygrał K. Nawrocki, będzie prezydentem. Tusk i Bodnar do więzienia.","Premier Tusk, daj spokój. Wygrał K. Nawrocki, będzie prezydentem. Tusk i Bodnar do więzienia.",,,,0,0,0,93,14,0.0,niski,10,0.5186671241177452
360.0,michal_kolanko,"Tusk, Trump, Nawrocki i PSL. Kosiniak-Kamysz w centrum gry o władzę i przyszłość koalicji. W @rzeczpospolita o tym co zrobi i jakie atuty ma PSL, które ma zarzucić w koalicji konserwatywną kotwicę rp.pl/polityka/art42476281-t…",0,10,3,13,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Tusk, Trump, Nawrocki i PSL. Kosiniak-Kamysz w centrum gry o władzę i przyszłość koalicji. W o tym co zrobi i jakie atuty ma PSL, które ma zarzucić w koalicji konserwatywną kotwicę","Tusk, Trump, Nawrocki i PSL. Kosiniak-Kamysz w centrum gry o władzę i przyszłość koalicji. W o tym co zrobi i jakie atuty ma PSL, które ma zarzucić w koalicji konserwatywną kotwicę",@rzeczpospolita,,rp.pl/polityka/art42476281-t…,1,0,1,180,31,3.33,średni,10,0.2692261363047866
181.0,tvn24cnb,"To on stoi za wyborem Rafała Trzaskowskiego jako kandydata na prezydenta i to on przewodzi koalicyjnemu rządowi, a więc to na niego spada wina za porażkę w ostatnich wyborach. Jako fan piłki nożnej Donald Tusk musi wiedzieć, że być może właśnie przegrał mecz o wszystko, a za dwa lata, podczas wyborów parlamentarnych czeka go mecz o honor. ""Wina Tuska?"" - reportaż Artura Zakrzewskiego dziś o 20.30.",4,3,11,18,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"To on stoi za wyborem Rafała Trzaskowskiego jako kandydata na prezydenta i to on przewodzi koalicyjnemu rządowi, a więc to na niego spada wina za porażkę w ostatnich wyborach. Jako fan piłki nożnej Donald Tusk musi wiedzieć, że być może właśnie przegrał mecz o wszystko, a za dwa lata, podczas wyborów parlamentarnych czeka go mecz o honor. ""Wina Tuska?"" - reportaż Artura Zakrzewskiego dziś o 20.30.","To on stoi za wyborem Rafała Trzaskowskiego jako kandydata na prezydenta i to on przewodzi koalicyjnemu rządowi, a więc to na niego spada wina za porażkę w ostatnich wyborach. Jako fan piłki nożnej Donald Tusk musi wiedzieć, że być może właśnie przegrał mecz o wszystko, a za dwa lata, podczas wyborów parlamentarnych czeka go mecz o honor. ""Wina Tuska?"" - reportaż Artura Zakrzewskiego dziś o 20.30.",,,,0,0,0,400,66,0.27,średni,10,0.4791829578288957
758.0,awapacz,"Przecież Tusk ma całą władzę w RP, składy wszystkich komisji wyborczych wybierali sami. swoi z KO i w Krakowie również i ci sami liczyli glosy. Gdyby nie te fakty to P. Nawrocki K. uzyskał by 66% głosów.",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Przecież Tusk ma całą władzę w RP, składy wszystkich komisji wyborczych wybierali sami. swoi z KO i w Krakowie również i ci sami liczyli glosy. Gdyby nie te fakty to P. Nawrocki K. uzyskał by 66% głosów.","Przecież Tusk ma całą władzę w RP, składy wszystkich komisji wyborczych wybierali sami. swoi z KO i w Krakowie również i ci sami liczyli glosy. Gdyby nie te fakty to P. Nawrocki K. uzyskał by 66% głosów.",,,,0,0,0,203,37,0.0,niski,10,0.2812160357196379
10.0,p19731971,Skoro Prezydent NAWROCKI ma zamiar upublicznić raport WSI to Tusk będzie robił wszystko by do tego nie dopuścić 😉,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Skoro Prezydent NAWROCKI ma zamiar upublicznić raport WSI to Tusk będzie robił wszystko by do tego nie dopuścić 😉,Skoro Prezydent NAWROCKI ma zamiar upublicznić raport WSI to Tusk będzie robił wszystko by do tego nie dopuścić 😉,,,,0,0,0,113,19,0.0,niski,10,0.6560795385703174
936.0,ewzg116920,"Premier Tusk zdziwiłby się , ponieważ jestem pewna , że pan Nawrocki wygrałby i tak większością głosów. 🇵🇱🇵🇱🇵🇱🇵🇱👍👍👍👍👍👍👍👍",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Premier Tusk zdziwiłby się , ponieważ jestem pewna , że pan Nawrocki wygrałby i tak większością głosów. 🇵🇱🇵🇱🇵🇱🇵🇱👍👍👍👍👍👍👍👍","Premier Tusk zdziwiłby się , ponieważ jestem pewna , że pan Nawrocki wygrałby i tak większością głosów. 🇵🇱🇵🇱🇵🇱🇵🇱👍👍👍👍👍👍👍👍",,,,0,0,0,120,18,0.0,niski,10,0.4039504912243274
7.0,hubnerrmax,"Dlaczego szuria Giertycha, działająca na pozwolenie Donalda Tuska, tak bardzo chce uwalić ważne wybory i nie doprowadzić do zaprzysiężenia Prezydenta Elekta, Karola Nawrockiego? Pasjonata zrobił piękną rozpiskę. Chcieli domknąć autorytarny system. Nawrocki na to nie pozwoli.",0,61,2,63,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Dlaczego szuria Giertycha, działająca na pozwolenie Donalda Tuska, tak bardzo chce uwalić ważne wybory i nie doprowadzić do zaprzysiężenia Prezydenta Elekta, Karola Nawrockiego? Pasjonata zrobił piękną rozpiskę. Chcieli domknąć autorytarny system. Nawrocki na to nie pozwoli.","Dlaczego szuria Giertycha, działająca na pozwolenie Donalda Tuska, tak bardzo chce uwalić ważne wybory i nie doprowadzić do zaprzysiężenia Prezydenta Elekta, Karola Nawrockiego? Pasjonata zrobił piękną rozpiskę. Chcieli domknąć autorytarny system. Nawrocki na to nie pozwoli.",,,,0,0,0,275,36,30.5,wysoki,10,0.3325635985169355
10.0,hubnerrmax,"Donald Tusk: Nikt, nawet jeśli sprawuje najwyższy urząd w państwie, nie ma prawa lekceważyć żadnego wyborcy, żadnego oddanego głosu. Słusznie Panie Premierze. To zrozum że wygrał Karol Nawrocki, Polacy Ciebie już nie chcą, i korzystając z Waszego słownictwa... ""wypierdalaj"".",0,22,1,23,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Donald Tusk: Nikt, nawet jeśli sprawuje najwyższy urząd w państwie, nie ma prawa lekceważyć żadnego wyborcy, żadnego oddanego głosu. Słusznie Panie Premierze. To zrozum że wygrał Karol Nawrocki, Polacy Ciebie już nie chcą, i korzystając z Waszego słownictwa... ""wypierdalaj"".","Donald Tusk: Nikt, nawet jeśli sprawuje najwyższy urząd w państwie, nie ma prawa lekceważyć żadnego wyborcy, żadnego oddanego głosu. Słusznie Panie Premierze. To zrozum że wygrał Karol Nawrocki, Polacy Ciebie już nie chcą, i korzystając z Waszego słownictwa... ""wypierdalaj"".",,,,0,0,0,275,39,22.0,średni,10,0.394542172207192
788.0,annawitczak16,"Tusk i jego oszczerstwa Tusk to kan.lia bardzo mściwa Jemu zależało na wygranej trzaskowskiego, myślał że tymi oszczerstwami pomoże mu wygrać. Tusk powinien iść siedzieć dość jego niszczenie ludzi. Ci co pomogą mu dalej rządzić sami podpiszą na siebie wyrok",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Tusk i jego oszczerstwa Tusk to kan.lia bardzo mściwa Jemu zależało na wygranej trzaskowskiego, myślał że tymi oszczerstwami pomoże mu wygrać. Tusk powinien iść siedzieć dość jego niszczenie ludzi. Ci co pomogą mu dalej rządzić sami podpiszą na siebie wyrok","Tusk i jego oszczerstwa Tusk to kan.lia bardzo mściwa Jemu zależało na wygranej trzaskowskiego, myślał że tymi oszczerstwami pomoże mu wygrać. Tusk powinien iść siedzieć dość jego niszczenie ludzi. Ci co pomogą mu dalej rządzić sami podpiszą na siebie wyrok",,,,0,0,0,257,40,0.0,niski,10,0.7697183802636466
134.0,wojciec59832415,"Przed wyborami powiedział Jarek, gdy wygra Nawrocki Tusk nie uwierzy, gdy Trzaskowski musimy się przeciwstawić. Bez względu na wynik wyborów skończy się wojną domową ,przewaga 300 tys głosów nie jest warta przyszłości narodu.",0,2,0,2,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,"Przed wyborami powiedział Jarek, gdy wygra Nawrocki Tusk nie uwierzy, gdy Trzaskowski musimy się przeciwstawić. Bez względu na wynik wyborów skończy się wojną domową ,przewaga 300 tys głosów nie jest warta przyszłości narodu.","Przed wyborami powiedział Jarek, gdy wygra Nawrocki Tusk nie uwierzy, gdy Trzaskowski musimy się przeciwstawić. Bez względu na wynik wyborów skończy się wojną domową ,przewaga 300 tys głosów nie jest warta przyszłości narodu.",,,,0,0,0,225,33,2.0,średni,10,0.4821209615745445
