id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
692.0,lucas70537639,"Karol Nawrocki is a normal guy, he doesn't have to pretend or prove anything, he just does what he has to do. The media likes to transform reality, in this way they create a way of thinking for those who don't want to think",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Karol Nawrocki is a normal guy, he doesn't have to pretend or prove anything, he just does what he has to do. The media likes to transform reality, in this way they create a way of thinking for those who don't want to think","Karol Nawrocki is a normal guy, he doesn't have to pretend or prove anything, he just does what he has to do. The media likes to transform reality, in this way they create a way of thinking for those who don't want to think",,,,0,0,0,223,44,0.0,niski,12,1.0
167.0,kubus_z_lasu,"Co ma do tego Kaczyński, Duda i Nawrocki? 31 maja rządzi Donaldinio i jego hołota... Wyraźnie widać, że to jest platfusiarska prowokacja.",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Co ma do tego Kaczyński, Duda i Nawrocki? 31 maja rządzi Donaldinio i jego hołota... Wyraźnie widać, że to jest platfusiarska prowokacja.","Co ma do tego Kaczyński, Duda i Nawrocki? 31 maja rządzi Donaldinio i jego hołota... Wyraźnie widać, że to jest platfusiarska prowokacja.",,,,0,0,0,137,22,0.0,niski,12,1.0
660.0,tvn24,"Monika Rosa oceniła w @TakJestTVN24, że gdyby faktycznie Przemysław Czarnek objął funkcję szefa kancelarii Nawrockiego, to jego zadaniem będzie ""pilnowanie, żeby Karol Nawrocki nie urwał się Jarosławowi Kaczyńskiemu"". tvn24.pl/polska/przemyslaw-c…",0,2,4,6,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Monika Rosa oceniła w , że gdyby faktycznie Przemysław Czarnek objął funkcję szefa kancelarii Nawrockiego, to jego zadaniem będzie ""pilnowanie, żeby Karol Nawrocki nie urwał się Jarosławowi Kaczyńskiemu"".","Monika Rosa oceniła w , że gdyby faktycznie Przemysław Czarnek objął funkcję szefa kancelarii Nawrockiego, to jego zadaniem będzie ""pilnowanie, żeby Karol Nawrocki nie urwał się Jarosławowi Kaczyńskiemu"".",@TakJestTVN24,,tvn24.pl/polska/przemyslaw-c…,1,0,1,204,28,0.5,średni,12,1.0
172.0,upupaepops3103,"Kaczyński miał pełną świadomość tego, co wywijał Nawrocki.",0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,"Kaczyński miał pełną świadomość tego, co wywijał Nawrocki.","Kaczyński miał pełną świadomość tego, co wywijał Nawrocki.",,,,0,0,0,58,8,0.0,niski,12,1.0
676.0,politycznymokie,Czy Karol Nawrocki prędzej czy później oderwie się od smyczy Jarosława Kaczyńskiego?,0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,Czy Karol Nawrocki prędzej czy później oderwie się od smyczy Jarosława Kaczyńskiego?,Czy Karol Nawrocki prędzej czy później oderwie się od smyczy Jarosława Kaczyńskiego?,,,,0,0,0,84,12,0.0,niski,12,1.0
350.0,dariuszsmo,"Nie wierzę Hołowni. Zrobił już parę świństw, choćby w sprawie Kamińskiego i Wąsika, a w sprawie zaprzysiężenia Nawrockiego też może coś wywinąć. Dopóki Nawrocki nie zostanie zaprzysiężony, doputy jest groźba że Hołownia, Tusk, Bodnar i Giertych mają w planie jakieś łajdactwo.",0,0,0,0,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Nie wierzę Hołowni. Zrobił już parę świństw, choćby w sprawie Kamińskiego i Wąsika, a w sprawie zaprzysiężenia Nawrockiego też może coś wywinąć. Dopóki Nawrocki nie zostanie zaprzysiężony, doputy jest groźba że Hołownia, Tusk, Bodnar i Giertych mają w planie jakieś łajdactwo.","Nie wierzę Hołowni. Zrobił już parę świństw, choćby w sprawie Kamińskiego i Wąsika, a w sprawie zaprzysiężenia Nawrockiego też może coś wywinąć. Dopóki Nawrocki nie zostanie zaprzysiężony, doputy jest groźba że Hołownia, Tusk, Bodnar i Giertych mają w planie jakieś łajdactwo.",,,,0,0,0,276,41,0.0,niski,12,1.0
261.0,dariusz_jonski,"Dziś Kaczyński stwierdził, że Nawrocki nie jest już obywatelski. Szybko poszło.",3,151,107,261,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,"Dziś Kaczyński stwierdził, że Nawrocki nie jest już obywatelski. Szybko poszło.","Dziś Kaczyński stwierdził, że Nawrocki nie jest już obywatelski. Szybko poszło.",,,,0,0,0,79,11,1.41,wysoki,12,1.0
286.0,marctime71,Kaczyński wymyślil projekt Nawrocki W projekt zaangażował Czarnka Marciniaka Manowską Celem projektu było skręcenie wyborów Czego nie rozumiecie ?,0,77,8,85,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,Kaczyński wymyślil projekt Nawrocki W projekt zaangażował Czarnka Marciniaka Manowską Celem projektu było skręcenie wyborów Czego nie rozumiecie ?,Kaczyński wymyślil projekt Nawrocki W projekt zaangażował Czarnka Marciniaka Manowską Celem projektu było skręcenie wyborów Czego nie rozumiecie ?,,,,0,0,0,146,19,9.62,wysoki,12,1.0
1.0,krzysztofrkoff,"Ciekawe czy @Piotr_Halicki zajmie się całością zjawiska, które ma miejsce od lat 90, czy tylko zlecenie było na opisanie historii z dodatkiem słów: Nawrocki Kaczyński",0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,"Ciekawe czy zajmie się całością zjawiska, które ma miejsce od lat 90, czy tylko zlecenie było na opisanie historii z dodatkiem słów: Nawrocki Kaczyński","Ciekawe czy zajmie się całością zjawiska, które ma miejsce od lat 90, czy tylko zlecenie było na opisanie historii z dodatkiem słów: Nawrocki Kaczyński",@Piotr_Halicki,,,1,0,0,151,24,0.0,niski,12,1.0
56.0,darek_lato,"Wielu się dziwiło: dlaczego akurat Nawrocki? Przecież to nie żaden autorytet, nie lider, nie symbol jedności. Ale właśnie o to chodziło. Kaczyński nie szukał prezydenta, tylko pionka bez sumienia. I znalazł idealnego. Nawrocki nie ma problemu z tym, że urząd zawdzięcza przekrętowi. Może mu plują w twarz, ale on i tak z dumą nosi krawat. Bo nie chodzi o służbę obywatelom. Chodzi tylko o to, by chronić układ mafijny. Kaczor szukał i znalazł.",0,10,2,12,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,"Wielu się dziwiło: dlaczego akurat Nawrocki? Przecież to nie żaden autorytet, nie lider, nie symbol jedności. Ale właśnie o to chodziło. Kaczyński nie szukał prezydenta, tylko pionka bez sumienia. I znalazł idealnego. Nawrocki nie ma problemu z tym, że urząd zawdzięcza przekrętowi. Może mu plują w twarz, ale on i tak z dumą nosi krawat. Bo nie chodzi o służbę obywatelom. Chodzi tylko o to, by chronić układ mafijny. Kaczor szukał i znalazł.","Wielu się dziwiło: dlaczego akurat Nawrocki? Przecież to nie żaden autorytet, nie lider, nie symbol jedności. Ale właśnie o to chodziło. Kaczyński nie szukał prezydenta, tylko pionka bez sumienia. I znalazł idealnego. Nawrocki nie ma problemu z tym, że urząd zawdzięcza przekrętowi. Może mu plują w twarz, ale on i tak z dumą nosi krawat. Bo nie chodzi o służbę obywatelom. Chodzi tylko o to, by chronić układ mafijny. Kaczor szukał i znalazł.",,,,0,0,0,443,73,5.0,średni,12,1.0
