id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
10.0,showgestern,"Das ist ja blöd. Da wollte die EU die Präsidentenwahl in Polen schon feiern und jetzt muss sie in Rumämien anrufen und fragen, wie man das mit dieser Anullierung macht. #Nawrocki #Trzaskowski",0,36,3,39,02-06-25,2025-06-02,2025.0,6.0,2.0,0.0,"Das ist ja blöd. Da wollte die EU die Präsidentenwahl in Polen schon feiern und jetzt muss sie in Rumämien anrufen und fragen, wie man das mit dieser Anullierung macht. Nawrocki Trzaskowski","Das ist ja blöd. Da wollte die EU die Präsidentenwahl in Polen schon feiern und jetzt muss sie in Rumämien anrufen und fragen, wie man das mit dieser Anullierung macht.",,#Nawrocki|#Trzaskowski,,0,2,0,189,32,12.0,wysoki,13,0.4751537623771317
166.0,polish_pride_86,"Stare Grażyny z kodu i emeryci z SB straszą Rumunią :D To wychodźcie już teraz na ulicę, wsrod młodych, kibiców i narodowców wygrał Nawrocki, będziecie spierdalać szybciej niż Giertych przed wymiarem sprawiedliwości",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Stare Grażyny z kodu i emeryci z SB straszą Rumunią :D To wychodźcie już teraz na ulicę, wsrod młodych, kibiców i narodowców wygrał Nawrocki, będziecie spierdalać szybciej niż Giertych przed wymiarem sprawiedliwości","Stare Grażyny z kodu i emeryci z SB straszą Rumunią :D To wychodźcie już teraz na ulicę, wsrod młodych, kibiców i narodowców wygrał Nawrocki, będziecie spierdalać szybciej niż Giertych przed wymiarem sprawiedliwości",,,,0,0,0,215,32,0.0,niski,13,1.0
339.0,brugesgroup,"When Romanian authorities (backed by the EU) annulled their presidential election, a precedent was set, which Tusk’s gov. apparently hopes to emulate. If Nawrocki’s victory in Poland is overturned, no election in Europe will be safe. This is existential - democracy could die.",0,33,8,41,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"When Romanian authorities (backed by the EU) annulled their presidential election, a precedent was set, which Tusk’s gov. apparently hopes to emulate. If Nawrocki’s victory in Poland is overturned, no election in Europe will be safe. This is existential - democracy could die.","When Romanian authorities (backed by the EU) annulled their presidential election, a precedent was set, which Tusk’s gov. apparently hopes to emulate. If Nawrocki’s victory in Poland is overturned, no election in Europe will be safe. This is existential - democracy could die.",,,,0,0,0,276,43,4.12,wysoki,13,0.4414331042886516
31.0,georgesimion,"These days in 🇵🇱: when losing power, globalists are capable of anything. Even to question people's votes. We, Romanians, know exactly how it is. @NawrockiKn was voted by Polish people majority, but @donaldtusk continues to deny this. Is democracy under attack? Absolutely!",7,252,65,324,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"These days in 🇵🇱: when losing power, globalists are capable of anything. Even to question people's votes. We, Romanians, know exactly how it is. was voted by Polish people majority, but continues to deny this. Is democracy under attack? Absolutely!","These days in 🇵🇱: when losing power, globalists are capable of anything. Even to question people's votes. We, Romanians, know exactly how it is. was voted by Polish people majority, but continues to deny this. Is democracy under attack? Absolutely!",@NawrockiKn|@donaldtusk,,,2,0,0,248,40,3.88,wysoki,13,1.0
8.0,surdoiut,Si atunci ce cauta PiS in Romania sa-l sustina pe Simuion sau de ce Trump l-a sustinut pe Nawroki? Alooo dubla masura! Lasa harneala ca esti penibil!,2,0,0,0,,,,,,,Si atunci ce cauta PiS in Romania sa-l sustina pe Simuion sau de ce Trump l-a sustinut pe Nawroki? Alooo dubla masura! Lasa harneala ca esti penibil!,Si atunci ce cauta PiS in Romania sa-l sustina pe Simuion sau de ce Trump l-a sustinut pe Nawroki? Alooo dubla masura! Lasa harneala ca esti penibil!,,,,0,0,0,149,27,0.0,niski,13,1.0
11.0,hubnerrmax,"19. Na samym końcu (przynajmniej na 4 czerwca, 19:20) Karol Nawrocki skupił się na Rumunii - co jest bardzo znaczące. Wpierw zwrócił się do przegranego w wyborach w Rumunii i swojego politycznego przyjaciela - George'a Simiona. To ważne, również dla kilku poprzednich punktów.",0,3,2,5,"Jun 4, 2025 · 5:20 PM UTC",,,,,,"19. Na samym końcu (przynajmniej na 4 czerwca, 19:20) Karol Nawrocki skupił się na Rumunii - co jest bardzo znaczące. Wpierw zwrócił się do przegranego w wyborach w Rumunii i swojego politycznego przyjaciela - George'a Simiona. To ważne, również dla kilku poprzednich punktów.","19. Na samym końcu (przynajmniej na 4 czerwca, 19:20) Karol Nawrocki skupił się na Rumunii - co jest bardzo znaczące. Wpierw zwrócił się do przegranego w wyborach w Rumunii i swojego politycznego przyjaciela - George'a Simiona. To ważne, również dla kilku poprzednich punktów.",,,,0,0,0,276,43,1.5,średni,13,1.0
266.0,marioawario,Wiecie dlaczego #Rumunia i #Rumuni wygrali z czopkiem Putina? Bo media się nie ugięły Zaprosiły na debaty na swoich zasadach Simon uciekał jak Nawrocki z 4 debat? Ale tam debaty dochodziły do skutku tylko zostawało puste krzesło🪑! Przestańcie się cackac z PiS owcami! #Media,3,205,19,227,"May 20, 2025 · 10:10 AM UTC",,,,,,Wiecie dlaczego Rumunia i Rumuni wygrali z czopkiem Putina? Bo media się nie ugięły Zaprosiły na debaty na swoich zasadach Simon uciekał jak Nawrocki z 4 debat? Ale tam debaty dochodziły do skutku tylko zostawało puste krzesło🪑! Przestańcie się cackac z PiS owcami! Media,Wiecie dlaczego i wygrali z czopkiem Putina? Bo media się nie ugięły Zaprosiły na debaty na swoich zasadach Simon uciekał jak Nawrocki z 4 debat? Ale tam debaty dochodziły do skutku tylko zostawało puste krzesło🪑! Przestańcie się cackac z PiS owcami!,,#Rumunia|#Rumuni|#Media,,0,3,0,271,44,10.79,wysoki,13,1.0
623.0,obserwatorium_w,Czy ktoś może sprawdzić uczciwość kampanii w internecie? Według @gazeta_wyborcza i @Radio_TOK_FM przed II turą Tik Tok wyświetlał 5 razy więcej treści wspierających @NawrockiKn niż @trzaskowski_ Co na to @CYFRA_GOV_PL Krajowe Biuro Wyborcze i sztab @trzaskowski_ ? To samo było w Rumunii! Opis działania Tik Tok i władz Rumunii poniżej (w 2 tweedach) Opracował: Diabeł Boruta,3,40,7,50,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Czy ktoś może sprawdzić uczciwość kampanii w internecie? Według i przed II turą Tik Tok wyświetlał 5 razy więcej treści wspierających niż Co na to Krajowe Biuro Wyborcze i sztab ? To samo było w Rumunii! Opis działania Tik Tok i władz Rumunii poniżej (w 2 tweedach) Opracował: Diabeł Boruta,Czy ktoś może sprawdzić uczciwość kampanii w internecie? Według i przed II turą Tik Tok wyświetlał 5 razy więcej treści wspierających niż Co na to Krajowe Biuro Wyborcze i sztab ? To samo było w Rumunii! Opis działania Tik Tok i władz Rumunii poniżej (w 2 tweedach) Opracował: Diabeł Boruta,@gazeta_wyborcza|@Radio_TOK_FM|@NawrockiKn|@trzaskowski_|@CYFRA_GOV_PL|@trzaskowski_,,,6,0,0,290,50,5.71,wysoki,13,0.9072115219033804
31.0,rybitzky,"Bodnar już snuje sugestie „wariantu rumuńskiego”. Często tu piszecie „oni nie odważą się zanegować wyborów”. Przecież oni otwarcie i od dawna zapowiadali, co zrobią, jeśli nie wygra Trzaskowski. A teraz zaczynają stopniowo wdrażać swój plan. Czemu mają się zatrzymać, skoro widzimy co już w Polsce nawyrabiali?",1,12,2,15,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bodnar już snuje sugestie „wariantu rumuńskiego”. Często tu piszecie „oni nie odważą się zanegować wyborów”. Przecież oni otwarcie i od dawna zapowiadali, co zrobią, jeśli nie wygra Trzaskowski. A teraz zaczynają stopniowo wdrażać swój plan. Czemu mają się zatrzymać, skoro widzimy co już w Polsce nawyrabiali?","Bodnar już snuje sugestie „wariantu rumuńskiego”. Często tu piszecie „oni nie odważą się zanegować wyborów”. Przecież oni otwarcie i od dawna zapowiadali, co zrobią, jeśli nie wygra Trzaskowski. A teraz zaczynają stopniowo wdrażać swój plan. Czemu mają się zatrzymać, skoro widzimy co już w Polsce nawyrabiali?",,,,0,0,0,310,46,6.0,wysoki,13,1.0
300.0,iimandela,"Nie można anulować jednej tury. Jeśli natomiast powtórzono by wybory, jak w Rumunii, Trzaskowski i PO, zostaliby z nich wyeliminowani, z uwagi na nielegalne wsparcie z zagranicy - dokładnie jak Georgescu. Ponadto PO straciłoby dotację budżetową.",0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Nie można anulować jednej tury. Jeśli natomiast powtórzono by wybory, jak w Rumunii, Trzaskowski i PO, zostaliby z nich wyeliminowani, z uwagi na nielegalne wsparcie z zagranicy - dokładnie jak Georgescu. Ponadto PO straciłoby dotację budżetową.","Nie można anulować jednej tury. Jeśli natomiast powtórzono by wybory, jak w Rumunii, Trzaskowski i PO, zostaliby z nich wyeliminowani, z uwagi na nielegalne wsparcie z zagranicy - dokładnie jak Georgescu. Ponadto PO straciłoby dotację budżetową.",,,,0,0,0,245,36,0.0,niski,13,1.0
