id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
81.0,anna_vxz,A wiesz że Nawrocki w I turze miał mniej bo głosowaliśmy np. na Mentzena?,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,A wiesz że Nawrocki w I turze miał mniej bo głosowaliśmy np. na Mentzena?,A wiesz że Nawrocki w I turze miał mniej bo głosowaliśmy np. na Mentzena?,,,,0,0,0,73,14,0.0,niski,14,0.9846619219848368
20.0,artur31200842,Nawrocki jest. Aczkolwiek jak by były powtórzone wybory to nie zdziwił bym się jak by wygrał Braun lub Mentzen..,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Nawrocki jest. Aczkolwiek jak by były powtórzone wybory to nie zdziwił bym się jak by wygrał Braun lub Mentzen..,Nawrocki jest. Aczkolwiek jak by były powtórzone wybory to nie zdziwił bym się jak by wygrał Braun lub Mentzen..,,,,0,0,0,112,19,0.0,niski,14,1.0
9.0,bartoszszczepa,"Ciekawa by była 2 tura Zandberg Nawrocki. Wtedy wyborcy Mentzena podzielili by się na pół, a wśród wyborców Brauna byłaby mniejsza mobilizacja.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Ciekawa by była 2 tura Zandberg Nawrocki. Wtedy wyborcy Mentzena podzielili by się na pół, a wśród wyborców Brauna byłaby mniejsza mobilizacja.","Ciekawa by była 2 tura Zandberg Nawrocki. Wtedy wyborcy Mentzena podzielili by się na pół, a wśród wyborców Brauna byłaby mniejsza mobilizacja.",,,,0,0,0,143,22,0.0,niski,14,1.0
23.0,ryszardw1957,Milerr to komuch i niech nikogo nie zmyli co on obecnie mówi . Przypomnijcie sobie jak głosował w PE . Przejdzie wam szybko . Brudziński nie podskakuj dobrze ci radzę . Podziękuj nam bo bez nas Nawrocki nie wygra . Macie 25% Konfa z Braunem będą rośli bo Polska upada ...,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Milerr to komuch i niech nikogo nie zmyli co on obecnie mówi . Przypomnijcie sobie jak głosował w PE . Przejdzie wam szybko . Brudziński nie podskakuj dobrze ci radzę . Podziękuj nam bo bez nas Nawrocki nie wygra . Macie 25% Konfa z Braunem będą rośli bo Polska upada ...,Milerr to komuch i niech nikogo nie zmyli co on obecnie mówi . Przypomnijcie sobie jak głosował w PE . Przejdzie wam szybko . Brudziński nie podskakuj dobrze ci radzę . Podziękuj nam bo bez nas Nawrocki nie wygra . Macie 25% Konfa z Braunem będą rośli bo Polska upada ...,,,,0,0,0,271,51,0.0,niski,14,1.0
78.0,ahaahaokok,"Masz rację, druga tura bez Trzaskowskiego, bo prowadził nielegalną kampanię. Niech Nawrocki walczy z Mentzenem.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Masz rację, druga tura bez Trzaskowskiego, bo prowadził nielegalną kampanię. Niech Nawrocki walczy z Mentzenem.","Masz rację, druga tura bez Trzaskowskiego, bo prowadził nielegalną kampanię. Niech Nawrocki walczy z Mentzenem.",,,,0,0,0,111,15,0.0,niski,14,1.0
10.0,anonimowy987,"Konfederacja rosnie kadrowo, to nie jest partia sezonowa. Co do Mentzena - sumujac wynim Brauna i Mentzena to ponad 20% bylo. Nawrocki w marcu nie byl jeszcze w betonie PiS rozpoznawalny, bo zbyt pokrecili poczatkowo jego kampanie.",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Konfederacja rosnie kadrowo, to nie jest partia sezonowa. Co do Mentzena - sumujac wynim Brauna i Mentzena to ponad 20% bylo. Nawrocki w marcu nie byl jeszcze w betonie PiS rozpoznawalny, bo zbyt pokrecili poczatkowo jego kampanie.","Konfederacja rosnie kadrowo, to nie jest partia sezonowa. Co do Mentzena - sumujac wynim Brauna i Mentzena to ponad 20% bylo. Nawrocki w marcu nie byl jeszcze w betonie PiS rozpoznawalny, bo zbyt pokrecili poczatkowo jego kampanie.",,,,0,0,0,231,37,0.0,niski,14,1.0
96.0,mrmadsmax,"Wymień kogoś z konfy kto może objąc tekę ministra spraw zagranicznych? Albo ministra pracy? ps. Nawrocki spadał poniżej Mentzena, a nie startował spod Mentzena. To były bajki.",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Wymień kogoś z konfy kto może objąc tekę ministra spraw zagranicznych? Albo ministra pracy? ps. Nawrocki spadał poniżej Mentzena, a nie startował spod Mentzena. To były bajki.","Wymień kogoś z konfy kto może objąc tekę ministra spraw zagranicznych? Albo ministra pracy? ps. Nawrocki spadał poniżej Mentzena, a nie startował spod Mentzena. To były bajki.",,,,0,0,0,175,27,0.0,niski,14,1.0
932.0,jakubmajmurek,"O roli jaką w kampanii odegrały męskie emocje, lęki i archetypy rozmawiam z psychoterapeutą i seksuologiem Andrzejem Gryżewskim oraz badaczem męskości Wojciechem Śmieją: AG: Nawrocki zaimponował wyborcom, bo w dużej mierze znormalizował męskie zachowania, które były społecznie piętnowane jako żenujące i przemocowe. Nawrocki wysyła swoim wyborcom komunikat: możecie być „męskimi mężczyznami”, ważna jest fizyczna krzepa, spędzanie czasu w męskim gronie. Mężczyźni, którzy ciągle słyszą, jak się mają zmieniać, uczyć wrażliwości, uczyć się rozmawiać z kobietami, łapią się na ten komunikat. W moim gabinecie tłumaczą to tym, że mają dość ciągle uciekającej im poprzeczki społecznych oczekiwań. WŚ: Nawrocki jest mniej więcej rówieśnikiem Silnego [z Wojny polsko-ruskiej Masłowskiej]. Tak jak on pochodzi z Gdańska i związany jest ze światem kibolskim. Nawrocki to Silny, który zamienił dres na garnitur, zrobił doktorat, został dyrektorem muzeum, a w końcu prezydentem-elektem. Gdyby to napisała Masłowska jako kontynuację, byłoby to nieźle przegiętą historią, a okazuje się naszą nieodległą przyszłością. Ten kibolski kontekst jest tu bardzo istotny. W Niesamowitej słowiańszczyźnie Maria Janion pisała o szczególnej roli, jaką w organizowaniu polskiej polityczności odgrywały homospołeczne grupy mężczyzn: filomaci, filareci, legioniści Piłsudskiego, leśni z AK i z AL. W ostatnich dekadach – i o tym też Janion pisała – tę rolę przejęły właśnie grupy kibicowskie. krytykapolityczna.pl/kraj/po…",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"O roli jaką w kampanii odegrały męskie emocje, lęki i archetypy rozmawiam z psychoterapeutą i seksuologiem Andrzejem Gryżewskim oraz badaczem męskości Wojciechem Śmieją: AG: Nawrocki zaimponował wyborcom, bo w dużej mierze znormalizował męskie zachowania, które były społecznie piętnowane jako żenujące i przemocowe. Nawrocki wysyła swoim wyborcom komunikat: możecie być „męskimi mężczyznami”, ważna jest fizyczna krzepa, spędzanie czasu w męskim gronie. Mężczyźni, którzy ciągle słyszą, jak się mają zmieniać, uczyć wrażliwości, uczyć się rozmawiać z kobietami, łapią się na ten komunikat. W moim gabinecie tłumaczą to tym, że mają dość ciągle uciekającej im poprzeczki społecznych oczekiwań. WŚ: Nawrocki jest mniej więcej rówieśnikiem Silnego [z Wojny polsko-ruskiej Masłowskiej]. Tak jak on pochodzi z Gdańska i związany jest ze światem kibolskim. Nawrocki to Silny, który zamienił dres na garnitur, zrobił doktorat, został dyrektorem muzeum, a w końcu prezydentem-elektem. Gdyby to napisała Masłowska jako kontynuację, byłoby to nieźle przegiętą historią, a okazuje się naszą nieodległą przyszłością. Ten kibolski kontekst jest tu bardzo istotny. W Niesamowitej słowiańszczyźnie Maria Janion pisała o szczególnej roli, jaką w organizowaniu polskiej polityczności odgrywały homospołeczne grupy mężczyzn: filomaci, filareci, legioniści Piłsudskiego, leśni z AK i z AL. W ostatnich dekadach – i o tym też Janion pisała – tę rolę przejęły właśnie grupy kibicowskie.","O roli jaką w kampanii odegrały męskie emocje, lęki i archetypy rozmawiam z psychoterapeutą i seksuologiem Andrzejem Gryżewskim oraz badaczem męskości Wojciechem Śmieją: AG: Nawrocki zaimponował wyborcom, bo w dużej mierze znormalizował męskie zachowania, które były społecznie piętnowane jako żenujące i przemocowe. Nawrocki wysyła swoim wyborcom komunikat: możecie być „męskimi mężczyznami”, ważna jest fizyczna krzepa, spędzanie czasu w męskim gronie. Mężczyźni, którzy ciągle słyszą, jak się mają zmieniać, uczyć wrażliwości, uczyć się rozmawiać z kobietami, łapią się na ten komunikat. W moim gabinecie tłumaczą to tym, że mają dość ciągle uciekającej im poprzeczki społecznych oczekiwań. WŚ: Nawrocki jest mniej więcej rówieśnikiem Silnego [z Wojny polsko-ruskiej Masłowskiej]. Tak jak on pochodzi z Gdańska i związany jest ze światem kibolskim. Nawrocki to Silny, który zamienił dres na garnitur, zrobił doktorat, został dyrektorem muzeum, a w końcu prezydentem-elektem. Gdyby to napisała Masłowska jako kontynuację, byłoby to nieźle przegiętą historią, a okazuje się naszą nieodległą przyszłością. Ten kibolski kontekst jest tu bardzo istotny. W Niesamowitej słowiańszczyźnie Maria Janion pisała o szczególnej roli, jaką w organizowaniu polskiej polityczności odgrywały homospołeczne grupy mężczyzn: filomaci, filareci, legioniści Piłsudskiego, leśni z AK i z AL. W ostatnich dekadach – i o tym też Janion pisała – tę rolę przejęły właśnie grupy kibicowskie.",,,krytykapolityczna.pl/kraj/po…,0,0,1,1466,204,0.0,niski,14,1.0
132.0,nosoycarlosxdd,"Cuando Kaczynski sugirió que había que empezar a moverse para tumbar a Tus tras la victoria de Nawrocki, Mentzen no tardó ni una hora en responderle que debían sentarse a hablar en qué estrategia iban a tener que llevar a cabo",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Cuando Kaczynski sugirió que había que empezar a moverse para tumbar a Tus tras la victoria de Nawrocki, Mentzen no tardó ni una hora en responderle que debían sentarse a hablar en qué estrategia iban a tener que llevar a cabo","Cuando Kaczynski sugirió que había que empezar a moverse para tumbar a Tus tras la victoria de Nawrocki, Mentzen no tardó ni una hora en responderle que debían sentarse a hablar en qué estrategia iban a tener que llevar a cabo",,,,0,0,0,226,41,0.0,niski,14,1.0
22.0,wojtek1911k,"Zwał jak zwał, jak Nawrocki by powiedział że sprywatyzuje kopalnie to by na pewno wygrał wybory...😂. Tacy to konserwatyści o Zanbergowych poglądach kto da więcej.",0,0,0,0,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,"Zwał jak zwał, jak Nawrocki by powiedział że sprywatyzuje kopalnie to by na pewno wygrał wybory...😂. Tacy to konserwatyści o Zanbergowych poglądach kto da więcej.","Zwał jak zwał, jak Nawrocki by powiedział że sprywatyzuje kopalnie to by na pewno wygrał wybory...😂. Tacy to konserwatyści o Zanbergowych poglądach kto da więcej.",,,,0,0,0,162,25,0.0,niski,14,1.0
17.0,jc02899,Ilu konkretnie nie głosowało? Bo ja jestem wyborcą Mentzena i znam też kilku i głosowaliśmy na mniejsze zło czyli Nawrocki. Trzaskowski był beznadziejnym i niebezpiecznym kandydatem więc trzeba było zagłosować na Nawrockiego.,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Ilu konkretnie nie głosowało? Bo ja jestem wyborcą Mentzena i znam też kilku i głosowaliśmy na mniejsze zło czyli Nawrocki. Trzaskowski był beznadziejnym i niebezpiecznym kandydatem więc trzeba było zagłosować na Nawrockiego.,Ilu konkretnie nie głosowało? Bo ja jestem wyborcą Mentzena i znam też kilku i głosowaliśmy na mniejsze zło czyli Nawrocki. Trzaskowski był beznadziejnym i niebezpiecznym kandydatem więc trzeba było zagłosować na Nawrockiego.,,,,0,0,0,225,32,0.0,niski,14,1.0
196.0,ozjasz2137,"Fakt że Nawrocki podpisał deklarację Toruńską mogło skłonić wielu wyborców Mentzena do zagłosowania na niego, szczególnie tych co nie chcieli iść na 2 turę.",0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,"Fakt że Nawrocki podpisał deklarację Toruńską mogło skłonić wielu wyborców Mentzena do zagłosowania na niego, szczególnie tych co nie chcieli iść na 2 turę.","Fakt że Nawrocki podpisał deklarację Toruńską mogło skłonić wielu wyborców Mentzena do zagłosowania na niego, szczególnie tych co nie chcieli iść na 2 turę.",,,,0,0,0,156,24,0.0,niski,14,1.0
