id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
313.0,wewuncia,"To nie tylko moje zdanie, amebko. Karolek w Grand Hotelu nie pracował? Wielkiego Bu i kryminalisty Śledzia nie znał? Kawalerki staruszkowi nie podwędził? Święty jest bo tak twierdzą Seby i Karyny z pisu o rozumkach paprotek. Wypad!",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"To nie tylko moje zdanie, amebko. Karolek w Grand Hotelu nie pracował? Wielkiego Bu i kryminalisty Śledzia nie znał? Kawalerki staruszkowi nie podwędził? Święty jest bo tak twierdzą Seby i Karyny z pisu o rozumkach paprotek. Wypad!","To nie tylko moje zdanie, amebko. Karolek w Grand Hotelu nie pracował? Wielkiego Bu i kryminalisty Śledzia nie znał? Kawalerki staruszkowi nie podwędził? Święty jest bo tak twierdzą Seby i Karyny z pisu o rozumkach paprotek. Wypad!",,,,0,0,0,231,37,0.0,niski,18,0.5798129598211732
17.0,wkacper_wilk,Co wy chcecie zgłaszać. W bilansie „sfałszowanych głosów” to Nawrocki jest na minusie. Też rzygam już tym Pisem i Platformą ale nie dajmy się zwariować.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Co wy chcecie zgłaszać. W bilansie „sfałszowanych głosów” to Nawrocki jest na minusie. Też rzygam już tym Pisem i Platformą ale nie dajmy się zwariować.,Co wy chcecie zgłaszać. W bilansie „sfałszowanych głosów” to Nawrocki jest na minusie. Też rzygam już tym Pisem i Platformą ale nie dajmy się zwariować.,,,,0,0,0,152,25,0.0,niski,18,0.7466624670850636
9.0,kochgabrie75632,"@SasinJacek Módl się Pan, mierny człowieku, by Nawrocki, gdy już nadejdzie czas Pańskiej kary, Panu nie wycofał poparcia.",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Módl się Pan, mierny człowieku, by Nawrocki, gdy już nadejdzie czas Pańskiej kary, Panu nie wycofał poparcia.","Módl się Pan, mierny człowieku, by Nawrocki, gdy już nadejdzie czas Pańskiej kary, Panu nie wycofał poparcia.",@SasinJacek,,,1,0,0,109,17,0.0,niski,18,0.8895366924967161
822.0,dorota91964597,"Przecież wiadomo, że wszyscy z Pis nie poniosą żadnej kary bo Nawrocki ich wszystkich ułaskawi . To co Bodnar z Kornelukiem nieudolnie zrobili przez 1,5 roku to już wszystko. Koniec rozliczeń",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Przecież wiadomo, że wszyscy z Pis nie poniosą żadnej kary bo Nawrocki ich wszystkich ułaskawi . To co Bodnar z Kornelukiem nieudolnie zrobili przez 1,5 roku to już wszystko. Koniec rozliczeń","Przecież wiadomo, że wszyscy z Pis nie poniosą żadnej kary bo Nawrocki ich wszystkich ułaskawi . To co Bodnar z Kornelukiem nieudolnie zrobili przez 1,5 roku to już wszystko. Koniec rozliczeń",,,,0,0,0,191,31,0.0,niski,18,0.8011838099208676
1.0,minke2711,"A ja się pytam: Gdzie jest jakikolwiek przedstawiciel kościoła katolickiego, który z odwagą stanąłby w obronie @RBakiewicz? Dlaczego kościół milczy, kiedy bezpodstawnie atakuje się człowieka, który o ten kościół walczy? Księża, Biskupi, Arcybiskupi co z Wami? #MuremZaBąkiewiczem",6,360,35,401,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"A ja się pytam: Gdzie jest jakikolwiek przedstawiciel kościoła katolickiego, który z odwagą stanąłby w obronie ? Dlaczego kościół milczy, kiedy bezpodstawnie atakuje się człowieka, który o ten kościół walczy? Księża, Biskupi, Arcybiskupi co z Wami? MuremZaBąkiewiczem","A ja się pytam: Gdzie jest jakikolwiek przedstawiciel kościoła katolickiego, który z odwagą stanąłby w obronie ? Dlaczego kościół milczy, kiedy bezpodstawnie atakuje się człowieka, który o ten kościół walczy? Księża, Biskupi, Arcybiskupi co z Wami?",@RBakiewicz,#MuremZaBąkiewiczem,,1,1,0,267,37,10.29,wysoki,18,1.0
933.0,tomcik1916,Pojebaniec Lepiej aby jego minister edukacji prał mózgi dzieciom... Jak Kościół może straszyć że jak zagłosują na kogoś innego niż Nawrocki to grzech... Katacheci nawet potrafili dzieci ustawiać...!! Skandal,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Pojebaniec Lepiej aby jego minister edukacji prał mózgi dzieciom... Jak Kościół może straszyć że jak zagłosują na kogoś innego niż Nawrocki to grzech... Katacheci nawet potrafili dzieci ustawiać...!! Skandal,Pojebaniec Lepiej aby jego minister edukacji prał mózgi dzieciom... Jak Kościół może straszyć że jak zagłosują na kogoś innego niż Nawrocki to grzech... Katacheci nawet potrafili dzieci ustawiać...!! Skandal,,,,0,0,0,207,29,0.0,niski,18,1.0
722.0,aw_boles42516,Ks.Wierzbicki: Niech nam Nawrocki głosi Słowo Boże z Braunem wpolityce.pl/polityka/732035…,0,0,1,1,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Ks.Wierzbicki: Niech nam Nawrocki głosi Słowo Boże z Braunem,Ks.Wierzbicki: Niech nam Nawrocki głosi Słowo Boże z Braunem,,,wpolityce.pl/polityka/732035…,0,0,1,60,9,0.0,średni,18,0.6247492022723704
166.0,bart_wielinski,"Nawrocki z błogosławieństwem byłego księdza, nacjonalisty Międlara: ""Karolku, jeżeli zdradzisz nasze kibicowskie zasady..."" wroclaw.wyborcza.pl/wroclaw/…",7,310,23,340,14-06-25,2025-06-14,2025.0,6.0,14.0,0.0,"Nawrocki z błogosławieństwem byłego księdza, nacjonalisty Międlara: ""Karolku, jeżeli zdradzisz nasze kibicowskie zasady..."" wroclaw.","Nawrocki z błogosławieństwem byłego księdza, nacjonalisty Międlara: ""Karolku, jeżeli zdradzisz nasze kibicowskie zasady..."" wroclaw.",,,wyborcza.pl/wroclaw/…,0,0,1,132,14,13.48,wysoki,18,1.0
20.0,pieter111120,"Najświętsza Trójca w wykonaniu pisowskiego uzurpatora, Nawrocki-Masiak-Horodko. Swoją drogą bawi mnie to, jak ktoś twojego pokroju wyciera sobie gębę katolickimi frazesami i że jest ktoś, kto to łyka. Świadczy to tylko o poziomie twojego elektoratu. #ChujNiePrezydent",0,6,1,7,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,"Najświętsza Trójca w wykonaniu pisowskiego uzurpatora, Nawrocki-Masiak-Horodko. Swoją drogą bawi mnie to, jak ktoś twojego pokroju wyciera sobie gębę katolickimi frazesami i że jest ktoś, kto to łyka. Świadczy to tylko o poziomie twojego elektoratu. ChujNiePrezydent","Najświętsza Trójca w wykonaniu pisowskiego uzurpatora, Nawrocki-Masiak-Horodko. Swoją drogą bawi mnie to, jak ktoś twojego pokroju wyciera sobie gębę katolickimi frazesami i że jest ktoś, kto to łyka. Świadczy to tylko o poziomie twojego elektoratu.",,#ChujNiePrezydent,,0,1,0,266,36,6.0,średni,18,1.0
1542.0,krzychu7011,"Kogoś takiego jak Nawrocki, nie wspomagają siły boskie",0,0,0,0,18-06-25,2025-06-18,2025.0,6.0,18.0,0.0,"Kogoś takiego jak Nawrocki, nie wspomagają siły boskie","Kogoś takiego jak Nawrocki, nie wspomagają siły boskie",,,,0,0,0,54,8,0.0,niski,18,1.0
