id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
4.0,krzyszt28627341,"Nawrocki ,co ty pierdzielisz. Wybrało ciebie 10,5mln wyborców? Najwyżej 5mln , 5,5 mln to ukradliscie Trzaskowskiemu.",0,0,0,0,01-07-25,2025-07-01,2025.0,7.0,1.0,0.0,"Nawrocki ,co ty pierdzielisz. Wybrało ciebie 10,5mln wyborców? Najwyżej 5mln , 5,5 mln to ukradliscie Trzaskowskiemu.","Nawrocki ,co ty pierdzielisz. Wybrało ciebie 10,5mln wyborców? Najwyżej 5mln , 5,5 mln to ukradliscie Trzaskowskiemu.",,,,0,0,0,117,16,0.0,niski,19,1.0
482.0,jarek361855,Czym? Mamy 200 tys urodzen na rok. Czyli dwa razy wiecej niz Szwecja w 1969 roku ktora miala 8 mln obywateli.,0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Czym? Mamy 200 tys urodzen na rok. Czyli dwa razy wiecej niz Szwecja w 1969 roku ktora miala 8 mln obywateli.,Czym? Mamy 200 tys urodzen na rok. Czyli dwa razy wiecej niz Szwecja w 1969 roku ktora miala 8 mln obywateli.,,,,0,0,0,109,21,0.0,niski,19,1.0
24.0,misterpeterr3,"To nie jest od dziś. Jestem już kilka lat na X. Po sfałszowanych wyborach gdzie wcześniej regularnie banowałem tę hołotę w małych ilościach, wylew tego ""patokaczyzmu"" jest wręcz nie do opanowania",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"To nie jest od dziś. Jestem już kilka lat na X. Po sfałszowanych wyborach gdzie wcześniej regularnie banowałem tę hołotę w małych ilościach, wylew tego ""patokaczyzmu"" jest wręcz nie do opanowania","To nie jest od dziś. Jestem już kilka lat na X. Po sfałszowanych wyborach gdzie wcześniej regularnie banowałem tę hołotę w małych ilościach, wylew tego ""patokaczyzmu"" jest wręcz nie do opanowania",,,,0,0,0,195,31,0.0,niski,19,1.0
8.0,obserwujesobie,"Marta Wcisło🤡🤡🤡 „Trzaskowski przegrał o setne procenta” „Nasze PKB przekroczyło MILIARD dolarów” i za mało o tym mówili. PS Nigdy tego nie pojmę, w jaki sposób ona zdobyła 103 tys. głosów i wylądowała w PE. Nigdy.",39,713,308,1060,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Marta Wcisło🤡🤡🤡 „Trzaskowski przegrał o setne procenta” „Nasze PKB przekroczyło MILIARD dolarów” i za mało o tym mówili. PS Nigdy tego nie pojmę, w jaki sposób ona zdobyła 103 tys. głosów i wylądowała w PE. Nigdy.","Marta Wcisło🤡🤡🤡 „Trzaskowski przegrał o setne procenta” „Nasze PKB przekroczyło MILIARD dolarów” i za mało o tym mówili. PS Nigdy tego nie pojmę, w jaki sposób ona zdobyła 103 tys. głosów i wylądowała w PE. Nigdy.",,,,0,0,0,213,36,2.31,wysoki,19,1.0
32.0,malgosiastraus,Tu masz swoje gwiazdy 👇🏼 Marta Wcisło „Trzaskowski przegrał o setne procenta” „Nasze PKB przekroczyło MILIARD dolarów” i za mało o tym mówili. 😂,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Tu masz swoje gwiazdy 👇🏼 Marta Wcisło „Trzaskowski przegrał o setne procenta” „Nasze PKB przekroczyło MILIARD dolarów” i za mało o tym mówili. 😂,Tu masz swoje gwiazdy 👇🏼 Marta Wcisło „Trzaskowski przegrał o setne procenta” „Nasze PKB przekroczyło MILIARD dolarów” i za mało o tym mówili. 😂,,,,0,0,0,144,24,0.0,niski,19,1.0
317.0,786yaroslav,"I ktoś taki w grantach na swoje ""badania"" np. sędziów w konkursach muzyki klssycznej, wyłudził ponad milion złotych. Państwo jest naprawdę ciężko chore.",0,1,1,2,25-06-25,2025-06-25,2025.0,6.0,25.0,0.0,"I ktoś taki w grantach na swoje ""badania"" np. sędziów w konkursach muzyki klssycznej, wyłudził ponad milion złotych. Państwo jest naprawdę ciężko chore.","I ktoś taki w grantach na swoje ""badania"" np. sędziów w konkursach muzyki klssycznej, wyłudził ponad milion złotych. Państwo jest naprawdę ciężko chore.",,,,0,0,0,152,23,1.0,wysoki,19,0.7456490007784087
28.0,pioterpe,Czy po tym „naukowym” blamażu ten pan odda ponad 1 milion złotych z grantów? 🤔,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Czy po tym „naukowym” blamażu ten pan odda ponad 1 milion złotych z grantów? 🤔,Czy po tym „naukowym” blamażu ten pan odda ponad 1 milion złotych z grantów? 🤔,,,,0,0,0,78,15,0.0,niski,19,0.7859752894402117
19.0,pernambuco778,Piękny plan Podlega pod defraudację środków publicznych?,0,5,1,6,29-06-25,2025-06-29,2025.0,6.0,29.0,0.0,Piękny plan Podlega pod defraudację środków publicznych?,Piękny plan Podlega pod defraudację środków publicznych?,,,,0,0,0,56,7,5.0,wysoki,19,0.7487105148247509
5.0,piotr94086985,Kto to sfinansuje ? Dostałeś granty z KPO ?,0,4,1,5,13-08-25,2025-08-13,2025.0,8.0,13.0,0.0,Kto to sfinansuje ? Dostałeś granty z KPO ?,Kto to sfinansuje ? Dostałeś granty z KPO ?,,,,0,0,0,43,9,4.0,wysoki,19,0.6766613236179564
24.0,art44271697,"Zapłacić szamanom, to oczywiste. A że problem jest poważny to potrzeba wielu szamanów, no miliardy euro po prostu zapłacimy.",0,0,0,0,26-08-25,2025-08-26,2025.0,8.0,26.0,0.0,"Zapłacić szamanom, to oczywiste. A że problem jest poważny to potrzeba wielu szamanów, no miliardy euro po prostu zapłacimy.","Zapłacić szamanom, to oczywiste. A że problem jest poważny to potrzeba wielu szamanów, no miliardy euro po prostu zapłacimy.",,,,0,0,0,124,19,0.0,niski,19,0.7012202698630511
