id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
873.0,kidaoskar,"Bruksela uznała wynik wyborów i dlatego cała ta wierchuszka Uśmiechniętej Koalicji nie kwestionuje wyniku (tylko jacyś szeregowi działacze). Zobaczycie państwo, że Karol Nawrocki bez przeszkód obejmie urząd",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bruksela uznała wynik wyborów i dlatego cała ta wierchuszka Uśmiechniętej Koalicji nie kwestionuje wyniku (tylko jacyś szeregowi działacze). Zobaczycie państwo, że Karol Nawrocki bez przeszkód obejmie urząd","Bruksela uznała wynik wyborów i dlatego cała ta wierchuszka Uśmiechniętej Koalicji nie kwestionuje wyniku (tylko jacyś szeregowi działacze). Zobaczycie państwo, że Karol Nawrocki bez przeszkód obejmie urząd",,,,0,0,0,206,27,0.0,niski,20,0.9502661589271176
18.0,guetta_en,"This is very bad news. At a time when Europeans need to step up in the face of American withdrawal and Russian revanchism, the victory of the nationalist candidate will slow down the EU's political affirmation. #Poland #Nawrocki #Trzaskowski #president bernard-guetta.eu/2025/06/02…",3,51,8,62,02-06-25,2025-06-02,2025.0,6.0,2.0,0.0,"This is very bad news. At a time when Europeans need to step up in the face of American withdrawal and Russian revanchism, the victory of the nationalist candidate will slow down the EU's political affirmation. Poland Nawrocki Trzaskowski president bernard-","This is very bad news. At a time when Europeans need to step up in the face of American withdrawal and Russian revanchism, the victory of the nationalist candidate will slow down the EU's political affirmation. bernard-",,#Poland|#Nawrocki|#Trzaskowski|#president,guetta.eu/2025/06/02…,0,4,1,257,41,6.38,wysoki,20,1.0
491.0,amorgosoid,"This populist movement in Europe is stagnating. For every victory like Nawrocki (who barely even won), you see a loss like Simion. This is not a particularly strong message, 70+% of the vote in every country is still in support of pro european, anti putin parties",0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"This populist movement in Europe is stagnating. For every victory like Nawrocki (who barely even won), you see a loss like Simion. This is not a particularly strong message, 70+% of the vote in every country is still in support of pro european, anti putin parties","This populist movement in Europe is stagnating. For every victory like Nawrocki (who barely even won), you see a loss like Simion. This is not a particularly strong message, 70+% of the vote in every country is still in support of pro european, anti putin parties",,,,0,0,0,263,46,0.0,niski,20,1.0
13.0,realmaalouf,"Absolute chaos at Paris’ street music festival: 371 arrests 6 stabbed 1,500+ injured 13 police officers attacked 51 vehicles set on fire And most shocking: 145 girls injected with syringes with an UNKNOWN substance What the hell is happening in France?",553,6805,2844,10202,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,"Absolute chaos at Paris’ street music festival: 371 arrests 6 stabbed 1,500+ injured 13 police officers attacked 51 vehicles set on fire And most shocking: 145 girls injected with syringes with an UNKNOWN substance What the hell is happening in France?","Absolute chaos at Paris’ street music festival: 371 arrests 6 stabbed 1,500+ injured 13 police officers attacked 51 vehicles set on fire And most shocking: 145 girls injected with syringes with an UNKNOWN substance What the hell is happening in France?",,,,0,0,0,252,41,2.39,wysoki,20,0.945714463054337
9.0,szapuiza,"bedac w opozycji nei dacie rady, trzeba wygrac wybory. Rozpisac referendum, i póki jest Prezydentem Nawrocki, byłąby sznsa na pożeganie się z Brukselą pewnei😉",0,0,1,1,25-10-25,2025-10-25,2025.0,10.0,25.0,0.0,"bedac w opozycji nei dacie rady, trzeba wygrac wybory. Rozpisac referendum, i póki jest Prezydentem Nawrocki, byłąby sznsa na pożeganie się z Brukselą pewnei😉","bedac w opozycji nei dacie rady, trzeba wygrac wybory. Rozpisac referendum, i póki jest Prezydentem Nawrocki, byłąby sznsa na pożeganie się z Brukselą pewnei😉",,,,0,0,0,158,24,0.0,średni,20,0.8519930919661796
842.0,rafaldudkiewic1,"Chciałbym jedną rzecz wytłumaczyć tym tępym akademikom, pracownikom liberalnych mediów, aktywiszczom i politykom obozu demokratycznego. Mamienie ludzi rzekomym dobrobytem i oświeceniem Zachodu jest już pieśnią przeszłości. Najzabawniejsze jak tłumaczy się to ludziom na Podlasiu. Znaczna część regionu od lat ma liczne kontakty zawodowe i rodzinne gł. z Belgią, Holandią, Wielką Brytanią, Irlandią. Mieszkańcy Siemiatycz lepiej znają brudną Brukselę od Warszawy, pracują tam od 25 lat, więc zakończcie to swoje nudzenie o dobrobycie Zachodu, bo z roku na rok jest tam coraz większe dziadostwo i syf, gł. za sprawą urojeń lewactwa i imigrantom. Coraz też większa ludzi wraca stamtąd, gł. tych, którzy mają dzieci, żeby Muhammed z nożem ich po szkole nie ganiał. To nie są lata 90-te z mrzonkami nt. Zachodu.",6,91,24,121,"Jun 3, 2025 · 8:49 AM UTC",,,,,,"Chciałbym jedną rzecz wytłumaczyć tym tępym akademikom, pracownikom liberalnych mediów, aktywiszczom i politykom obozu demokratycznego. Mamienie ludzi rzekomym dobrobytem i oświeceniem Zachodu jest już pieśnią przeszłości. Najzabawniejsze jak tłumaczy się to ludziom na Podlasiu. Znaczna część regionu od lat ma liczne kontakty zawodowe i rodzinne gł. z Belgią, Holandią, Wielką Brytanią, Irlandią. Mieszkańcy Siemiatycz lepiej znają brudną Brukselę od Warszawy, pracują tam od 25 lat, więc zakończcie to swoje nudzenie o dobrobycie Zachodu, bo z roku na rok jest tam coraz większe dziadostwo i syf, gł. za sprawą urojeń lewactwa i imigrantom. Coraz też większa ludzi wraca stamtąd, gł. tych, którzy mają dzieci, żeby Muhammed z nożem ich po szkole nie ganiał. To nie są lata 90-te z mrzonkami nt. Zachodu.","Chciałbym jedną rzecz wytłumaczyć tym tępym akademikom, pracownikom liberalnych mediów, aktywiszczom i politykom obozu demokratycznego. Mamienie ludzi rzekomym dobrobytem i oświeceniem Zachodu jest już pieśnią przeszłości. Najzabawniejsze jak tłumaczy się to ludziom na Podlasiu. Znaczna część regionu od lat ma liczne kontakty zawodowe i rodzinne gł. z Belgią, Holandią, Wielką Brytanią, Irlandią. Mieszkańcy Siemiatycz lepiej znają brudną Brukselę od Warszawy, pracują tam od 25 lat, więc zakończcie to swoje nudzenie o dobrobycie Zachodu, bo z roku na rok jest tam coraz większe dziadostwo i syf, gł. za sprawą urojeń lewactwa i imigrantom. Coraz też większa ludzi wraca stamtąd, gł. tych, którzy mają dzieci, żeby Muhammed z nożem ich po szkole nie ganiał. To nie są lata 90-te z mrzonkami nt. Zachodu.",,,,0,0,0,806,121,3.79,wysoki,20,1.0
13.0,guetta_en,"This is very bad news. At a time when Europeans need to step up in the face of American withdrawal and Russian revanchism, the victory of the nationalist candidate will slow down the EU's political affirmation. #Poland #Nawrocki #Trzaskowski #president bernard-guetta.eu/2025/06/02…",3,51,8,62,02-06-25,2025-06-02,2025.0,6.0,2.0,0.0,"This is very bad news. At a time when Europeans need to step up in the face of American withdrawal and Russian revanchism, the victory of the nationalist candidate will slow down the EU's political affirmation. Poland Nawrocki Trzaskowski president bernard-","This is very bad news. At a time when Europeans need to step up in the face of American withdrawal and Russian revanchism, the victory of the nationalist candidate will slow down the EU's political affirmation. bernard-",,#Poland|#Nawrocki|#Trzaskowski|#president,guetta.eu/2025/06/02…,0,4,1,257,41,6.38,wysoki,20,1.0
878.0,stefanl94186802,Unijna demokracja na pełnej k.....!,0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,Unijna demokracja na pełnej k.....!,Unijna demokracja na pełnej k.....!,,,,0,0,0,35,5,0.0,niski,20,1.0
210.0,bartoszlewand20,"A ile było debat o stanie „praworządności” w Polsce po grudniu 2023 r. Teraz nie chcecie uznać wyników wyborów prezydenckich. A może coś o stwierdzonym przez OBWE nielegalnym finansowaniu kampanii wyborczej @trzaskowski_? Ile było rezolucji po grudniu 2023 r.? Bajki o tym, że UE staje w obronie rządów prawa, a nie kieruje się politycznymi sympatiami względem partii rządzących, można włożyć między bajki.",0,1,0,1,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"A ile było debat o stanie „praworządności” w Polsce po grudniu 2023 r. Teraz nie chcecie uznać wyników wyborów prezydenckich. A może coś o stwierdzonym przez OBWE nielegalnym finansowaniu kampanii wyborczej ? Ile było rezolucji po grudniu 2023 r.? Bajki o tym, że UE staje w obronie rządów prawa, a nie kieruje się politycznymi sympatiami względem partii rządzących, można włożyć między bajki.","A ile było debat o stanie „praworządności” w Polsce po grudniu 2023 r. Teraz nie chcecie uznać wyników wyborów prezydenckich. A może coś o stwierdzonym przez OBWE nielegalnym finansowaniu kampanii wyborczej ? Ile było rezolucji po grudniu 2023 r.? Bajki o tym, że UE staje w obronie rządów prawa, a nie kieruje się politycznymi sympatiami względem partii rządzących, można włożyć między bajki.",@trzaskowski_,,,1,0,0,393,62,1.0,średni,20,1.0
21.0,a_fedorska,"Parlament UE zdecydował, że będzie dokładniej analizował umowy o finansowanie zawierane między Komisją Europejską a organizacjami pozarządowymi (#NGOs). Inicjatywa została wysunięta przez konserwatywną grupę EPL, która utworzyła większość wraz ze skrajnie prawicowymi grupami ECR i Patriotami. Lewica, Socjaldemokraci, Liberałowie i Zieloni byli przeciw.",3,53,4,60,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Parlament UE zdecydował, że będzie dokładniej analizował umowy o finansowanie zawierane między Komisją Europejską a organizacjami pozarządowymi (NGOs). Inicjatywa została wysunięta przez konserwatywną grupę EPL, która utworzyła większość wraz ze skrajnie prawicowymi grupami ECR i Patriotami. Lewica, Socjaldemokraci, Liberałowie i Zieloni byli przeciw.","Parlament UE zdecydował, że będzie dokładniej analizował umowy o finansowanie zawierane między Komisją Europejską a organizacjami pozarządowymi ( ). Inicjatywa została wysunięta przez konserwatywną grupę EPL, która utworzyła większość wraz ze skrajnie prawicowymi grupami ECR i Patriotami. Lewica, Socjaldemokraci, Liberałowie i Zieloni byli przeciw.",,#NGOs,,0,1,0,353,43,13.25,wysoki,20,1.0
