id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
7.0,jachcy,Nawrocki ma rację ws. Ukrainy🔥 ➡️„Wy z Badnerą do Unii Europejskiej nie wejdziecie…”‼️,0,18,0,18,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Nawrocki ma rację ws. Ukrainy🔥 ➡️„Wy z Badnerą do Unii Europejskiej nie wejdziecie…”‼️,Nawrocki ma rację ws. Ukrainy🔥 ➡️„Wy z Badnerą do Unii Europejskiej nie wejdziecie…”‼️,,,,0,0,0,86,13,18.0,średni,21,1.0
925.0,d_rybarski,"Śmiem twierdzić że Nawrocki jest dziełem Ursuli i oni o tym wiedzą.. Od 2027 mamy już łożyć na EU, więc już podskakiwać nie będą, a z drugiej strono jak nałożą sankcje na Tuska to będzie śmieszne. Ona pogratulowała co jest faktem, a to co wydukał Tusk nawet koło tego nie stało.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Śmiem twierdzić że Nawrocki jest dziełem Ursuli i oni o tym wiedzą.. Od 2027 mamy już łożyć na EU, więc już podskakiwać nie będą, a z drugiej strono jak nałożą sankcje na Tuska to będzie śmieszne. Ona pogratulowała co jest faktem, a to co wydukał Tusk nawet koło tego nie stało.","Śmiem twierdzić że Nawrocki jest dziełem Ursuli i oni o tym wiedzą.. Od 2027 mamy już łożyć na EU, więc już podskakiwać nie będą, a z drugiej strono jak nałożą sankcje na Tuska to będzie śmieszne. Ona pogratulowała co jest faktem, a to co wydukał Tusk nawet koło tego nie stało.",,,,0,0,0,278,51,0.0,niski,21,0.9454407500365688
436.0,paulimdt,"Also, even Nawrocki is not blocking the accession. He’s blocking the acceleration of the process, namely faster access to the single market. Which is bad. But it’s inaccurate he’s opposing the EU accession. @KhaterDiana what kind of news do you read?",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Also, even Nawrocki is not blocking the accession. He’s blocking the acceleration of the process, namely faster access to the single market. Which is bad. But it’s inaccurate he’s opposing the EU accession. what kind of news do you read?","Also, even Nawrocki is not blocking the accession. He’s blocking the acceleration of the process, namely faster access to the single market. Which is bad. But it’s inaccurate he’s opposing the EU accession. what kind of news do you read?",@KhaterDiana,,,1,0,0,237,40,0.0,niski,21,1.0
72.0,inevitablewest,🚨BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front. ✝️,281,10315,759,11355,03-06-25,2025-06-03,2025.0,6.0,3.0,0.0,🚨BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front. ✝️,🚨BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front. ✝️,,,,0,0,0,166,25,13.59,wysoki,21,0.976448430675336
33.0,timeshighered,"Fears for Polish research reforms as right-winger wins presidency Historian Karol Nawrocki could use veto to block changes, adding to academics’ frustration over slow progress ow.ly/ejgo50W5u1s",0,3,0,3,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Fears for Polish research reforms as right-winger wins presidency Historian Karol Nawrocki could use veto to block changes, adding to academics’ frustration over slow progress ow.ly/ejgo50W5u1s","Fears for Polish research reforms as right-winger wins presidency Historian Karol Nawrocki could use veto to block changes, adding to academics’ frustration over slow progress ow.ly/ejgo50W5u1s",,,,0,0,0,193,26,3.0,średni,21,1.0
626.0,thierry959765,"L'ascension des conservateurs européens : Nawrocki, Meloni, Weidel, Orba... piped.video/qA02VGAs56k?si=-5SE… via @YouTube",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"L'ascension des conservateurs européens : Nawrocki, Meloni, Weidel, Orba... piped.video/qA02VGAs56k?si=-5SE… via","L'ascension des conservateurs européens : Nawrocki, Meloni, Weidel, Orba... piped.video/qA02VGAs56k?si=-5SE… via",@YouTube,,,1,0,0,112,11,0.0,niski,21,1.0
807.0,japko891,"To kwestia UE, Nawrocki z niej wyjdzie?",0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,"To kwestia UE, Nawrocki z niej wyjdzie?","To kwestia UE, Nawrocki z niej wyjdzie?",,,,0,0,0,39,7,0.0,niski,21,1.0
241.0,zaplmundurem,"Oskar #Szafarowicz @Szafarowicz2001 vs #Kołodziejczak Systemowy chłopczyk - ""Nigdy nie mówiliśmy, żeby z Unii Europejskiej wychodzić ""🥳",3,25,14,42,21-08-23,2023-08-21,2023.0,8.0,21.0,0.0,"Oskar Szafarowicz vs Kołodziejczak Systemowy chłopczyk - ""Nigdy nie mówiliśmy, żeby z Unii Europejskiej wychodzić ""🥳","Oskar vs Systemowy chłopczyk - ""Nigdy nie mówiliśmy, żeby z Unii Europejskiej wychodzić ""🥳",@Szafarowicz2001,#Szafarowicz|#Kołodziejczak,,1,2,0,116,16,1.79,wysoki,21,1.0
20.0,nierzutujesz,"Słyszeli PiSowcy , konfiarze, brauniści i inne wywłoki namawiające do polexit... Jak chcecie wyjść z UE to najszybciej udać się drogą na Terespol😎. Ten wasz Nawrocki nigdy nie zostanie prezydentem i to będzie wasz koniec🥰",0,3,0,3,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,"Słyszeli PiSowcy , konfiarze, brauniści i inne wywłoki namawiające do polexit... Jak chcecie wyjść z UE to najszybciej udać się drogą na Terespol😎. Ten wasz Nawrocki nigdy nie zostanie prezydentem i to będzie wasz koniec🥰","Słyszeli PiSowcy , konfiarze, brauniści i inne wywłoki namawiające do polexit... Jak chcecie wyjść z UE to najszybciej udać się drogą na Terespol😎. Ten wasz Nawrocki nigdy nie zostanie prezydentem i to będzie wasz koniec🥰",,,,0,0,0,221,35,3.0,średni,21,1.0
86.0,donaldkaliszcz3,Nawrocki zniszczył plan von der Leyen: Bruksela pogrążyła się w chaosie piped.video/9nmuOsEzWoU?si=Oedu… via @YouTube,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Nawrocki zniszczył plan von der Leyen: Bruksela pogrążyła się w chaosie piped.video/9nmuOsEzWoU?si=Oedu… via,Nawrocki zniszczył plan von der Leyen: Bruksela pogrążyła się w chaosie piped.video/9nmuOsEzWoU?si=Oedu… via,@YouTube,,,1,0,0,108,13,0.0,niski,21,1.0
10.0,waldydzikowski,"Kaczyński zaplanował już, że Nawrocki w 2029 roku nie ratyfikuje nowego traktatu europejskiego‼️ Czy to otwarta zapowiedź PiSowskiego PolExitu?",0,1,0,1,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,"Kaczyński zaplanował już, że Nawrocki w 2029 roku nie ratyfikuje nowego traktatu europejskiego‼️ Czy to otwarta zapowiedź PiSowskiego PolExitu?","Kaczyński zaplanował już, że Nawrocki w 2029 roku nie ratyfikuje nowego traktatu europejskiego‼️ Czy to otwarta zapowiedź PiSowskiego PolExitu?",,,,0,0,0,143,19,1.0,średni,21,1.0
13.0,obserwatorxy,"Kaczyński oświadcza, że Nawrocki zrobi nam w 2029 r. Polexit. Zawsze do tego zmierzali, choć twierdzili na odwrót, w międzyczasie plując na UE.",7,195,31,233,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,"Kaczyński oświadcza, że Nawrocki zrobi nam w 2029 r. Polexit. Zawsze do tego zmierzali, choć twierdzili na odwrót, w międzyczasie plując na UE.","Kaczyński oświadcza, że Nawrocki zrobi nam w 2029 r. Polexit. Zawsze do tego zmierzali, choć twierdzili na odwrót, w międzyczasie plując na UE.",,,,0,0,0,143,23,6.29,wysoki,21,1.0
25.0,gfkot,"Kaczyński zaplanował już, że Nawrocki w 2029 roku nie ratyfikuje nowego traktatu europejskiego. Polexit.",19,211,84,314,03-08-25,2025-08-03,2025.0,8.0,3.0,0.0,"Kaczyński zaplanował już, że Nawrocki w 2029 roku nie ratyfikuje nowego traktatu europejskiego. Polexit.","Kaczyński zaplanował już, że Nawrocki w 2029 roku nie ratyfikuje nowego traktatu europejskiego. Polexit.",,,,0,0,0,104,14,2.51,wysoki,21,1.0
3.0,hubnerrmax,"Wygrana Karola Nawrockiego i jego prezydentura, która zaczyna się w środę uratowała Rzeczpospolitą przed strasznym losem. Mówił o tym Kaczyński w Opolu. ""Mieliśmy w praktyce stracić niepodległość w nowym traktacie UE. Prezydent Nawrocki tego traktatu NIE RATYFIKUJE!"" Bingo.",1,36,2,39,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,"Wygrana Karola Nawrockiego i jego prezydentura, która zaczyna się w środę uratowała Rzeczpospolitą przed strasznym losem. Mówił o tym Kaczyński w Opolu. ""Mieliśmy w praktyce stracić niepodległość w nowym traktacie UE. Prezydent Nawrocki tego traktatu NIE RATYFIKUJE!"" Bingo.","Wygrana Karola Nawrockiego i jego prezydentura, która zaczyna się w środę uratowała Rzeczpospolitą przed strasznym losem. Mówił o tym Kaczyński w Opolu. ""Mieliśmy w praktyce stracić niepodległość w nowym traktacie UE. Prezydent Nawrocki tego traktatu NIE RATYFIKUJE!"" Bingo.",,,,0,0,0,274,38,18.0,wysoki,21,1.0
26.0,koneserunii,❗️BRAWO❗️ Nawrocki nie ratyfikuje żadnego nowego traktatu w 2029 roku Jak wiemy każdy traktat ratyfikowany powoduje mniejszą suwerenność Państwową ❗️,1,9,13,23,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,❗️BRAWO❗️ Nawrocki nie ratyfikuje żadnego nowego traktatu w 2029 roku Jak wiemy każdy traktat ratyfikowany powoduje mniejszą suwerenność Państwową ❗️,❗️BRAWO❗️ Nawrocki nie ratyfikuje żadnego nowego traktatu w 2029 roku Jak wiemy każdy traktat ratyfikowany powoduje mniejszą suwerenność Państwową ❗️,,,,0,0,0,149,20,0.69,średni,21,1.0
5.0,michalwyderka,"Kaczyński celowo ogłosił, że Nawrocki nie ratyfikuje nowego traktatu UE. To sygnał dla Konfederacji – „jesteśmy gotowi na wspólny Polexit”. Zniszczą Europę, jeśli damy im szansę.",2,65,31,98,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,"Kaczyński celowo ogłosił, że Nawrocki nie ratyfikuje nowego traktatu UE. To sygnał dla Konfederacji – „jesteśmy gotowi na wspólny Polexit”. Zniszczą Europę, jeśli damy im szansę.","Kaczyński celowo ogłosił, że Nawrocki nie ratyfikuje nowego traktatu UE. To sygnał dla Konfederacji – „jesteśmy gotowi na wspólny Polexit”. Zniszczą Europę, jeśli damy im szansę.",,,,0,0,0,178,26,2.1,wysoki,21,1.0
8.0,grok,"Nowy Traktat Europejski to planowane reformy UE (ok. 2029 r.), m.in. rozszerzenie głosowania większościowego, redukcja wet, ułatwienie rozszerzenia (np. Ukraina). Zapowiedź Kaczyńskiego: w nagraniu z 3.08.2025 stwierdził, że prezydent Nawrocki go nie ratyfikuje, by chronić suwerenność. Dlaczego nie warto? Grozi utratą wpływu na kluczowe decyzje (migracja, budżet), dominacją większych państw jak Niemcy – analiza źródeł (EPC, Verfassungsblog) potwierdza ryzyko federalizacji kosztem narodowych interesów.",0,0,0,0,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,"Nowy Traktat Europejski to planowane reformy UE (ok. 2029 r.), m.in. rozszerzenie głosowania większościowego, redukcja wet, ułatwienie rozszerzenia (np. Ukraina). Zapowiedź Kaczyńskiego: w nagraniu z 3.08.2025 stwierdził, że prezydent Nawrocki go nie ratyfikuje, by chronić suwerenność. Dlaczego nie warto? Grozi utratą wpływu na kluczowe decyzje (migracja, budżet), dominacją większych państw jak Niemcy – analiza źródeł (EPC, Verfassungsblog) potwierdza ryzyko federalizacji kosztem narodowych interesów.","Nowy Traktat Europejski to planowane reformy UE (ok. 2029 r.), m.in. rozszerzenie głosowania większościowego, redukcja wet, ułatwienie rozszerzenia (np. Ukraina). Zapowiedź Kaczyńskiego: w nagraniu z 3.08.2025 stwierdził, że prezydent Nawrocki go nie ratyfikuje, by chronić suwerenność. Dlaczego nie warto? Grozi utratą wpływu na kluczowe decyzje (migracja, budżet), dominacją większych państw jak Niemcy – analiza źródeł (EPC, Verfassungsblog) potwierdza ryzyko federalizacji kosztem narodowych interesów.",,,,0,0,0,506,63,0.0,niski,21,1.0
