id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
26.0,defacto37,Mamy potwierdzenie że Nawrocki to był właściwy wybór. Kalumnie zaczynają rozpowiadać antypolacy za granicą siedzący w niemieckiej kieszeni.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Mamy potwierdzenie że Nawrocki to był właściwy wybór. Kalumnie zaczynają rozpowiadać antypolacy za granicą siedzący w niemieckiej kieszeni.,Mamy potwierdzenie że Nawrocki to był właściwy wybór. Kalumnie zaczynają rozpowiadać antypolacy za granicą siedzący w niemieckiej kieszeni.,,,,0,0,0,139,18,0.0,niski,22,0.7217530665878044
734.0,7secago,Tu*k jest niemiecka dziwką a nie Nawrocki. #TuskDoDymisji,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Tu*k jest niemiecka dziwką a nie Nawrocki. TuskDoDymisji,Tu*k jest niemiecka dziwką a nie Nawrocki.,,#TuskDoDymisji,,0,1,0,56,8,0.0,niski,22,1.0
869.0,halinkateresa,Opcja niemiecka przegrała! Wygrał pan Karol Nawrocki !,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Opcja niemiecka przegrała! Wygrał pan Karol Nawrocki !,Opcja niemiecka przegrała! Wygrał pan Karol Nawrocki !,,,,0,0,0,54,8,0.0,niski,22,0.7365441117831879
477.0,paulimdt,"The title ‘King of a Sex Traffic Clan Serving Horny Germans’ should be granted to Nawrocki asap. We should acknowledge his efforts. PiS supporters claim that 🇩🇪 wants to overpower 🇵🇱, and then… vote for a man who would do the most morally questionable things for the Germans.😵‍💫",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"The title ‘King of a Sex Traffic Clan Serving Horny Germans’ should be granted to Nawrocki asap. We should acknowledge his efforts. PiS supporters claim that 🇩🇪 wants to overpower 🇵🇱, and then… vote for a man who would do the most morally questionable things for the Germans.😵‍💫","The title ‘King of a Sex Traffic Clan Serving Horny Germans’ should be granted to Nawrocki asap. We should acknowledge his efforts. PiS supporters claim that 🇩🇪 wants to overpower 🇵🇱, and then… vote for a man who would do the most morally questionable things for the Germans.😵‍💫",,,,0,0,0,278,48,0.0,niski,22,0.3267628814223022
25.0,archetypfuturae,"Ludzie gwizdali na Kalisza, ale w nagłówku zmieścił się tylko Nawrocki. Onet - niemiecka precyzja.🤮",5,401,28,434,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,"Ludzie gwizdali na Kalisza, ale w nagłówku zmieścił się tylko Nawrocki. Onet - niemiecka precyzja.🤮","Ludzie gwizdali na Kalisza, ale w nagłówku zmieścił się tylko Nawrocki. Onet - niemiecka precyzja.🤮",,,,0,0,0,99,15,14.32,wysoki,22,0.8875166250467155
246.0,janszczepanw,"Ja nie jestem platfusie ciekawy, bo ja wiem, że wygrał POLAK PAN KAROL NAWROCKI. Niemcy rządzą za Odrą i wypad tam.",0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,"Ja nie jestem platfusie ciekawy, bo ja wiem, że wygrał POLAK PAN KAROL NAWROCKI. Niemcy rządzą za Odrą i wypad tam.","Ja nie jestem platfusie ciekawy, bo ja wiem, że wygrał POLAK PAN KAROL NAWROCKI. Niemcy rządzą za Odrą i wypad tam.",,,,0,0,0,115,21,0.0,niski,22,0.3242218979893318
391.0,jaremawi,"„Kapitan Radłowski powiedział jedno zdanie, które powinno być wyryte w kamieniu w każdej sali unijnego sądu: ""Przeżyłem niemiecki obóz, sowieckie więzienie, teraz przeżywam europejską sprawiedliwość. I nie wiem, które boli bardziej"".”",0,3,0,3,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,"„Kapitan Radłowski powiedział jedno zdanie, które powinno być wyryte w kamieniu w każdej sali unijnego sądu: ""Przeżyłem niemiecki obóz, sowieckie więzienie, teraz przeżywam europejską sprawiedliwość. I nie wiem, które boli bardziej"".”","„Kapitan Radłowski powiedział jedno zdanie, które powinno być wyryte w kamieniu w każdej sali unijnego sądu: ""Przeżyłem niemiecki obóz, sowieckie więzienie, teraz przeżywam europejską sprawiedliwość. I nie wiem, które boli bardziej"".”",,,,0,0,0,234,31,3.0,średni,22,0.4134680600799391
26.0,tamija64,Niemcy postawcie swój niemiecki złom pod swoimi oknami. Niemiecki patriotyzm tego wymaga.,0,0,0,0,25-06-25,2025-06-25,2025.0,6.0,25.0,0.0,Niemcy postawcie swój niemiecki złom pod swoimi oknami. Niemiecki patriotyzm tego wymaga.,Niemcy postawcie swój niemiecki złom pod swoimi oknami. Niemiecki patriotyzm tego wymaga.,,,,0,0,0,89,12,0.0,niski,22,0.9113762829743932
19.0,irekojioji11514,"Tak jak moi, jest Nadzieja, że posprzątamy Polskę jak nigdy dotąd po drugiej wojnie światowej 💪 Prezydent Karol Nawrocki powiedział Niemcom, że muszą za historyczną przeszłość zapłacić...",0,1,1,2,28-06-25,2025-06-28,2025.0,6.0,28.0,0.0,"Tak jak moi, jest Nadzieja, że posprzątamy Polskę jak nigdy dotąd po drugiej wojnie światowej 💪 Prezydent Karol Nawrocki powiedział Niemcom, że muszą za historyczną przeszłość zapłacić...","Tak jak moi, jest Nadzieja, że posprzątamy Polskę jak nigdy dotąd po drugiej wojnie światowej 💪 Prezydent Karol Nawrocki powiedział Niemcom, że muszą za historyczną przeszłość zapłacić...",,,,0,0,0,187,27,1.0,średni,22,0.5818448785138509
12.0,elkajego,"Tyle samo ludzi nie lubi Nawrockiego. A jaki wpływ na Niemcy ma mieć fakt, że Nawrocki zostanie prezydentem?",0,0,0,0,28-06-25,2025-06-28,2025.0,6.0,28.0,0.0,"Tyle samo ludzi nie lubi Nawrockiego. A jaki wpływ na Niemcy ma mieć fakt, że Nawrocki zostanie prezydentem?","Tyle samo ludzi nie lubi Nawrockiego. A jaki wpływ na Niemcy ma mieć fakt, że Nawrocki zostanie prezydentem?",,,,0,0,0,108,18,0.0,niski,22,0.3869573268125494
