id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
328.0,profesorpingwin,"dobra, to jest tak złe na kilku poziomach: >Karol Nawrocki w żadnej wypowiedzi nie deklarował likwidacji Erasmusa >Pani Huebner nie tylko tego nie zweryfikowała i powiela fejka, ale jeszcze ta ""ekspertka"" od spraw europejskich i wieloletnia przecież europosłanka z ramienia KO łączy wyjście z Erasmusa z wyjściem z EU, gdzie to niezależne byty, a w Erasmusie biorą udział państwa także niebędące w EU",6,207,35,248,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"dobra, to jest tak złe na kilku poziomach: >Karol Nawrocki w żadnej wypowiedzi nie deklarował likwidacji Erasmusa >Pani Huebner nie tylko tego nie zweryfikowała i powiela fejka, ale jeszcze ta ""ekspertka"" od spraw europejskich i wieloletnia przecież europosłanka z ramienia KO łączy wyjście z Erasmusa z wyjściem z EU, gdzie to niezależne byty, a w Erasmusie biorą udział państwa także niebędące w EU","dobra, to jest tak złe na kilku poziomach: >Karol Nawrocki w żadnej wypowiedzi nie deklarował likwidacji Erasmusa >Pani Huebner nie tylko tego nie zweryfikowała i powiela fejka, ale jeszcze ta ""ekspertka"" od spraw europejskich i wieloletnia przecież europosłanka z ramienia KO łączy wyjście z Erasmusa z wyjściem z EU, gdzie to niezależne byty, a w Erasmusie biorą udział państwa także niebędące w EU",,,,0,0,0,400,63,5.91,wysoki,24,0.8130220087739708
664.0,eduardomenoni,"🇵🇱| El presidente electo de Polonia, Karol Nawrocki, dice: “Mi Polonia es una Polonia sin inmigrantes ilegales. Es una Polonia donde en lugar de centros de integración hay centros de deportación para aquellos que quieren destruir nuestra seguridad”.",65,2788,141,2994,02-06-25,2025-06-02,2025.0,6.0,2.0,0.0,"🇵🇱| El presidente electo de Polonia, Karol Nawrocki, dice: “Mi Polonia es una Polonia sin inmigrantes ilegales. Es una Polonia donde en lugar de centros de integración hay centros de deportación para aquellos que quieren destruir nuestra seguridad”.","🇵🇱| El presidente electo de Polonia, Karol Nawrocki, dice: “Mi Polonia es una Polonia sin inmigrantes ilegales. Es una Polonia donde en lugar de centros de integración hay centros de deportación para aquellos que quieren destruir nuestra seguridad”.",,,,0,0,0,249,38,19.77,wysoki,24,1.0
10.0,matthew84xs,Przeciw Nawrocki tego nie zatrzyma. Jak nie chce Pani migrantów w Polsce to tylko Grzegorz Braun. On jako jedyny rozpisze referendum za wyjściem z eu. Bo tylko tak można zatrzymać pakt migracyjny.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Przeciw Nawrocki tego nie zatrzyma. Jak nie chce Pani migrantów w Polsce to tylko Grzegorz Braun. On jako jedyny rozpisze referendum za wyjściem z eu. Bo tylko tak można zatrzymać pakt migracyjny.,Przeciw Nawrocki tego nie zatrzyma. Jak nie chce Pani migrantów w Polsce to tylko Grzegorz Braun. On jako jedyny rozpisze referendum za wyjściem z eu. Bo tylko tak można zatrzymać pakt migracyjny.,,,,0,0,0,196,32,0.0,niski,24,0.7706443611955507
19.0,g_adriankg,"Wstyd to zrobić z kraju coś takiego co oni zrobili , Nawrocki jest szansa , że emigranci nas nie zaleją jak ich. Zastanów się co piszesz",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Wstyd to zrobić z kraju coś takiego co oni zrobili , Nawrocki jest szansa , że emigranci nas nie zaleją jak ich. Zastanów się co piszesz","Wstyd to zrobić z kraju coś takiego co oni zrobili , Nawrocki jest szansa , że emigranci nas nie zaleją jak ich. Zastanów się co piszesz",,,,0,0,0,136,26,0.0,niski,24,0.7719475166756293
836.0,krzysiekwsk,Mówimy o migrantach zarobkowych a nie uchodźcach. Masz miliony ludzi którzy uczciwie pracują. Tak jak Polacy w UK czy Ukraińcy w Polsce. Masz pół świata na polskich budowach i fabrykach a przestępczość nie wzrasta. Mylisz pojęcia.,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Mówimy o migrantach zarobkowych a nie uchodźcach. Masz miliony ludzi którzy uczciwie pracują. Tak jak Polacy w UK czy Ukraińcy w Polsce. Masz pół świata na polskich budowach i fabrykach a przestępczość nie wzrasta. Mylisz pojęcia.,Mówimy o migrantach zarobkowych a nie uchodźcach. Masz miliony ludzi którzy uczciwie pracują. Tak jak Polacy w UK czy Ukraińcy w Polsce. Masz pół świata na polskich budowach i fabrykach a przestępczość nie wzrasta. Mylisz pojęcia.,,,,0,0,0,230,36,0.0,niski,24,1.0
6.0,dorotaszcz3515,"Zobaczcie, jaki obsrany !!!! straszysz ????? Nawrocki się ciebie nie boi . Ale za to ty się boisz Urszuli. Już dzisiaj Niemcy wolają, że mamy podpisać pakt o migrantach bo już po wyborach. Obrzydliwiec. Masz chłopie emeryturę, dom w Hiszpanii po co ci to ? Władza? skończyła się",0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,"Zobaczcie, jaki obsrany !!!! straszysz ????? Nawrocki się ciebie nie boi . Ale za to ty się boisz Urszuli. Już dzisiaj Niemcy wolają, że mamy podpisać pakt o migrantach bo już po wyborach. Obrzydliwiec. Masz chłopie emeryturę, dom w Hiszpanii po co ci to ? Władza? skończyła się","Zobaczcie, jaki obsrany !!!! straszysz ????? Nawrocki się ciebie nie boi . Ale za to ty się boisz Urszuli. Już dzisiaj Niemcy wolają, że mamy podpisać pakt o migrantach bo już po wyborach. Obrzydliwiec. Masz chłopie emeryturę, dom w Hiszpanii po co ci to ? Władza? skończyła się",,,,0,0,0,278,48,0.0,niski,24,0.7196258729146993
30.0,inevitablewest,"🇵🇱 Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",568,15222,1156,16946,02-06-25,2025-06-02,2025.0,6.0,2.0,0.0,"🇵🇱 Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.","🇵🇱 Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",,,,0,0,0,195,31,13.17,wysoki,24,1.0
14.0,delestoile,"🇳🇱🇩🇪 Na nagraniu z kamery kwiaciarni w holenderskim Venlo, niecały kilometr od granicy z Niemcami, widać, jak w nocy niemiecki radiowóz zatrzymuje się, wysadza azylanta na holenderskim terytorium i odjeżdża. To nie odosobniony przypadek. Holenderskie Ministerstwo ds. Migracji potwierdza, że takie sytuacje zdarzają się od dwana. Niemiecka policja graniczna od dawna przerzuca azylantów przez granice, w tym do Holandii. „To nie jest nielegalne i dzieje się od lat.” l1nieuws.nl/nieuws/2923513/d…",2,47,8,57,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,"🇳🇱🇩🇪 Na nagraniu z kamery kwiaciarni w holenderskim Venlo, niecały kilometr od granicy z Niemcami, widać, jak w nocy niemiecki radiowóz zatrzymuje się, wysadza azylanta na holenderskim terytorium i odjeżdża. To nie odosobniony przypadek. Holenderskie Ministerstwo ds. Migracji potwierdza, że takie sytuacje zdarzają się od dwana. Niemiecka policja graniczna od dawna przerzuca azylantów przez granice, w tym do Holandii. „To nie jest nielegalne i dzieje się od lat.” l1nieuws.nl/nieuws/2923513/d…","🇳🇱🇩🇪 Na nagraniu z kamery kwiaciarni w holenderskim Venlo, niecały kilometr od granicy z Niemcami, widać, jak w nocy niemiecki radiowóz zatrzymuje się, wysadza azylanta na holenderskim terytorium i odjeżdża. To nie odosobniony przypadek. Holenderskie Ministerstwo ds. Migracji potwierdza, że takie sytuacje zdarzają się od dwana. Niemiecka policja graniczna od dawna przerzuca azylantów przez granice, w tym do Holandii. „To nie jest nielegalne i dzieje się od lat.” l1nieuws.nl/nieuws/2923513/d…",,,,0,0,0,496,69,5.88,wysoki,24,0.6704498891347678
30.0,zabossart,Tusk ma wpuścić 15 milionów migrantów do Polski a potem kolejne 15milionow to 30milionów.NAWROCKI TO ZAKWESTIONUJE I KONIEC TUSKA NASTĄPI.,0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,Tusk ma wpuścić 15 milionów migrantów do Polski a potem kolejne 15milionow to 30milionów.NAWROCKI TO ZAKWESTIONUJE I KONIEC TUSKA NASTĄPI.,Tusk ma wpuścić 15 milionów migrantów do Polski a potem kolejne 15milionow to 30milionów.NAWROCKI TO ZAKWESTIONUJE I KONIEC TUSKA NASTĄPI.,,,,0,0,0,138,20,0.0,niski,24,0.7404013840029953
57.0,dariuszmatecki,„To jest dywersja” - @jakubiak_marek o przerzucaniu nielegalnych migrantów z Niemiec do Polski! #sejm,2,190,8,200,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,„To jest dywersja” - o przerzucaniu nielegalnych migrantów z Niemiec do Polski! sejm,„To jest dywersja” - o przerzucaniu nielegalnych migrantów z Niemiec do Polski!,@jakubiak_marek,#sejm,,1,1,0,84,13,23.75,wysoki,24,0.92016164568931
