id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
55.0,tomaszuczkiewic,"🤣🤣🤣👍Wicenaczelna ""GW"": Nawrocki wygrał. Giertych to troll wpolityce.pl/polityka/731882…",4,116,7,127,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"🤣🤣🤣👍Wicenaczelna ""GW"": Nawrocki wygrał. Giertych to troll","🤣🤣🤣👍Wicenaczelna ""GW"": Nawrocki wygrał. Giertych to troll",,,wpolityce.pl/polityka/731882…,0,0,1,57,7,16.57,wysoki,25,0.3700980494101102
5.0,bostontea84,"Roman, spisek robi się grubszy niż początkowo myślałem. GW chroni Nawrockiego, cytuję wicenaczelną: ""Karol Nawrocki wygrał i co do tego nie ma żadnych wątpliwości."" Wszyscy są przeciwko tobie, musisz walczyć dalej o prawdę.",0,4,4,8,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Roman, spisek robi się grubszy niż początkowo myślałem. GW chroni Nawrockiego, cytuję wicenaczelną: ""Karol Nawrocki wygrał i co do tego nie ma żadnych wątpliwości."" Wszyscy są przeciwko tobie, musisz walczyć dalej o prawdę.","Roman, spisek robi się grubszy niż początkowo myślałem. GW chroni Nawrockiego, cytuję wicenaczelną: ""Karol Nawrocki wygrał i co do tego nie ma żadnych wątpliwości."" Wszyscy są przeciwko tobie, musisz walczyć dalej o prawdę.",,,,0,0,0,223,33,1.0,średni,25,0.4066926254499077
21.0,gb2lol,"Wiemy kto wygrał. Karol Nawrocki, mam nadzieję, że pomogłem!",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Wiemy kto wygrał. Karol Nawrocki, mam nadzieję, że pomogłem!","Wiemy kto wygrał. Karol Nawrocki, mam nadzieję, że pomogłem!",,,,0,0,0,60,9,0.0,niski,25,0.3401025596244489
90.0,elzbietaze68225,Jak to nie wiemy ? Nie dotarło do twojego łba że wygrał Pan Karol Nawrocki,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Jak to nie wiemy ? Nie dotarło do twojego łba że wygrał Pan Karol Nawrocki,Jak to nie wiemy ? Nie dotarło do twojego łba że wygrał Pan Karol Nawrocki,,,,0,0,0,74,15,0.0,niski,25,0.4675340018971208
418.0,sacrumante1958,"Wiemy, kto wygrał. Wygrał Karol Nawrocki",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Wiemy, kto wygrał. Wygrał Karol Nawrocki","Wiemy, kto wygrał. Wygrał Karol Nawrocki",,,,0,0,0,40,6,0.0,niski,25,0.5168346566192327
713.0,willyfog94,"Nawrocki wygrał, nie musisz dziękować.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Nawrocki wygrał, nie musisz dziękować.","Nawrocki wygrał, nie musisz dziękować.",,,,0,0,0,38,5,0.0,niski,25,1.0
960.0,jarek40,Wygrał Karol Nawrocki. Proszę nie dziękować.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Wygrał Karol Nawrocki. Proszę nie dziękować.,Wygrał Karol Nawrocki. Proszę nie dziękować.,,,,0,0,0,44,6,0.0,niski,25,1.0
987.0,dawidbindi85,"Jesteś debilem . Wygrał Nawrocki, tylko w Twoim i #GiertychDebil uniwersum jest inaczej.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Jesteś debilem . Wygrał Nawrocki, tylko w Twoim i GiertychDebil uniwersum jest inaczej.","Jesteś debilem . Wygrał Nawrocki, tylko w Twoim i uniwersum jest inaczej.",,#GiertychDebil,,0,1,0,87,13,0.0,niski,25,0.347603124743573
62.0,lukaszwojci7887,"Karol Nawrocki wygrał, wejdź na stronę PKW to też się dowiesz",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Karol Nawrocki wygrał, wejdź na stronę PKW to też się dowiesz","Karol Nawrocki wygrał, wejdź na stronę PKW to też się dowiesz",,,,0,0,0,61,11,0.0,niski,25,1.0
86.0,marwidurski,"Każdy wie, że wygrał Nawrocki, tylko nie Ty i cześć twojej „ekipy” z Giertychem na czele",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Każdy wie, że wygrał Nawrocki, tylko nie Ty i cześć twojej „ekipy” z Giertychem na czele","Każdy wie, że wygrał Nawrocki, tylko nie Ty i cześć twojej „ekipy” z Giertychem na czele",,,,0,0,0,88,16,0.0,niski,25,1.0
