id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
2.0,bogo141,"MAZUREK: ""Nawrockiemu zginęło 77000 głosów. Gdyby Nawrocki miał takiego wariata jak #GiertychDebil to internety by już zapłonęły."" Dlatego też ryży uspokaja, TVałszeNy milczą. Bo może okazać się, że POpaprańcy właśnie, być może, skręcili wybory!",9,458,20,487,07-06-25,2025-06-07,2025.0,6.0,7.0,0.0,"MAZUREK: ""Nawrockiemu zginęło 77000 głosów. Gdyby Nawrocki miał takiego wariata jak GiertychDebil to internety by już zapłonęły."" Dlatego też ryży uspokaja, TVałszeNy milczą. Bo może okazać się, że POpaprańcy właśnie, być może, skręcili wybory!","MAZUREK: ""Nawrockiemu zginęło 77000 głosów. Gdyby Nawrocki miał takiego wariata jak to internety by już zapłonęły."" Dlatego też ryży uspokaja, TVałszeNy milczą. Bo może okazać się, że POpaprańcy właśnie, być może, skręcili wybory!",,#GiertychDebil,,0,1,0,244,34,22.9,wysoki,26,0.4056445134155825
11.0,marta__kubiak,"Żeby było jasne - nie jestem jakimś fanatykiem, czy zadymiaczem. Nie jestem osobą, która nie może się pogodzić z tym, ze wygrał Nawrocki i szuka dramy... Chcę TYLKO i AŻ zbadania wszystkich nieprawidłowości wyborczych !!! Nie mogę udawać, że nic się nie stało!!! Art 127 konstytucji brzmi: Prezydent Rzeczypospolitej jest wybierany przez Naród w wyborach powszechnych, RÓWNYCH, bezpośrednich i w głosowaniu tajnym. Chcę żyć w kraju, gdzie ustawa zasadnicza jest rzeczywiście aktem normatywnym o najwyższej mocy prawnej, który określa strukturę państwa, zakres kompetencji organów państwowych oraz prawa i obowiązki obywateli. @Platforma_org @WiolaPaprocka @GiertychRoman",1,78,6,85,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Żeby było jasne - nie jestem jakimś fanatykiem, czy zadymiaczem. Nie jestem osobą, która nie może się pogodzić z tym, ze wygrał Nawrocki i szuka dramy... Chcę TYLKO i AŻ zbadania wszystkich nieprawidłowości wyborczych !!! Nie mogę udawać, że nic się nie stało!!! Art 127 konstytucji brzmi: Prezydent Rzeczypospolitej jest wybierany przez Naród w wyborach powszechnych, RÓWNYCH, bezpośrednich i w głosowaniu tajnym. Chcę żyć w kraju, gdzie ustawa zasadnicza jest rzeczywiście aktem normatywnym o najwyższej mocy prawnej, który określa strukturę państwa, zakres kompetencji organów państwowych oraz prawa i obowiązki obywateli.","Żeby było jasne - nie jestem jakimś fanatykiem, czy zadymiaczem. Nie jestem osobą, która nie może się pogodzić z tym, ze wygrał Nawrocki i szuka dramy... Chcę TYLKO i AŻ zbadania wszystkich nieprawidłowości wyborczych !!! Nie mogę udawać, że nic się nie stało!!! Art 127 konstytucji brzmi: Prezydent Rzeczypospolitej jest wybierany przez Naród w wyborach powszechnych, RÓWNYCH, bezpośrednich i w głosowaniu tajnym. Chcę żyć w kraju, gdzie ustawa zasadnicza jest rzeczywiście aktem normatywnym o najwyższej mocy prawnej, który określa strukturę państwa, zakres kompetencji organów państwowych oraz prawa i obowiązki obywateli.",@Platforma_org|@WiolaPaprocka|@GiertychRoman,,,3,0,0,625,90,13.0,wysoki,26,0.5537311286444859
13.0,jjwwalter,"Kłamałem. Że jak Nawrocki wygra wybory, to zamilknę na zawsze. Kłamałem, bo tak nie wolno. Poddawać się i pójść na ""emigrację wewnętrzną"". Wracam. Działać i walczyć.",31,378,691,1100,07-06-25,2025-06-07,2025.0,6.0,7.0,0.0,"Kłamałem. Że jak Nawrocki wygra wybory, to zamilknę na zawsze. Kłamałem, bo tak nie wolno. Poddawać się i pójść na ""emigrację wewnętrzną"". Wracam. Działać i walczyć.","Kłamałem. Że jak Nawrocki wygra wybory, to zamilknę na zawsze. Kłamałem, bo tak nie wolno. Poddawać się i pójść na ""emigrację wewnętrzną"". Wracam. Działać i walczyć.",,,,0,0,0,165,26,0.55,wysoki,26,0.547269015245234
8.0,karpewabo,"Zaskakujące! Wicenaczelna ""GW"": Karol Nawrocki wygrał wybory i nie ma co do tego wątpliwości. Giertych to troll internetowy. wpolityce.pl/polityka/731882…",0,3,0,3,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Zaskakujące! Wicenaczelna ""GW"": Karol Nawrocki wygrał wybory i nie ma co do tego wątpliwości. Giertych to troll internetowy.","Zaskakujące! Wicenaczelna ""GW"": Karol Nawrocki wygrał wybory i nie ma co do tego wątpliwości. Giertych to troll internetowy.",,,wpolityce.pl/polityka/731882…,0,0,1,124,18,3.0,średni,26,0.6344523902339827
12.0,miriam_m_k,Duda to pospolity cham. Nawrocki to sutener. I ukradli nam wybory. Nie zapraszam do dyskusji.,0,20,2,22,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Duda to pospolity cham. Nawrocki to sutener. I ukradli nam wybory. Nie zapraszam do dyskusji.,Duda to pospolity cham. Nawrocki to sutener. I ukradli nam wybory. Nie zapraszam do dyskusji.,,,,0,0,0,93,15,10.0,średni,26,0.4032414128991224
8.0,adam83462787,"Dzieje się... Petycję w sprawie wyborów podpisało już ponad 200 tys., PKW w związku z licznymi nieprawidłościami zwołuje pilne posiedzenie, a Minister Bodnar na pytanie czy Nawrocki zostanie prezydentem odpowiada: ""SĄ WĄTPLIWOŚCI"".",3,78,12,93,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Dzieje się... Petycję w sprawie wyborów podpisało już ponad 200 tys., PKW w związku z licznymi nieprawidłościami zwołuje pilne posiedzenie, a Minister Bodnar na pytanie czy Nawrocki zostanie prezydentem odpowiada: ""SĄ WĄTPLIWOŚCI"".","Dzieje się... Petycję w sprawie wyborów podpisało już ponad 200 tys., PKW w związku z licznymi nieprawidłościami zwołuje pilne posiedzenie, a Minister Bodnar na pytanie czy Nawrocki zostanie prezydentem odpowiada: ""SĄ WĄTPLIWOŚCI"".",,,,0,0,0,231,32,6.5,wysoki,26,0.4141640858999801
10.0,dekantacja,"Wszystkim ""silniczkom"" chciałbym obiecać, że wybory prezydenckie będą powtórzone...w 2030 roku i znów wygra Karol Nawrocki.😂",3,112,10,125,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Wszystkim ""silniczkom"" chciałbym obiecać, że wybory prezydenckie będą powtórzone...w 2030 roku i znów wygra Karol Nawrocki.😂","Wszystkim ""silniczkom"" chciałbym obiecać, że wybory prezydenckie będą powtórzone...w 2030 roku i znów wygra Karol Nawrocki.😂",,,,0,0,0,124,16,11.2,wysoki,26,0.5008368427193374
17.0,joannab_49,"Żadna śmieszność, wałek to wałek ‼️ Ja chcę wiedzieć jaki jest prawdziwy wynik wybór i mam do tego prawo jako obywatel. Weryfikacja nieprawidłowości dopiero powie jaki był PRAWDZIWY wynik. Jeżeli wygrał Nawrocki to będzie Prezentem. Teraz tego nie wiemy. I tyle, i aż tyle.",0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Żadna śmieszność, wałek to wałek ‼️ Ja chcę wiedzieć jaki jest prawdziwy wynik wybór i mam do tego prawo jako obywatel. Weryfikacja nieprawidłowości dopiero powie jaki był PRAWDZIWY wynik. Jeżeli wygrał Nawrocki to będzie Prezentem. Teraz tego nie wiemy. I tyle, i aż tyle.","Żadna śmieszność, wałek to wałek ‼️ Ja chcę wiedzieć jaki jest prawdziwy wynik wybór i mam do tego prawo jako obywatel. Weryfikacja nieprawidłowości dopiero powie jaki był PRAWDZIWY wynik. Jeżeli wygrał Nawrocki to będzie Prezentem. Teraz tego nie wiemy. I tyle, i aż tyle.",,,,0,0,0,273,44,1.0,średni,26,0.5541028021348128
19.0,wiihol,"Zaskakujące! Wicenaczelna ""GW"": Karol Nawrocki wygrał wybory i nie ma co do tego wątpliwości. Giertych to troll internetowy wpolityce.pl/polityka/731882…",3,114,2,119,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Zaskakujące! Wicenaczelna ""GW"": Karol Nawrocki wygrał wybory i nie ma co do tego wątpliwości. Giertych to troll internetowy","Zaskakujące! Wicenaczelna ""GW"": Karol Nawrocki wygrał wybory i nie ma co do tego wątpliwości. Giertych to troll internetowy",,,wpolityce.pl/polityka/731882…,0,0,1,123,18,57.0,wysoki,26,0.553525425976145
106.0,hubnerrmax,"Dokładnie tydzień temu już wiedzieliśmy, że wybory wygrał Karol Nawrocki, stając się tym samym przyszłym Prezydentem Rzeczpospolitej. Dowieźliśmy wtedy #NaWrotki",0,29,2,31,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Dokładnie tydzień temu już wiedzieliśmy, że wybory wygrał Karol Nawrocki, stając się tym samym przyszłym Prezydentem Rzeczpospolitej. Dowieźliśmy wtedy NaWrotki","Dokładnie tydzień temu już wiedzieliśmy, że wybory wygrał Karol Nawrocki, stając się tym samym przyszłym Prezydentem Rzeczpospolitej. Dowieźliśmy wtedy",,#NaWrotki,,0,1,0,160,20,14.5,średni,26,0.5908202784242446
