id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
560.0,jankanthak,Dziekuje Panie Prezydencie! Bardzo ważny głos,0,2,0,2,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Dziekuje Panie Prezydencie! Bardzo ważny głos,Dziekuje Panie Prezydencie! Bardzo ważny głos,,,,0,0,0,45,6,2.0,średni,27,1.0
14.0,krzkownacki,"Przecież to Duda, nie prezydent.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Przecież to Duda, nie prezydent.","Przecież to Duda, nie prezydent.",,,,0,0,0,32,5,0.0,niski,27,0.5964181676763779
32.0,grzegor55300705,Nawrocki prezydentem....czy się to komu podoba czy nie....mnie się podoba....won z lewactwem,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Nawrocki prezydentem....czy się to komu podoba czy nie....mnie się podoba....won z lewactwem,Nawrocki prezydentem....czy się to komu podoba czy nie....mnie się podoba....won z lewactwem,,,,0,0,0,92,12,0.0,niski,27,1.0
14.0,wiesci24pl,"Jeszcze nie jest prezydentem, a już kłamie. Karol Nawrocki nie rozmawiał z Trumpem wiesci24.pl/2025/06/12/jeszc…",0,31,4,35,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,"Jeszcze nie jest prezydentem, a już kłamie. Karol Nawrocki nie rozmawiał z Trumpem","Jeszcze nie jest prezydentem, a już kłamie. Karol Nawrocki nie rozmawiał z Trumpem",,,wiesci24.pl/2025/06/12/jeszc…,0,0,1,82,13,7.75,wysoki,27,0.5964181676763779
7.0,elzbiet28569480,"Czytam tutaj i nie wierzę ... NAWROCKI , prawie prezydent do tej pory nie wypuścił kawalerki Pana Jerzego z rąk mimo gorących zapewnień. W księdze wieczystej bez żadnych zmian . Będziemy mieć uczciwego , prawdomównego prezydenta ...... Cieszycie się.......",3,80,4,87,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,"Czytam tutaj i nie wierzę ... NAWROCKI , prawie prezydent do tej pory nie wypuścił kawalerki Pana Jerzego z rąk mimo gorących zapewnień. W księdze wieczystej bez żadnych zmian . Będziemy mieć uczciwego , prawdomównego prezydenta ...... Cieszycie się.......","Czytam tutaj i nie wierzę ... NAWROCKI , prawie prezydent do tej pory nie wypuścił kawalerki Pana Jerzego z rąk mimo gorących zapewnień. W księdze wieczystej bez żadnych zmian . Będziemy mieć uczciwego , prawdomównego prezydenta ...... Cieszycie się.......",,,,0,0,0,256,39,20.0,wysoki,27,0.6259845558560648
7.0,nawrockikn,Przyznane dzisiaj odznaczenia państwowe to wyraz najwyższego uznania za zasługi dla Rzeczpospolitej. Gratuluję wszystkim odznaczonym i dziękuję za służbę dla naszej ukochanej Ojczyzny! 🇵🇱,0,8,1,9,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Przyznane dzisiaj odznaczenia państwowe to wyraz najwyższego uznania za zasługi dla Rzeczpospolitej. Gratuluję wszystkim odznaczonym i dziękuję za służbę dla naszej ukochanej Ojczyzny! 🇵🇱,Przyznane dzisiaj odznaczenia państwowe to wyraz najwyższego uznania za zasługi dla Rzeczpospolitej. Gratuluję wszystkim odznaczonym i dziękuję za służbę dla naszej ukochanej Ojczyzny! 🇵🇱,,,,0,0,0,187,24,8.0,średni,27,0.6101068480643264
31.0,int_wydarzenia,". @BoguckiZbigniew zostanie szefem prezydenckiej kancelarii, a jego zastępcą zostanie @Andruszkiewicz1 - ogłosił prezydent elekt @NawrockiKn . wydarzenia.interia.pl/kraj/n…",2,1,4,0,,,,,,,". zostanie szefem prezydenckiej kancelarii, a jego zastępcą zostanie - ogłosił prezydent elekt . wydarzenia.",". zostanie szefem prezydenckiej kancelarii, a jego zastępcą zostanie - ogłosił prezydent elekt . wydarzenia.",@BoguckiZbigniew|@Andruszkiewicz1|@NawrockiKn,,interia.pl/kraj/n…,3,0,1,108,15,0.25,niski,27,0.5974708506228364
13.0,radiomaryja,"Prezydent elekt @NawrockiKn w 130. rocznicę powstania @nowePSL: Życzę ludowcom, by dobro ojczyzny było dla nich najwyższym nakazem radiomaryja.pl/informacje/pr…",1,8,0,9,28-07-25,2025-07-28,2025.0,7.0,28.0,0.0,"Prezydent elekt w 130. rocznicę powstania : Życzę ludowcom, by dobro ojczyzny było dla nich najwyższym nakazem","Prezydent elekt w 130. rocznicę powstania : Życzę ludowcom, by dobro ojczyzny było dla nich najwyższym nakazem",@NawrockiKn|@nowePSL,,radiomaryja.pl/informacje/pr…,2,0,1,110,17,8.0,średni,27,0.9051371435824316
20.0,wpolityce_pl,"TYLKO U NAS. Prezydenci @AndrzejDuda i @NawrockiKn dla @wPolscepl: #Powstanie jest wielkim pomnikiem naszego narodu, który nigdy nie odda wolności wpolityce.pl/polityka/736692…",0,37,8,45,01-08-25,2025-08-01,2025.0,8.0,1.0,0.0,"TYLKO U NAS. Prezydenci i dla : Powstanie jest wielkim pomnikiem naszego narodu, który nigdy nie odda wolności","TYLKO U NAS. Prezydenci i dla : jest wielkim pomnikiem naszego narodu, który nigdy nie odda wolności",@AndrzejDuda|@NawrockiKn|@wPolscepl,#Powstanie,wpolityce.pl/polityka/736692…,3,1,1,110,18,4.62,wysoki,27,0.7042210831214343
6.0,antyklerykalna,Prezydent jest tylko takim zwykłym petem tak jak ty.duda ochodzi łamacz konstytucji.życzę wam jak najgorzej.nawrocki to tylko marionetka nie ma nic do gadania flet,0,0,0,0,05-08-25,2025-08-05,2025.0,8.0,5.0,0.0,Prezydent jest tylko takim zwykłym petem tak jak ty.duda ochodzi łamacz konstytucji.życzę wam jak najgorzej.nawrocki to tylko marionetka nie ma nic do gadania flet,Prezydent jest tylko takim zwykłym petem tak jak ty.duda ochodzi łamacz konstytucji.życzę wam jak najgorzej.nawrocki to tylko marionetka nie ma nic do gadania flet,,,,0,0,0,163,24,0.0,niski,27,0.6199231774237817
111.0,arttxes,"jak słyszę, że nawrocki jest prezydentem naszego kraju to rzygac mi się chce",0,134,19,153,06-08-25,2025-08-06,2025.0,8.0,6.0,0.0,"jak słyszę, że nawrocki jest prezydentem naszego kraju to rzygac mi się chce","jak słyszę, że nawrocki jest prezydentem naszego kraju to rzygac mi się chce",,,,0,0,0,76,13,7.05,wysoki,27,1.0
27.0,dariuszmatecki,Tłumy pod Pałacem Prezydenckim. Piękne hasła na banerach; „Nawrocki do pałacu! Nowacka do kryminału!” #MójPrezydent,0,44,6,50,06-08-25,2025-08-06,2025.0,8.0,6.0,0.0,Tłumy pod Pałacem Prezydenckim. Piękne hasła na banerach; „Nawrocki do pałacu! Nowacka do kryminału!” MójPrezydent,Tłumy pod Pałacem Prezydenckim. Piękne hasła na banerach; „Nawrocki do pałacu! Nowacka do kryminału!”,,#MójPrezydent,,0,1,0,114,15,7.33,wysoki,27,0.567540018862809
75.0,dorzeczy_pl,.@NawrockiKn już w pałacu. Parze prezydenckiej towarzyszyły tłumy Polaków ⤵️ dorzeczy.pl/kraj/763065/nawr…,0,25,1,26,06-08-25,2025-08-06,2025.0,8.0,6.0,0.0,. już w pałacu. Parze prezydenckiej towarzyszyły tłumy Polaków ⤵️,. już w pałacu. Parze prezydenckiej towarzyszyły tłumy Polaków ⤵️,@NawrockiKn,,dorzeczy.pl/kraj/763065/nawr…,1,0,1,65,10,25.0,średni,27,0.5640785583243407
14.0,edomarcin,"Człowiek honoru, jak mówi - tak robi. Prezydent @NawrockiKn nie odpuścił zakłamanemu 🇩🇪 Onetowi. wirtualnemedia.pl/m/artykul/…",0,15,1,16,19-08-25,2025-08-19,2025.0,8.0,19.0,0.0,"Człowiek honoru, jak mówi - tak robi. Prezydent nie odpuścił zakłamanemu 🇩🇪 Onetowi.","Człowiek honoru, jak mówi - tak robi. Prezydent nie odpuścił zakłamanemu 🇩🇪 Onetowi.",@NawrockiKn,,wirtualnemedia.pl/m/artykul/…,1,0,1,84,13,15.0,średni,27,0.5953418573871876
14.0,radiomaryja,Min. Z. @BoguckiZbigniew: Prezydent @NawrockiKn nie będzie zwalniał tempa radiomaryja.pl/informacje/mi…,0,0,0,0,20-08-25,2025-08-20,2025.0,8.0,20.0,0.0,Min. Z. : Prezydent nie będzie zwalniał tempa,Min. Z. : Prezydent nie będzie zwalniał tempa,@BoguckiZbigniew|@NawrockiKn,,radiomaryja.pl/informacje/mi…,2,0,1,45,8,0.0,niski,27,0.5964181676763779
94.0,onetwiadomosci,"""Mamy swoje wyliczenia i szacunki"" - mówi rzecznik prezydenta. Szczegóły ➡️ wiadomosci.onet.pl/kraj/prez…",0,1,1,2,22-08-25,2025-08-22,2025.0,8.0,22.0,0.0,"""Mamy swoje wyliczenia i szacunki"" - mówi rzecznik prezydenta. Szczegóły ➡️ wiadomosci.","""Mamy swoje wyliczenia i szacunki"" - mówi rzecznik prezydenta. Szczegóły ➡️ wiadomosci.",,,onet.pl/kraj/prez…,0,0,1,87,12,1.0,średni,27,1.0
61.0,dudekpl4,No i kolejne bardzo ważne weto prezydenta. Brawa dla Karol Nawrocki @NawrockiKn,0,9,3,12,25-08-25,2025-08-25,2025.0,8.0,25.0,0.0,No i kolejne bardzo ważne weto prezydenta. Brawa dla Karol Nawrocki,No i kolejne bardzo ważne weto prezydenta. Brawa dla Karol Nawrocki,@NawrockiKn,,,1,0,0,67,11,3.0,średni,27,1.0
108.0,dorzeczy_pl,Prezydent @NawrockiKn przyjął w Pałacu Prezydenckim premiera Kanady ⤵️ dorzeczy.pl/kraj/770115/prez…,0,9,1,10,25-08-25,2025-08-25,2025.0,8.0,25.0,0.0,Prezydent przyjął w Pałacu Prezydenckim premiera Kanady ⤵️,Prezydent przyjął w Pałacu Prezydenckim premiera Kanady ⤵️,@NawrockiKn,,dorzeczy.pl/kraj/770115/prez…,1,0,1,58,8,9.0,średni,27,0.6245891770991325
100.0,aleksandraa2525,"Ostatnia, jak na razie, część o zawetowanych przez Prezydenta ustawach. Panie Prezydencie, proszę chociaż przez kilka dni nic nie wetować. Muszę od Pana odpocząć. #prezydent #nawrocki #weto #polityka",0,50,7,57,31-08-25,2025-08-31,2025.0,8.0,31.0,0.0,"Ostatnia, jak na razie, część o zawetowanych przez Prezydenta ustawach. Panie Prezydencie, proszę chociaż przez kilka dni nic nie wetować. Muszę od Pana odpocząć. prezydent nawrocki weto polityka","Ostatnia, jak na razie, część o zawetowanych przez Prezydenta ustawach. Panie Prezydencie, proszę chociaż przez kilka dni nic nie wetować. Muszę od Pana odpocząć.",,#prezydent|#nawrocki|#weto|#polityka,,0,4,0,195,28,7.14,wysoki,27,1.0
25.0,mmagierowski,Mój komentarz dla @wirtualnapolska po spotkaniu prezydentów 🇵🇱 & 🇺🇸 w Waszyngtonie. wiadomosci.wp.pl/nawrocki-u-…,2,153,34,189,04-09-25,2025-09-04,2025.0,9.0,4.0,0.0,Mój komentarz dla po spotkaniu prezydentów 🇵🇱 & 🇺🇸 w Waszyngtonie. wiadomosci.,Mój komentarz dla po spotkaniu prezydentów 🇵🇱 & 🇺🇸 w Waszyngtonie. wiadomosci.,@wirtualnapolska,,wp.pl/nawrocki-u-…,1,0,1,78,12,4.5,wysoki,27,0.886004017720423
147.0,abramczykpawel,"Prezydent @NawrockiKn w Wilnie❗ @donaldtusk obiera ziemniaki,@sikorskiradek tańczy,śpiewa i nagrywa w🇺🇸,@KosiniakKamysz łapie🇺🇦drony i 🇵🇱 się kręci. Oddajcie władzę Nawrockiemu❗To jedyna rozsądna opcja dla 🇵🇱. wpolsce24.tv/swiat/prezydent…",0,0,0,0,08-09-25,2025-09-08,2025.0,9.0,8.0,0.0,"Prezydent w Wilnie❗ obiera ziemniaki, tańczy,śpiewa i nagrywa w🇺🇸, łapie🇺🇦drony i 🇵🇱 się kręci. Oddajcie władzę Nawrockiemu❗To jedyna rozsądna opcja dla 🇵🇱. wpolsce24.tv/swiat/prezydent…","Prezydent w Wilnie❗ obiera ziemniaki, tańczy,śpiewa i nagrywa w🇺🇸, łapie🇺🇦drony i 🇵🇱 się kręci. Oddajcie władzę Nawrockiemu❗To jedyna rozsądna opcja dla 🇵🇱. wpolsce24.tv/swiat/prezydent…",@NawrockiKn|@donaldtusk|@sikorskiradek|@KosiniakKamysz,,,4,0,0,186,23,0.0,niski,27,0.5612371863579086
13.0,annakola3,"brawo Panie Premierze ''prezydencie'' z małej litery, tak jak na to zasłużył nawrocki",0,0,0,0,10-09-25,2025-09-10,2025.0,9.0,10.0,0.0,"brawo Panie Premierze ''prezydencie'' z małej litery, tak jak na to zasłużył nawrocki","brawo Panie Premierze ''prezydencie'' z małej litery, tak jak na to zasłużył nawrocki",,,,0,0,0,85,13,0.0,niski,27,0.8170246812146159
10.0,onetpl,Prezydent zabrał głos na spotkaniu z żołnierzami. Szczegóły ➡️ dlvr.it/TN138c,0,0,0,0,11-09-25,2025-09-11,2025.0,9.0,11.0,0.0,Prezydent zabrał głos na spotkaniu z żołnierzami. Szczegóły ➡️ dlvr.it/TN138c,Prezydent zabrał głos na spotkaniu z żołnierzami. Szczegóły ➡️ dlvr.it/TN138c,,,,0,0,0,77,10,0.0,niski,27,0.6982212660143916
30.0,krzysztof220730,"Prezydent, ten nasz biało-czerwony marzyciel z głową pełną legend i doradcami z demobilu, zapragnął... podzielić ambasady. Tak jak dzieli się pączki w biurze: jeden dla mnie, jeden dla ciebie, trzy dla moich. bielejewski.waw.pl/wielki-po…",0,0,0,0,20-09-25,2025-09-20,2025.0,9.0,20.0,0.0,"Prezydent, ten nasz biało-czerwony marzyciel z głową pełną legend i doradcami z demobilu, zapragnął... podzielić ambasady. Tak jak dzieli się pączki w biurze: jeden dla mnie, jeden dla ciebie, trzy dla moich. bielejewski.","Prezydent, ten nasz biało-czerwony marzyciel z głową pełną legend i doradcami z demobilu, zapragnął... podzielić ambasady. Tak jak dzieli się pączki w biurze: jeden dla mnie, jeden dla ciebie, trzy dla moich. bielejewski.",,,waw.pl/wielki-po…,0,0,1,221,33,0.0,niski,27,1.0
177.0,abcd15361,"No a jak nawrocki jak normalny czlowiek wyszedl do ludzi przed palac i z okna w koszulce nocnej wygladal to pierwsi byliscie do gadania ze tak nie wypada prezydentowi a teraz ze w czachach to prezydent jest normalnym czlowiekiem, przestan pierdolic glupoty odklejencu",0,0,0,0,20-09-25,2025-09-20,2025.0,9.0,20.0,0.0,"No a jak nawrocki jak normalny czlowiek wyszedl do ludzi przed palac i z okna w koszulce nocnej wygladal to pierwsi byliscie do gadania ze tak nie wypada prezydentowi a teraz ze w czachach to prezydent jest normalnym czlowiekiem, przestan pierdolic glupoty odklejencu","No a jak nawrocki jak normalny czlowiek wyszedl do ludzi przed palac i z okna w koszulce nocnej wygladal to pierwsi byliscie do gadania ze tak nie wypada prezydentowi a teraz ze w czachach to prezydent jest normalnym czlowiekiem, przestan pierdolic glupoty odklejencu",,,,0,0,0,267,43,0.0,niski,27,0.8570449921504438
194.0,camarojaro,"A ja bym powiedział, że w Kancelarii nie ma takiego stanowiska.",0,0,0,0,23-09-25,2025-09-23,2025.0,9.0,23.0,0.0,"A ja bym powiedział, że w Kancelarii nie ma takiego stanowiska.","A ja bym powiedział, że w Kancelarii nie ma takiego stanowiska.",,,,0,0,0,63,11,0.0,niski,27,0.5964181676763779
67.0,onetpl,"Wiadomo, co było celem rozmowy prezydenta ➡️ dlvr.it/TNRrV9",0,0,0,0,03-10-25,2025-10-03,2025.0,10.0,3.0,0.0,"Wiadomo, co było celem rozmowy prezydenta ➡️ dlvr.it/TNRrV9","Wiadomo, co było celem rozmowy prezydenta ➡️ dlvr.it/TNRrV9",,,,0,0,0,59,8,0.0,niski,27,0.8992442977282041
28.0,dorzeczy_pl,"""Kategorycznie się nie zgadzam"". Prezydent podjął ważną decyzję ⬇️ dorzeczy.pl/obserwator-medio…",0,3,0,3,08-10-25,2025-10-08,2025.0,10.0,8.0,0.0,"""Kategorycznie się nie zgadzam"". Prezydent podjął ważną decyzję ⬇️","""Kategorycznie się nie zgadzam"". Prezydent podjął ważną decyzję ⬇️",,,dorzeczy.pl/obserwator-medio…,0,0,1,66,9,3.0,średni,27,1.0
11.0,dorzeczy_pl,Prezydent oddał hołd ks. Popiełuszce. Wymowny gest ⬇️⬇️⬇️ dorzeczy.pl/kraj/794367/nawr…,0,3,1,4,19-10-25,2025-10-19,2025.0,10.0,19.0,0.0,Prezydent oddał hołd ks. Popiełuszce. Wymowny gest ⬇️⬇️⬇️,Prezydent oddał hołd ks. Popiełuszce. Wymowny gest ⬇️⬇️⬇️,,,dorzeczy.pl/kraj/794367/nawr…,0,0,1,57,8,3.0,średni,27,1.0
11.0,wpolityce_pl,"Prezydent @NawrockiKn: ""Jestem gotowy do dyskusji o statusie osoby najbliższej"". Postawił jednak twardy warunek. ""Nie podpiszę..."" wpolityce.pl/polityka/743617…",0,0,0,0,20-10-25,2025-10-20,2025.0,10.0,20.0,0.0,"Prezydent : ""Jestem gotowy do dyskusji o statusie osoby najbliższej"". Postawił jednak twardy warunek. ""Nie podpiszę...""","Prezydent : ""Jestem gotowy do dyskusji o statusie osoby najbliższej"". Postawił jednak twardy warunek. ""Nie podpiszę...""",@NawrockiKn,,wpolityce.pl/polityka/743617…,1,0,1,119,16,0.0,niski,27,1.0
2.0,radiomaryja,Prezydent nie zgodzi się na podwyżkę akcyzy? #radioamryja #tvtrwam #alkohol #nawrocki,0,1,0,1,23-10-25,2025-10-23,2025.0,10.0,23.0,0.0,Prezydent nie zgodzi się na podwyżkę akcyzy? radioamryja tvtrwam alkohol nawrocki,Prezydent nie zgodzi się na podwyżkę akcyzy?,,#radioamryja|#tvtrwam|#alkohol|#nawrocki,,0,4,0,81,11,1.0,średni,27,0.7131544748561572
851.0,grzegorzkrajski,Uzależnieniony ćpun #nawrocki nie jest prezydentem:,0,0,0,0,2025-10-31 14:23:00,,,,,,Uzależnieniony ćpun nawrocki nie jest prezydentem:,Uzależnieniony ćpun nie jest prezydentem:,,#nawrocki,,0,1,0,50,6,0.0,niski,27,0.5964181676763779
735.0,nawrockikn,"Szanowny Panie Prezydencie, dziękuję za wsparcie udzielone w trakcie trudnej i niekiedy brutalnej kampanii wyborczej. Moim priorytetem będzie dbanie o bezpieczeństwo Rzeczypospolitej. Współpraca z instytucjami państwowymi oraz społeczeństwem zostanie oparta o zasady dialogu i odpowiedzialności. Z poważaniem Karol Nawrocki",3,465,114,582,"Jun 2, 2025 · 5:54 PM UTC",,,,,,"Szanowny Panie Prezydencie, dziękuję za wsparcie udzielone w trakcie trudnej i niekiedy brutalnej kampanii wyborczej. Moim priorytetem będzie dbanie o bezpieczeństwo Rzeczypospolitej. Współpraca z instytucjami państwowymi oraz społeczeństwem zostanie oparta o zasady dialogu i odpowiedzialności. Z poważaniem Karol Nawrocki","Szanowny Panie Prezydencie, dziękuję za wsparcie udzielone w trakcie trudnej i niekiedy brutalnej kampanii wyborczej. Moim priorytetem będzie dbanie o bezpieczeństwo Rzeczypospolitej. Współpraca z instytucjami państwowymi oraz społeczeństwem zostanie oparta o zasady dialogu i odpowiedzialności. Z poważaniem Karol Nawrocki",,,,0,0,0,323,39,4.08,wysoki,27,0.7282832840862908
29.0,sirravei,"To ile, uśmiechnięci, do końca kadencji Prezydenta Dudy?. Nadal tak radośnie odliczacie? Ja z Wami",0,0,0,0,"Jun 3, 2025 · 5:58 PM UTC",,,,,,"To ile, uśmiechnięci, do końca kadencji Prezydenta Dudy?. Nadal tak radośnie odliczacie? Ja z Wami","To ile, uśmiechnięci, do końca kadencji Prezydenta Dudy?. Nadal tak radośnie odliczacie? Ja z Wami",,,,0,0,0,98,15,0.0,niski,27,1.0
134.0,nawrockikn,"Panie Prezydencie @AndrzejDuda, dziękuję za spotkanie",5,94,48,147,"Jun 3, 2025 · 7:45 PM UTC",,,,,,"Panie Prezydencie , dziękuję za spotkanie","Panie Prezydencie , dziękuję za spotkanie",@AndrzejDuda,,,1,0,0,41,6,1.96,wysoki,27,1.0
754.0,pterr117,Dlatego to nawrocki jest prezydentem,0,0,0,0,"Jun 4, 2025 · 8:11 AM UTC",,,,,,Dlatego to nawrocki jest prezydentem,Dlatego to nawrocki jest prezydentem,,,,0,0,0,36,5,0.0,niski,27,1.0
662.0,michal368651564,Teraz To nasz prezydent rządzi!!!!!! NAWROCKI,0,0,0,0,"Jun 4, 2025 · 2:58 PM UTC",,,,,,Teraz To nasz prezydent rządzi!!!!!! NAWROCKI,Teraz To nasz prezydent rządzi!!!!!! NAWROCKI,,,,0,0,0,45,6,0.0,niski,27,0.6144513876712814
934.0,suszpom,Dlaczego to nie jest para prezydencka,0,0,0,0,"Jun 4, 2025 · 2:59 PM UTC",,,,,,Dlaczego to nie jest para prezydencka,Dlaczego to nie jest para prezydencka,,,,0,0,0,37,6,0.0,niski,27,0.5964181676763779
408.0,ronald_uswanson,"Bo ma wyjebane i nie chcial zostac prezydentem, cieszę się że mogłem pomóc",0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Bo ma wyjebane i nie chcial zostac prezydentem, cieszę się że mogłem pomóc","Bo ma wyjebane i nie chcial zostac prezydentem, cieszę się że mogłem pomóc",,,,0,0,0,74,13,0.0,niski,27,0.5964181676763779
3.0,magdalenka_pl,"Panie @trzaskowski_, ja uwazam, że ma szansę zostać prezydentem za trzecim razem. Jest jeden warunek... Musi Pana poprzeć @OficjalnyJK 😂",0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Panie , ja uwazam, że ma szansę zostać prezydentem za trzecim razem. Jest jeden warunek... Musi Pana poprzeć 😂","Panie , ja uwazam, że ma szansę zostać prezydentem za trzecim razem. Jest jeden warunek... Musi Pana poprzeć 😂",@trzaskowski_|@OficjalnyJK,,,2,0,0,110,19,1.0,średni,27,1.0
123.0,vito82488734,"Co wie Prezydent, czego my nie wiemy? Nie chcę straszyć, ale musi być grubo. To jest w gruncie rzeczy alarmujący post.",0,14,7,21,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Co wie Prezydent, czego my nie wiemy? Nie chcę straszyć, ale musi być grubo. To jest w gruncie rzeczy alarmujący post.","Co wie Prezydent, czego my nie wiemy? Nie chcę straszyć, ale musi być grubo. To jest w gruncie rzeczy alarmujący post.",,,,0,0,0,118,21,2.0,wysoki,27,1.0
6.0,presidentpoland,Ole Olek. Na prezydenta tylko Ty!,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Ole Olek. Na prezydenta tylko Ty!,Ole Olek. Na prezydenta tylko Ty!,,,,0,0,0,33,6,0.0,niski,27,1.0
10.0,piotus_pa,Tak dokładnie przewidzieliście prezydenckie że wszyscy wam wierzą,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Tak dokładnie przewidzieliście prezydenckie że wszyscy wam wierzą,Tak dokładnie przewidzieliście prezydenckie że wszyscy wam wierzą,,,,0,0,0,65,8,0.0,niski,27,1.0
578.0,pawel_bialas,"Pobył se prezydentem przez 2 godziny, Gocha też. Być może stwierdzili, że to dupy nie urywa... xdd",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Pobył se prezydentem przez 2 godziny, Gocha też. Być może stwierdzili, że to dupy nie urywa... xdd","Pobył se prezydentem przez 2 godziny, Gocha też. Być może stwierdzili, że to dupy nie urywa... xdd",,,,0,0,0,98,17,0.0,niski,27,1.0
2.0,aniatere,Ale wtedy nie mógłby na siebie mówić Prezydent.,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Ale wtedy nie mógłby na siebie mówić Prezydent.,Ale wtedy nie mógłby na siebie mówić Prezydent.,,,,0,0,0,47,8,0.0,niski,27,0.5964181676763779
605.0,gmiziula,To nie jest mój prezydent 🤦‍♂️🤮,14,280,312,606,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,To nie jest mój prezydent 🤦‍♂️🤮,To nie jest mój prezydent 🤦‍♂️🤮,,,,0,0,0,31,6,0.9,wysoki,27,0.5964181676763779
26.0,ania_z_polski,"Na bank Panie Ministrze, była gdzieś zapowiedź jeszcze przed 1 turą, że prezydent @trzaskowski_ weźmie udział w paradzie z dumą jako Prezydent Elekt 🏳️‍🌈",0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,"Na bank Panie Ministrze, była gdzieś zapowiedź jeszcze przed 1 turą, że prezydent weźmie udział w paradzie z dumą jako Prezydent Elekt 🏳️‍🌈","Na bank Panie Ministrze, była gdzieś zapowiedź jeszcze przed 1 turą, że prezydent weźmie udział w paradzie z dumą jako Prezydent Elekt 🏳️‍🌈",@trzaskowski_,,,1,0,0,139,23,0.0,niski,27,0.6507524380604938
460.0,krzysztof_virt,Proszę podziękować rządowi i jego sztabowi.,0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,Proszę podziękować rządowi i jego sztabowi.,Proszę podziękować rządowi i jego sztabowi.,,,,0,0,0,43,6,0.0,niski,27,0.9109485159568782
