id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
23.0,blinkerek,"Policzą jeszcze raz, wyjdą drobne różnice z przeoczenia, zmęczenia itp. Znowu wygra Nawrocki. Odpuszczą czy nadal będą szukać?",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Policzą jeszcze raz, wyjdą drobne różnice z przeoczenia, zmęczenia itp. Znowu wygra Nawrocki. Odpuszczą czy nadal będą szukać?","Policzą jeszcze raz, wyjdą drobne różnice z przeoczenia, zmęczenia itp. Znowu wygra Nawrocki. Odpuszczą czy nadal będą szukać?",,,,0,0,0,126,18,0.0,niski,28,0.5605144747305304
103.0,sonnia1310,"Zostawiam. Ale, ale nie. Dodam, że ten przygłup nie miał kryminalnej przeszłości jak Sutener Nawrocki.",0,10,1,11,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Zostawiam. Ale, ale nie. Dodam, że ten przygłup nie miał kryminalnej przeszłości jak Sutener Nawrocki.","Zostawiam. Ale, ale nie. Dodam, że ten przygłup nie miał kryminalnej przeszłości jak Sutener Nawrocki.",,,,0,0,0,102,15,10.0,średni,28,0.47171160589264
294.0,mirkagmix,"Tak, tylko że Nawrocki nie gra do ich bramki.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Tak, tylko że Nawrocki nie gra do ich bramki.","Tak, tylko że Nawrocki nie gra do ich bramki.",,,,0,0,0,45,9,0.0,niski,28,0.8701987377083666
533.0,dupy_dupa17187,"A kto był agresywny? Nawrocki? Czy cala ekipa tuska łącznie z nim, jeszcze takiej agresji słownej, hejtu I propagandy żeby kogoś zniszczyć to nie widziałem nawet w komunie ten Nawrocki to spokojny człowiek za takie wyzwiska ode mnie nie jeden juz dostałby pozew do sądu i w twarz",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"A kto był agresywny? Nawrocki? Czy cala ekipa tuska łącznie z nim, jeszcze takiej agresji słownej, hejtu I propagandy żeby kogoś zniszczyć to nie widziałem nawet w komunie ten Nawrocki to spokojny człowiek za takie wyzwiska ode mnie nie jeden juz dostałby pozew do sądu i w twarz","A kto był agresywny? Nawrocki? Czy cala ekipa tuska łącznie z nim, jeszcze takiej agresji słownej, hejtu I propagandy żeby kogoś zniszczyć to nie widziałem nawet w komunie ten Nawrocki to spokojny człowiek za takie wyzwiska ode mnie nie jeden juz dostałby pozew do sądu i w twarz",,,,0,0,0,279,48,0.0,niski,28,0.6237474313362689
22.0,marekwarsaw,"Ale Nawrocki kilku kiboli mógłby też wysłać, żeby nudy nie było....",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Ale Nawrocki kilku kiboli mógłby też wysłać, żeby nudy nie było....","Ale Nawrocki kilku kiboli mógłby też wysłać, żeby nudy nie było....",,,,0,0,0,67,11,0.0,niski,28,0.8055169414010062
102.0,michalluso,Nie będzie pełnił Hołownia bo zostanie nim Nawrocki. Pozdrawiam,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Nie będzie pełnił Hołownia bo zostanie nim Nawrocki. Pozdrawiam,Nie będzie pełnił Hołownia bo zostanie nim Nawrocki. Pozdrawiam,,,,0,0,0,63,9,0.0,niski,28,0.8701987377083666
103.0,pobuz46445,"Karol Nawrocki @NawrockiKn the best off , przeżyjmy to jeszcze raz,.",0,143,5,148,06-06-25,2025-06-06,2025.0,6.0,6.0,0.0,"Karol Nawrocki the best off , przeżyjmy to jeszcze raz,.","Karol Nawrocki the best off , przeżyjmy to jeszcze raz,.",@NawrockiKn,,,1,0,0,56,10,28.6,wysoki,28,0.5509612787216206
267.0,gregparis75017,"Powiem wam tak Prawaki! Choćby nie wiem jak byście zaklinali rzeczywistość, to wasz Karol Nawrocki robił Bardzo Złe Rzeczy w swoim życiu, przejecie mieszkania, nielegalne bandyckie bijatyki w lasach, bardzo długi okres kontaktów ze środowiskiem kryminalnym, kuplerstwo (wożenie prostytutek do hoteli), lichwa! Więc zapamiętajcie sobie raz na zawsze, chamy i chamy ze wsi, że, to że oddaliście na niego swój głos Nie Oznacza że jest oczyszczony z tych wszystkich haniebnych czynów! A poniżej jego prawdziwe oblicze, Kropka!😡",3,153,221,377,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Powiem wam tak Prawaki! Choćby nie wiem jak byście zaklinali rzeczywistość, to wasz Karol Nawrocki robił Bardzo Złe Rzeczy w swoim życiu, przejecie mieszkania, nielegalne bandyckie bijatyki w lasach, bardzo długi okres kontaktów ze środowiskiem kryminalnym, kuplerstwo (wożenie prostytutek do hoteli), lichwa! Więc zapamiętajcie sobie raz na zawsze, chamy i chamy ze wsi, że, to że oddaliście na niego swój głos Nie Oznacza że jest oczyszczony z tych wszystkich haniebnych czynów! A poniżej jego prawdziwe oblicze, Kropka!😡","Powiem wam tak Prawaki! Choćby nie wiem jak byście zaklinali rzeczywistość, to wasz Karol Nawrocki robił Bardzo Złe Rzeczy w swoim życiu, przejecie mieszkania, nielegalne bandyckie bijatyki w lasach, bardzo długi okres kontaktów ze środowiskiem kryminalnym, kuplerstwo (wożenie prostytutek do hoteli), lichwa! Więc zapamiętajcie sobie raz na zawsze, chamy i chamy ze wsi, że, to że oddaliście na niego swój głos Nie Oznacza że jest oczyszczony z tych wszystkich haniebnych czynów! A poniżej jego prawdziwe oblicze, Kropka!😡",,,,0,0,0,523,77,0.69,wysoki,28,0.6639291780821663
8.0,mazgajprzemek,Karol Nawrocki. Nie ma za co.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Karol Nawrocki. Nie ma za co.,Karol Nawrocki. Nie ma za co.,,,,0,0,0,29,6,0.0,niski,28,0.5706630876536736
35.0,wiesieklewy,"Nie ""taki"" lecz Pan Nawrocki.Kultura waszych ?",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Nie ""taki"" lecz Pan Nawrocki.Kultura waszych ?","Nie ""taki"" lecz Pan Nawrocki.Kultura waszych ?",,,,0,0,0,46,7,0.0,niski,28,0.4243403205062923
