id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
15.0,woz_piotr,"Nie wiem jakim prezydentem będzie Karol Nawrocki, ale oby nie był Andrzejem Dudą. I mówię o tym Dudzie, który jest bardziej aktorem i komediantem. Wczoraj Prezydent naszego Państwa udawał profesora Strzembosza. To normalne? 6 sekund. Mój dobry Boże.",52,175,173,400,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Nie wiem jakim prezydentem będzie Karol Nawrocki, ale oby nie był Andrzejem Dudą. I mówię o tym Dudzie, który jest bardziej aktorem i komediantem. Wczoraj Prezydent naszego Państwa udawał profesora Strzembosza. To normalne? 6 sekund. Mój dobry Boże.","Nie wiem jakim prezydentem będzie Karol Nawrocki, ale oby nie był Andrzejem Dudą. I mówię o tym Dudzie, który jest bardziej aktorem i komediantem. Wczoraj Prezydent naszego Państwa udawał profesora Strzembosza. To normalne? 6 sekund. Mój dobry Boże.",,,,0,0,0,249,38,1.01,wysoki,29,0.9364327818310748
20.0,lechmucha,"Kochani Wyborcy Trzaskowskiego. Mam dla Was dobra radę. Kupcie kredki i papier i narysujcie chmurkę, słoneczko, samolot, kaczuszkę, czy co tam potraficie. Oczywiście, nic nie zmieni faktu, że Karol Nawrocki został prezydentem, ale zajmiecie sobie czyms inni głowę.",0,22,3,25,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Kochani Wyborcy Trzaskowskiego. Mam dla Was dobra radę. Kupcie kredki i papier i narysujcie chmurkę, słoneczko, samolot, kaczuszkę, czy co tam potraficie. Oczywiście, nic nie zmieni faktu, że Karol Nawrocki został prezydentem, ale zajmiecie sobie czyms inni głowę.","Kochani Wyborcy Trzaskowskiego. Mam dla Was dobra radę. Kupcie kredki i papier i narysujcie chmurkę, słoneczko, samolot, kaczuszkę, czy co tam potraficie. Oczywiście, nic nie zmieni faktu, że Karol Nawrocki został prezydentem, ale zajmiecie sobie czyms inni głowę.",,,,0,0,0,264,38,7.33,średni,29,1.0
130.0,_inater,"Może jestem naiwna, ale nie wydaje mi się, żeby nawet Nawrocki mógł odwalić coś takiego. Wydaje mi się, że nasz kibic obywatelski jest bardziej zachowawczy i bardziej się pilnuje.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Może jestem naiwna, ale nie wydaje mi się, żeby nawet Nawrocki mógł odwalić coś takiego. Wydaje mi się, że nasz kibic obywatelski jest bardziej zachowawczy i bardziej się pilnuje.","Może jestem naiwna, ale nie wydaje mi się, żeby nawet Nawrocki mógł odwalić coś takiego. Wydaje mi się, że nasz kibic obywatelski jest bardziej zachowawczy i bardziej się pilnuje.",,,,0,0,0,179,29,0.0,niski,29,1.0
9.0,patrykslowik,"Wtedy prezydentem zostaje Karol Nawrocki. Polecam w tym przedmiocie prof. Marka Chmaja i prof. Mariusza Bidzińskiego, Pańskich kolegów z kancelarii, Panie Mecenasie.",0,16,5,21,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Wtedy prezydentem zostaje Karol Nawrocki. Polecam w tym przedmiocie prof. Marka Chmaja i prof. Mariusza Bidzińskiego, Pańskich kolegów z kancelarii, Panie Mecenasie.","Wtedy prezydentem zostaje Karol Nawrocki. Polecam w tym przedmiocie prof. Marka Chmaja i prof. Mariusza Bidzińskiego, Pańskich kolegów z kancelarii, Panie Mecenasie.",,,,0,0,0,165,22,3.2,średni,29,0.919374691093919
716.0,_villain___,Nie ma takiej potrzeby imbecylu. Pan Karol Nawrocki zdobył wymaganą większość głosów by zostać Prezydentem. Wbij to sobie do tego twojego łba i wylempartuj na drzewo.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Nie ma takiej potrzeby imbecylu. Pan Karol Nawrocki zdobył wymaganą większość głosów by zostać Prezydentem. Wbij to sobie do tego twojego łba i wylempartuj na drzewo.,Nie ma takiej potrzeby imbecylu. Pan Karol Nawrocki zdobył wymaganą większość głosów by zostać Prezydentem. Wbij to sobie do tego twojego łba i wylempartuj na drzewo.,,,,0,0,0,166,26,0.0,niski,29,0.7556485387875784
995.0,jachcy,"Karol Nawrocki prezydentem będzie od 6 sierpnia🔥 ➡️Poczekajmy na protesty wyborcze, poczekajmy na Sąd Najwyższy…🤡 -WOW ten którego nie uznajecie?😂 🚜🚜🚜🚜🚜🚜🚜",10,335,94,439,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Karol Nawrocki prezydentem będzie od 6 sierpnia🔥 ➡️Poczekajmy na protesty wyborcze, poczekajmy na Sąd Najwyższy…🤡 -WOW ten którego nie uznajecie?😂 🚜🚜🚜🚜🚜🚜🚜","Karol Nawrocki prezydentem będzie od 6 sierpnia🔥 ➡️Poczekajmy na protesty wyborcze, poczekajmy na Sąd Najwyższy…🤡 -WOW ten którego nie uznajecie?😂 🚜🚜🚜🚜🚜🚜🚜",,,,0,0,0,154,21,3.56,wysoki,29,1.0
476.0,isastern88,"Chyba zaczął brać to samo co Nawrocki, bo taki pobudzony i nakręcony to chyba jeszcze nie był. Bardzo słabe to przedrzeźnianie, nie wiem, kto jeszcze mógłby sobie pozwolić na taki gest. A to niby prezydent.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Chyba zaczął brać to samo co Nawrocki, bo taki pobudzony i nakręcony to chyba jeszcze nie był. Bardzo słabe to przedrzeźnianie, nie wiem, kto jeszcze mógłby sobie pozwolić na taki gest. A to niby prezydent.","Chyba zaczął brać to samo co Nawrocki, bo taki pobudzony i nakręcony to chyba jeszcze nie był. Bardzo słabe to przedrzeźnianie, nie wiem, kto jeszcze mógłby sobie pozwolić na taki gest. A to niby prezydent.",,,,0,0,0,206,35,0.0,niski,29,1.0
482.0,_kon_rad,Karol Nawrocki jest Twoim prezydentem :),0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Karol Nawrocki jest Twoim prezydentem :),Karol Nawrocki jest Twoim prezydentem :),,,,0,0,0,40,6,0.0,niski,29,1.0
623.0,djivviva21620,"Stop this stupid propaganda, and this stupid war. We need more responsible men. Go Nawrocki!",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Stop this stupid propaganda, and this stupid war. We need more responsible men. Go Nawrocki!","Stop this stupid propaganda, and this stupid war. We need more responsible men. Go Nawrocki!",,,,0,0,0,92,15,0.0,niski,29,0.9630103558784908
682.0,ester1015,"Nowo wybrany prezydent Nawrocki udziela wywiadów, jakby był w trasie koncertowej. Węgry, Waszyngton, Bruksela – wszędzie tam, gdzie ktoś jeszcze nie zdążył sprawdzić jego CV. Bo gdy już sprawdzą, pojawia się to pytanie: „CO WAM SIĘ STAŁO? #PrzeliczmyGłosy #Siódemka",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Nowo wybrany prezydent Nawrocki udziela wywiadów, jakby był w trasie koncertowej. Węgry, Waszyngton, Bruksela – wszędzie tam, gdzie ktoś jeszcze nie zdążył sprawdzić jego CV. Bo gdy już sprawdzą, pojawia się to pytanie: „CO WAM SIĘ STAŁO? PrzeliczmyGłosy Siódemka","Nowo wybrany prezydent Nawrocki udziela wywiadów, jakby był w trasie koncertowej. Węgry, Waszyngton, Bruksela – wszędzie tam, gdzie ktoś jeszcze nie zdążył sprawdzić jego CV. Bo gdy już sprawdzą, pojawia się to pytanie: „CO WAM SIĘ STAŁO?",,#PrzeliczmyGłosy|#Siódemka,,0,2,0,263,39,0.0,niski,29,0.8815764548336689
