id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
8.0,krz_michalek,"Czy Karol Nawrocki może zostać legalnie zaprzysiężony? Nie. Dlaczego? Ta Izba jest sprzeczna z polską Konstytucją (art. 45) i wyrokami TSUE. Sam SN w 2020 r. uznał, że jest złożona z wadliwie powołanych sędziów. Legalne wyjście? Nowe wybory i przejęcie obowiązków przez Marszałka.",22,232,388,642,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Czy Karol Nawrocki może zostać legalnie zaprzysiężony? Nie. Dlaczego? Ta Izba jest sprzeczna z polską Konstytucją (art. 45) i wyrokami TSUE. Sam SN w 2020 r. uznał, że jest złożona z wadliwie powołanych sędziów. Legalne wyjście? Nowe wybory i przejęcie obowiązków przez Marszałka.","Czy Karol Nawrocki może zostać legalnie zaprzysiężony? Nie. Dlaczego? Ta Izba jest sprzeczna z polską Konstytucją (art. 45) i wyrokami TSUE. Sam SN w 2020 r. uznał, że jest złożona z wadliwie powołanych sędziów. Legalne wyjście? Nowe wybory i przejęcie obowiązków przez Marszałka.",,,,0,0,0,280,43,0.6,wysoki,32,0.7905616976122165
108.0,grok,"@krz_michalek @bwoharry Karol Nawrocki może zostać legalnie zaprzysiężony. PKW potwierdziła wyniki wyborów, nie ma zgłoszonych skarg wyborczych, a zaprzysiężenie wymaga jedynie przysięgi przed Zgromadzeniem Narodowym, bez udziału Sądu Najwyższego. Kontrowersje wokół Izby Kontroli Nadzwyczajnej SN nie wpływają bezpośrednio na proces zaprzysiężenia, choć budzą pytania o niezależność sądownictwa. Brak dowodów na prawne przeszkody wskazuje, że Nawrocki obejmie urząd 6 sierpnia 2025.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Karol Nawrocki może zostać legalnie zaprzysiężony. PKW potwierdziła wyniki wyborów, nie ma zgłoszonych skarg wyborczych, a zaprzysiężenie wymaga jedynie przysięgi przed Zgromadzeniem Narodowym, bez udziału Sądu Najwyższego. Kontrowersje wokół Izby Kontroli Nadzwyczajnej SN nie wpływają bezpośrednio na proces zaprzysiężenia, choć budzą pytania o niezależność sądownictwa. Brak dowodów na prawne przeszkody wskazuje, że Nawrocki obejmie urząd 6 sierpnia 2025.","Karol Nawrocki może zostać legalnie zaprzysiężony. PKW potwierdziła wyniki wyborów, nie ma zgłoszonych skarg wyborczych, a zaprzysiężenie wymaga jedynie przysięgi przed Zgromadzeniem Narodowym, bez udziału Sądu Najwyższego. Kontrowersje wokół Izby Kontroli Nadzwyczajnej SN nie wpływają bezpośrednio na proces zaprzysiężenia, choć budzą pytania o niezależność sądownictwa. Brak dowodów na prawne przeszkody wskazuje, że Nawrocki obejmie urząd 6 sierpnia 2025.",@krz_michalek|@bwoharry,,,2,0,0,459,58,0.0,niski,32,0.7519314626159519
553.0,bp_martyna,"Ale Państwo wiedzą, że PKW 15 maja na podstawie decyzji Sądu Najwyższego z 7 maja 2025 roku dopuściła ją do użytku!",9,163,26,198,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Ale Państwo wiedzą, że PKW 15 maja na podstawie decyzji Sądu Najwyższego z 7 maja 2025 roku dopuściła ją do użytku!","Ale Państwo wiedzą, że PKW 15 maja na podstawie decyzji Sądu Najwyższego z 7 maja 2025 roku dopuściła ją do użytku!",,,,0,0,0,115,21,6.27,wysoki,32,0.7496779221410087
11.0,andrzejekmitura,"Cześć Moniko 😘 Nawrocki to tylko prezydent elekt... Nawet to nie powinno się wydarzyć !!! Ważność wyborów stwierdzą SN nie jakaś tam izba, która sądem nie jest. Jeden z możliwych scenariuszy : - Marszałek nie zwołuje Zgromadzenia Narodowego. - Prezydent Rzeczypospolitej obejmuje urząd po złożeniu przysięgi, więc nie obejmuje urzędu . - Kadencja Dudy dobiega końca. - Obowiązki prezydenta przejmuje marszałek sejmu. - Podpisuje ustawy przygotowane przez rząd. - Wybieramy prezydenta . Rozliczamy PiS do spodu 👊👊👊 Dosyć okradania Polaków 😡 A. Duda, J. Kaczyński, Z. Ziobro, M. Manowska... Od tych osób bym zaczął. Ja bym tak zrobił !!! Wierzę w to, że to się może wydarzyć 😉",0,2,1,3,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,"Cześć Moniko 😘 Nawrocki to tylko prezydent elekt... Nawet to nie powinno się wydarzyć !!! Ważność wyborów stwierdzą SN nie jakaś tam izba, która sądem nie jest. Jeden z możliwych scenariuszy : - Marszałek nie zwołuje Zgromadzenia Narodowego. - Prezydent Rzeczypospolitej obejmuje urząd po złożeniu przysięgi, więc nie obejmuje urzędu . - Kadencja Dudy dobiega końca. - Obowiązki prezydenta przejmuje marszałek sejmu. - Podpisuje ustawy przygotowane przez rząd. - Wybieramy prezydenta . Rozliczamy PiS do spodu 👊👊👊 Dosyć okradania Polaków 😡 A. Duda, J. Kaczyński, Z. Ziobro, M. Manowska... Od tych osób bym zaczął. Ja bym tak zrobił !!! Wierzę w to, że to się może wydarzyć 😉","Cześć Moniko 😘 Nawrocki to tylko prezydent elekt... Nawet to nie powinno się wydarzyć !!! Ważność wyborów stwierdzą SN nie jakaś tam izba, która sądem nie jest. Jeden z możliwych scenariuszy : - Marszałek nie zwołuje Zgromadzenia Narodowego. - Prezydent Rzeczypospolitej obejmuje urząd po złożeniu przysięgi, więc nie obejmuje urzędu . - Kadencja Dudy dobiega końca. - Obowiązki prezydenta przejmuje marszałek sejmu. - Podpisuje ustawy przygotowane przez rząd. - Wybieramy prezydenta . Rozliczamy PiS do spodu 👊👊👊 Dosyć okradania Polaków 😡 A. Duda, J. Kaczyński, Z. Ziobro, M. Manowska... Od tych osób bym zaczął. Ja bym tak zrobił !!! Wierzę w to, że to się może wydarzyć 😉",,,,0,0,0,674,108,2.0,średni,32,0.6397683476739737
9.0,tomaszgozdz,"Możesz go uważać nawet za kosmitę. CO MU ZROBISZ ? I CO MU ZROBI PIS ALBO KAROL NAWROCKI? Jeśli Hołownia będzie konsekwentny w swoim dotychczasowym stanowisku, że ta izba SN nie jest legalna, to dziś nikt nie ma siły ani metody, by to stanowisko zmienić. Tyle, wyciszam.",0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"Możesz go uważać nawet za kosmitę. CO MU ZROBISZ ? I CO MU ZROBI PIS ALBO KAROL NAWROCKI? Jeśli Hołownia będzie konsekwentny w swoim dotychczasowym stanowisku, że ta izba SN nie jest legalna, to dziś nikt nie ma siły ani metody, by to stanowisko zmienić. Tyle, wyciszam.","Możesz go uważać nawet za kosmitę. CO MU ZROBISZ ? I CO MU ZROBI PIS ALBO KAROL NAWROCKI? Jeśli Hołownia będzie konsekwentny w swoim dotychczasowym stanowisku, że ta izba SN nie jest legalna, to dziś nikt nie ma siły ani metody, by to stanowisko zmienić. Tyle, wyciszam.",,,,0,0,0,270,47,0.0,niski,32,1.0
27.0,wijass,"jak SN wyda wyrok odnośnie przeliczenia głosów, to jest spoko i szanujemy decyzję. jak SN wyda wyrok, że Nawrocki prezydentem, to musimy ten wyrok podważyć. ot tacy obrońcy demokracji",0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"jak SN wyda wyrok odnośnie przeliczenia głosów, to jest spoko i szanujemy decyzję. jak SN wyda wyrok, że Nawrocki prezydentem, to musimy ten wyrok podważyć. ot tacy obrońcy demokracji","jak SN wyda wyrok odnośnie przeliczenia głosów, to jest spoko i szanujemy decyzję. jak SN wyda wyrok, że Nawrocki prezydentem, to musimy ten wyrok podważyć. ot tacy obrońcy demokracji",,,,0,0,0,183,29,0.0,niski,32,1.0
18.0,jan_pinski,"Nie ma żadnej Izby Kontroli Nadzwyczajnej i Spraw Publicznych Sądu Najwyższego. Nie ma na co czekać, bo to nie są sędziowie, tylko przebierańcy Kaczyńskiego. Znamy ich ""decyzja"". Zero dalszego przeliczania głosów i uznają ""Nawrocki wygrał"". Prokuratura musi przeliczyć głosy!",2,156,20,178,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Nie ma żadnej Izby Kontroli Nadzwyczajnej i Spraw Publicznych Sądu Najwyższego. Nie ma na co czekać, bo to nie są sędziowie, tylko przebierańcy Kaczyńskiego. Znamy ich ""decyzja"". Zero dalszego przeliczania głosów i uznają ""Nawrocki wygrał"". Prokuratura musi przeliczyć głosy!","Nie ma żadnej Izby Kontroli Nadzwyczajnej i Spraw Publicznych Sądu Najwyższego. Nie ma na co czekać, bo to nie są sędziowie, tylko przebierańcy Kaczyńskiego. Znamy ich ""decyzja"". Zero dalszego przeliczania głosów i uznają ""Nawrocki wygrał"". Prokuratura musi przeliczyć głosy!",,,,0,0,0,275,39,7.8,wysoki,32,0.7905616976122165
113.0,ostrowskiprok,"UWAGA! Nie ma Izby Nadzwywczajnej w Sądzie Najwyższym! Jest Izba Kontroli Nadzwyczajnej i Spraw Publicznych złożona z wybitnych prawnikow, profesorow prawa. To ta Izba orzekła o ważności wyborów w 2023r., a dzięki temu orzeczeniu dostał się Pan Poseł do Sejmu. Wtedy była uznana. Moja rada. Przed wpisami na X, proszę udać się do adwokata lub przeczytać przepisy. Jest ustawa o Sądzie Najwyższym. Zachęcam do lektury.",3,139,18,160,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"UWAGA! Nie ma Izby Nadzwywczajnej w Sądzie Najwyższym! Jest Izba Kontroli Nadzwyczajnej i Spraw Publicznych złożona z wybitnych prawnikow, profesorow prawa. To ta Izba orzekła o ważności wyborów w 2023r., a dzięki temu orzeczeniu dostał się Pan Poseł do Sejmu. Wtedy była uznana. Moja rada. Przed wpisami na X, proszę udać się do adwokata lub przeczytać przepisy. Jest ustawa o Sądzie Najwyższym. Zachęcam do lektury.","UWAGA! Nie ma Izby Nadzwywczajnej w Sądzie Najwyższym! Jest Izba Kontroli Nadzwyczajnej i Spraw Publicznych złożona z wybitnych prawnikow, profesorow prawa. To ta Izba orzekła o ważności wyborów w 2023r., a dzięki temu orzeczeniu dostał się Pan Poseł do Sejmu. Wtedy była uznana. Moja rada. Przed wpisami na X, proszę udać się do adwokata lub przeczytać przepisy. Jest ustawa o Sądzie Najwyższym. Zachęcam do lektury.",,,,0,0,0,417,65,7.72,wysoki,32,0.7905616976122165
213.0,judgesssp,"- Problem z Izbą Kontroli jest realny. I on nie zniknie, bez względu na to, jak głośno pan prezydent będzie grzmiał. Mamy orzeczenie Trybunału Sprawiedliwości UE, z którego wynika, że tej izby nie można traktować jak legalnego sądu - mówi sędzia SN Michał Laskowski. - Ludzie przestają ufać SN, bo nie ufają Izbie Kontroli, w której zasiadają osoby powiązane z politykami dzisiejszej opozycji. Skutek może być taki, że bez względu na to, jakie orzeczenie w sprawie ważności wyborów wyda Izba Kontroli Nadzwyczajnej, dla części osób będzie to decyzja niewiarygodna, bo wydana przez osoby, których bezstronność może być wątpliwa – wskazuje. - Dla uspokojenia społeczeństwa decyzje w sprawie wyborów powinni wydać ci sędziowie, wobec których nie ma takich wątpliwości- podkreśla sędzia Laskowski. onet.pl/informacje/onetwiado… @OnetWiadomosci",0,60,7,67,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,"- Problem z Izbą Kontroli jest realny. I on nie zniknie, bez względu na to, jak głośno pan prezydent będzie grzmiał. Mamy orzeczenie Trybunału Sprawiedliwości UE, z którego wynika, że tej izby nie można traktować jak legalnego sądu - mówi sędzia SN Michał Laskowski. - Ludzie przestają ufać SN, bo nie ufają Izbie Kontroli, w której zasiadają osoby powiązane z politykami dzisiejszej opozycji. Skutek może być taki, że bez względu na to, jakie orzeczenie w sprawie ważności wyborów wyda Izba Kontroli Nadzwyczajnej, dla części osób będzie to decyzja niewiarygodna, bo wydana przez osoby, których bezstronność może być wątpliwa – wskazuje. - Dla uspokojenia społeczeństwa decyzje w sprawie wyborów powinni wydać ci sędziowie, wobec których nie ma takich wątpliwości- podkreśla sędzia Laskowski.","- Problem z Izbą Kontroli jest realny. I on nie zniknie, bez względu na to, jak głośno pan prezydent będzie grzmiał. Mamy orzeczenie Trybunału Sprawiedliwości UE, z którego wynika, że tej izby nie można traktować jak legalnego sądu - mówi sędzia SN Michał Laskowski. - Ludzie przestają ufać SN, bo nie ufają Izbie Kontroli, w której zasiadają osoby powiązane z politykami dzisiejszej opozycji. Skutek może być taki, że bez względu na to, jakie orzeczenie w sprawie ważności wyborów wyda Izba Kontroli Nadzwyczajnej, dla części osób będzie to decyzja niewiarygodna, bo wydana przez osoby, których bezstronność może być wątpliwa – wskazuje. - Dla uspokojenia społeczeństwa decyzje w sprawie wyborów powinni wydać ci sędziowie, wobec których nie ma takich wątpliwości- podkreśla sędzia Laskowski.",@OnetWiadomosci,,onet.pl/informacje/onetwiado…,1,0,1,793,121,8.57,wysoki,32,0.7905616976122165
269.0,michalsopinski,Prezydentem jest Karol Nawrocki. Scenariusz ponownego przeliczenia wszystkich głosów wyborczych jest nierealny. Makulaturę od Giertycha Sąd Najwyższy pozostawi bez rozpoznania. Proszę o RT! W wywiadzie dla Radia Wnet wyjaśniam dlaczego SN to zrobi! piped.video/watch?v=VuhnzM…,0,0,0,0,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,Prezydentem jest Karol Nawrocki. Scenariusz ponownego przeliczenia wszystkich głosów wyborczych jest nierealny. Makulaturę od Giertycha Sąd Najwyższy pozostawi bez rozpoznania. Proszę o RT! W wywiadzie dla Radia Wnet wyjaśniam dlaczego SN to zrobi! piped.video/watch?v=VuhnzM…,Prezydentem jest Karol Nawrocki. Scenariusz ponownego przeliczenia wszystkich głosów wyborczych jest nierealny. Makulaturę od Giertycha Sąd Najwyższy pozostawi bez rozpoznania. Proszę o RT! W wywiadzie dla Radia Wnet wyjaśniam dlaczego SN to zrobi! piped.video/watch?v=VuhnzM…,,,,0,0,0,276,34,0.0,niski,32,1.0
