id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
10.0,piotrs541,"Nawrockim niektórzy się podniecają, że taki niezależny itd., zapominając przy tym, że został on wytypowany przez JK po niezbyt udanych eksperymentach z Marcinkiewiczem, Dudą i Morawieckim. Może Nawrocki, to będzie strzał w dziesiątkę?",0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Nawrockim niektórzy się podniecają, że taki niezależny itd., zapominając przy tym, że został on wytypowany przez JK po niezbyt udanych eksperymentach z Marcinkiewiczem, Dudą i Morawieckim. Może Nawrocki, to będzie strzał w dziesiątkę?","Nawrockim niektórzy się podniecają, że taki niezależny itd., zapominając przy tym, że został on wytypowany przez JK po niezbyt udanych eksperymentach z Marcinkiewiczem, Dudą i Morawieckim. Może Nawrocki, to będzie strzał w dziesiątkę?",,,,0,0,0,234,33,0.0,niski,33,0.6468665765167969
151.0,matostasz,Otóż wiadomo wygrał je Karol Nawrocki. A Lewandowski jest ważniejszy niż on i Trzaskowski.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Otóż wiadomo wygrał je Karol Nawrocki. A Lewandowski jest ważniejszy niż on i Trzaskowski.,Otóż wiadomo wygrał je Karol Nawrocki. A Lewandowski jest ważniejszy niż on i Trzaskowski.,,,,0,0,0,90,14,0.0,niski,33,1.0
330.0,antytusk3,"Specjalnie przyleciał do Polski, aby wyłapać kosmitów. Jednego kosmitę już złapał, teraz idzie po Trzaskowskiego. -Rafał uciekaj !!!",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Specjalnie przyleciał do Polski, aby wyłapać kosmitów. Jednego kosmitę już złapał, teraz idzie po Trzaskowskiego. -Rafał uciekaj !!!","Specjalnie przyleciał do Polski, aby wyłapać kosmitów. Jednego kosmitę już złapał, teraz idzie po Trzaskowskiego. -Rafał uciekaj !!!",,,,0,0,0,132,18,0.0,niski,33,0.7747889218454155
754.0,marekma25175489,"9 x 7 = ??? Chrzest Polski - ????? Gortat : to są akurat sprawy które nie zostały mi w głowie. Ok ja mu wierzę, ale pytam się Panie po co Pan rżniesz autorytet moralny jeśli nawet tabliczki mnożenia dobrze nie ogarnąłeś?",23,856,339,1218,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"9 x 7 = ??? Chrzest Polski - ????? Gortat : to są akurat sprawy które nie zostały mi w głowie. Ok ja mu wierzę, ale pytam się Panie po co Pan rżniesz autorytet moralny jeśli nawet tabliczki mnożenia dobrze nie ogarnąłeś?","9 x 7 = ??? Chrzest Polski - ????? Gortat : to są akurat sprawy które nie zostały mi w głowie. Ok ja mu wierzę, ale pytam się Panie po co Pan rżniesz autorytet moralny jeśli nawet tabliczki mnożenia dobrze nie ogarnąłeś?",,,,0,0,0,220,42,2.53,wysoki,33,0.7209947996949326
18.0,pabl3r,"Trzaskowski, to opcja podnóżka niemieckiego. Nawrocki, jest ścigany listem gończym przez ruskich. Posklejaj sobie teraz, kto był za rozbiorem Polski.🤡",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Trzaskowski, to opcja podnóżka niemieckiego. Nawrocki, jest ścigany listem gończym przez ruskich. Posklejaj sobie teraz, kto był za rozbiorem Polski.🤡","Trzaskowski, to opcja podnóżka niemieckiego. Nawrocki, jest ścigany listem gończym przez ruskich. Posklejaj sobie teraz, kto był za rozbiorem Polski.🤡",,,,0,0,0,150,20,0.0,niski,33,0.8092878081815167
118.0,atekp76660,Jak będzie powtórka to Hołownia kontra Nawrocki niestety. I na szczęście Hołownia to wygra.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Jak będzie powtórka to Hołownia kontra Nawrocki niestety. I na szczęście Hołownia to wygra.,Jak będzie powtórka to Hołownia kontra Nawrocki niestety. I na szczęście Hołownia to wygra.,,,,0,0,0,91,14,0.0,niski,33,1.0
920.0,profesorpingwin,"Wszystkie memiki w tym wątku to efekt mojej ciężkiej, kronikarskiej pracy, mającej na celu ogarnięcie ludzkim rozumiem fenomenu Aleksandry Wiśniewskiej. Jeżeli cenisz ten wkład w światową naukę, podaj ten wątek dalej i zaobserwuj mój profil!",0,21,8,29,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Wszystkie memiki w tym wątku to efekt mojej ciężkiej, kronikarskiej pracy, mającej na celu ogarnięcie ludzkim rozumiem fenomenu Aleksandry Wiśniewskiej. Jeżeli cenisz ten wkład w światową naukę, podaj ten wątek dalej i zaobserwuj mój profil!","Wszystkie memiki w tym wątku to efekt mojej ciężkiej, kronikarskiej pracy, mającej na celu ogarnięcie ludzkim rozumiem fenomenu Aleksandry Wiśniewskiej. Jeżeli cenisz ten wkład w światową naukę, podaj ten wątek dalej i zaobserwuj mój profil!",,,,0,0,0,241,35,2.62,średni,33,0.7116914318884375
993.0,damian00962441,"Policzono by jeszcze raz i by wygrał Nawrocki, potem jeszcze raz i Trzaskowski i tak wkoło 😉",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Policzono by jeszcze raz i by wygrał Nawrocki, potem jeszcze raz i Trzaskowski i tak wkoło 😉","Policzono by jeszcze raz i by wygrał Nawrocki, potem jeszcze raz i Trzaskowski i tak wkoło 😉",,,,0,0,0,92,17,0.0,niski,33,1.0
267.0,dariuszkmi33615,Trzaskowski miał wygrać z 15 % poparciem wyższym niż Nawrocki TAKA PRAWDA🇵🇱🇵🇱🇵🇱,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Trzaskowski miał wygrać z 15 % poparciem wyższym niż Nawrocki TAKA PRAWDA🇵🇱🇵🇱🇵🇱,Trzaskowski miał wygrać z 15 % poparciem wyższym niż Nawrocki TAKA PRAWDA🇵🇱🇵🇱🇵🇱,,,,0,0,0,79,12,0.0,niski,33,0.978966940780468
457.0,marada68ord923,Giertych i reszta PO z góry zakłada że poszkodowany jest Trzaskowski. Tylko wstrętni PISowcy oszukiwali jak mogli! Dlatego wygrał ich kandydat Karol Nawrocki. Mają swoją narrację a na koniec okaże się że nie było żadnego fałszerstwa ale zatrują wygranym radość z ich sukcesu!,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Giertych i reszta PO z góry zakłada że poszkodowany jest Trzaskowski. Tylko wstrętni PISowcy oszukiwali jak mogli! Dlatego wygrał ich kandydat Karol Nawrocki. Mają swoją narrację a na koniec okaże się że nie było żadnego fałszerstwa ale zatrują wygranym radość z ich sukcesu!,Giertych i reszta PO z góry zakłada że poszkodowany jest Trzaskowski. Tylko wstrętni PISowcy oszukiwali jak mogli! Dlatego wygrał ich kandydat Karol Nawrocki. Mają swoją narrację a na koniec okaże się że nie było żadnego fałszerstwa ale zatrują wygranym radość z ich sukcesu!,,,,0,0,0,275,43,0.0,niski,33,0.6733364591030012
