id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
34.0,radio_republika,#PrzeglądPrasyBezKompromisów | Gazeta Wyborcza szaleje z oszustwami wyborczymi 🎧 piped.video/watch?v=s_9ClS… #RadioRepublika #Radio #Republika #TVRepublika #DomWolnegoSłowa #WłączPrawdę #PrzeglądPrasy #GazetaWyborcza #Wybory #Nawrocki #Trzaskowski,0,5,1,6,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,PrzeglądPrasyBezKompromisów | Gazeta Wyborcza szaleje z oszustwami wyborczymi 🎧 piped.video/watch?v=s_9ClS… RadioRepublika Radio Republika TVRepublika DomWolnegoSłowa WłączPrawdę PrzeglądPrasy GazetaWyborcza Wybory Nawrocki Trzaskowski,| Gazeta Wyborcza szaleje z oszustwami wyborczymi 🎧 piped.video/watch?v=s_9ClS…,,#PrzeglądPrasyBezKompromisów|#RadioRepublika|#Radio|#Republika|#TVRepublika|#DomWolnegoSłowa|#WłączPrawdę|#PrzeglądPrasy|#GazetaWyborcza|#Wybory|#Nawrocki|#Trzaskowski,,0,12,0,235,21,5.0,średni,35,0.6132656562704185
275.0,just_wiktor,"Łapcie, szkolenie organizowane w budynku Stowarzyszenia Dziennikarzy Polskich, Foksal 3/5. Bezpłatnie, w celach społecznych. Jedno szkolenie w sali BHP, teraz to... @Morgenstern616 piped.video/watch?v=HDTWLkyF…",0,6,1,7,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Łapcie, szkolenie organizowane w budynku Stowarzyszenia Dziennikarzy Polskich, Foksal 3/5. Bezpłatnie, w celach społecznych. Jedno szkolenie w sali BHP, teraz to... piped.video/watch?v=HDTWLkyF…","Łapcie, szkolenie organizowane w budynku Stowarzyszenia Dziennikarzy Polskich, Foksal 3/5. Bezpłatnie, w celach społecznych. Jedno szkolenie w sali BHP, teraz to... piped.video/watch?v=HDTWLkyF…",@Morgenstern616,,,1,0,0,194,22,6.0,średni,35,0.4523776707440532
27.0,gregorymarut,piped.video/-1t4Dz0vQjo?si=ss3i… Z dedykacją dla ministra Bodnara i jego rodaków. Aby Karol Nawrocki był takim współczesnym Kniaziem Jaremą.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,piped.video/-1t4Dz0vQjo?si=ss3i… Z dedykacją dla ministra Bodnara i jego rodaków. Aby Karol Nawrocki był takim współczesnym Kniaziem Jaremą.,piped.video/-1t4Dz0vQjo?si=ss3i… Z dedykacją dla ministra Bodnara i jego rodaków. Aby Karol Nawrocki był takim współczesnym Kniaziem Jaremą.,,,,0,0,0,140,17,0.0,niski,35,0.5352988663836833
29.0,rafalbochenek,Dziennikarze pytają mnie dlaczego nie zostałem na sali posłuchać Tuska... ❗️Tusk przypisuje sobie program 800+🤭🫣❗️ Właśnie dlatego mnie tam nie ma ... #KłamstwaTuska #TuskDoDymisji,4,35,38,77,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Dziennikarze pytają mnie dlaczego nie zostałem na sali posłuchać Tuska... ❗️Tusk przypisuje sobie program 800+🤭🫣❗️ Właśnie dlatego mnie tam nie ma ... KłamstwaTuska TuskDoDymisji,Dziennikarze pytają mnie dlaczego nie zostałem na sali posłuchać Tuska... ❗️Tusk przypisuje sobie program 800+🤭🫣❗️ Właśnie dlatego mnie tam nie ma ...,,#KłamstwaTuska|#TuskDoDymisji,,0,2,0,178,24,0.92,wysoki,35,0.6696888871407879
13.0,falkow2waldemar,CZARNEK JUŻ GROZI!!! CZY NAWROCKI ODWIEDZI GUANTANAMO? SZOK!!! UKRAINA B... piped.video/EVcyKxWbIGA?si=MPbQ… przez @YouTube,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,CZARNEK JUŻ GROZI!!! CZY NAWROCKI ODWIEDZI GUANTANAMO? SZOK!!! UKRAINA B... piped.video/EVcyKxWbIGA?si=MPbQ… przez,CZARNEK JUŻ GROZI!!! CZY NAWROCKI ODWIEDZI GUANTANAMO? SZOK!!! UKRAINA B... piped.video/EVcyKxWbIGA?si=MPbQ… przez,@YouTube,,,1,0,0,114,12,0.0,niski,35,0.5653084417965025
26.0,pawelchojecki,Nawrocki - klęska moralna Narodu! #PomyślDziś odc. 2243 #nawrocki #naród #wybory2025 👉 Obejrzyj całość: piped.video/jwxzWa8BLQ8 A więcej materiałów na kanale YouTube #IPPTV!,1,20,5,26,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,Nawrocki - klęska moralna Narodu! PomyślDziś odc. 2243 nawrocki naród wybory2025 👉 Obejrzyj całość: piped.video/jwxzWa8BLQ8 A więcej materiałów na kanale YouTube IPPTV!,Nawrocki - klęska moralna Narodu! odc. 2243 👉 Obejrzyj całość: piped.video/jwxzWa8BLQ8 A więcej materiałów na kanale YouTube !,,#PomyślDziś|#nawrocki|#naród|#wybory2025|#IPPTV,,0,5,0,168,22,4.0,średni,35,0.3151641556741104
5.0,radio_republika,#GośćPoranka | Giertych szaleje z fałszerstwami wyborów. Możdżonek: wybory wygrał uczciwie Nawrocki | @MarcinMozdzonek 🎧 piped.video/watch?v=Gjs_K-… #RadioRepublika #Radio #Republika #TVRepublika #DomWolnegoSłowa #WłączPrawdę #MarcinMożdżonek #Giertych #Wybory #Nawrocki,0,18,4,22,18-06-25,2025-06-18,2025.0,6.0,18.0,0.0,GośćPoranka | Giertych szaleje z fałszerstwami wyborów. Możdżonek: wybory wygrał uczciwie Nawrocki | 🎧 piped.video/watch?v=Gjs_K-… RadioRepublika Radio Republika TVRepublika DomWolnegoSłowa WłączPrawdę MarcinMożdżonek Giertych Wybory Nawrocki,| Giertych szaleje z fałszerstwami wyborów. Możdżonek: wybory wygrał uczciwie Nawrocki | 🎧 piped.video/watch?v=Gjs_K-…,@MarcinMozdzonek,#GośćPoranka|#RadioRepublika|#Radio|#Republika|#TVRepublika|#DomWolnegoSłowa|#WłączPrawdę|#MarcinMożdżonek|#Giertych|#Wybory|#Nawrocki,,1,11,0,242,25,4.5,średni,35,0.3662715313662994
402.0,jakub_moroz,Zapraszam na premierę: Karol Nawrocki i ludowa historia Polski: piped.video/watch?v=5aUn_NFa…,2,2,0,4,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,Zapraszam na premierę: Karol Nawrocki i ludowa historia Polski: piped.video/watch?v=5aUn_NFa…,Zapraszam na premierę: Karol Nawrocki i ludowa historia Polski: piped.video/watch?v=5aUn_NFa…,,,,0,0,0,93,10,2.0,średni,35,1.0
2.0,amatysiak36181,"Miller punktuje Tusk-Nawrocki show. Tusk gra w chaos, Kaczyński w szachy? piped.video/tuPktVEKG5Y?si=741Z… via @YouTube",0,1,0,1,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"Miller punktuje Tusk-Nawrocki show. Tusk gra w chaos, Kaczyński w szachy? piped.video/tuPktVEKG5Y?si=741Z… via","Miller punktuje Tusk-Nawrocki show. Tusk gra w chaos, Kaczyński w szachy? piped.video/tuPktVEKG5Y?si=741Z… via",@YouTube,,,1,0,0,110,13,1.0,średni,35,1.0
339.0,tygryskowa_pani,"Dziennikarstwo polskie: o 21 godzinie wygrywa Trzaskowski i się cieszy - media kpią, że głupia reakcja na exit poll. O tej godzinie przegrywający Nawrocki zapowiada, że w nocy to on wygra - w mediach ani jednego pytania ""skąd ta pewność?""",5,186,57,248,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"Dziennikarstwo polskie: o 21 godzinie wygrywa Trzaskowski i się cieszy - media kpią, że głupia reakcja na exit poll. O tej godzinie przegrywający Nawrocki zapowiada, że w nocy to on wygra - w mediach ani jednego pytania ""skąd ta pewność?""","Dziennikarstwo polskie: o 21 godzinie wygrywa Trzaskowski i się cieszy - media kpią, że głupia reakcja na exit poll. O tej godzinie przegrywający Nawrocki zapowiada, że w nocy to on wygra - w mediach ani jednego pytania ""skąd ta pewność?""",,,,0,0,0,238,40,3.26,wysoki,35,0.3079517754371031
