id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
435.0,dariusz45309181,"„Biedaki, lachmaniarze od wypłaty do wypłaty to wy przegraliście, nie Trzaskowski. Nawrocki was omamił, a Rafał miał plan na lepszą Polskę!” 😎 #PrzeliczmyGlosy #SolidarniZTuskiem",8,159,111,278,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"„Biedaki, lachmaniarze od wypłaty do wypłaty to wy przegraliście, nie Trzaskowski. Nawrocki was omamił, a Rafał miał plan na lepszą Polskę!” 😎 PrzeliczmyGlosy SolidarniZTuskiem","„Biedaki, lachmaniarze od wypłaty do wypłaty to wy przegraliście, nie Trzaskowski. Nawrocki was omamił, a Rafał miał plan na lepszą Polskę!” 😎",,#PrzeliczmyGlosy|#SolidarniZTuskiem,,0,2,0,176,24,1.43,wysoki,36,0.6049171562150315
981.0,patriotka1982,SFALSZOWANA ZOSTALA 1 TURA ZEBY NA 100% WYGRAL TRZASKOWSKI I ZEBY DOSTAL SIE DO 2 TURY A REALNIE TRZASKOWSKIEGO NIE POWINNO BYC W DRUGIEJ TURZE TYLKO NAWROCKI ORAZ MENTZEN I BRAUN,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,SFALSZOWANA ZOSTALA 1 TURA ZEBY NA 100% WYGRAL TRZASKOWSKI I ZEBY DOSTAL SIE DO 2 TURY A REALNIE TRZASKOWSKIEGO NIE POWINNO BYC W DRUGIEJ TURZE TYLKO NAWROCKI ORAZ MENTZEN I BRAUN,SFALSZOWANA ZOSTALA 1 TURA ZEBY NA 100% WYGRAL TRZASKOWSKI I ZEBY DOSTAL SIE DO 2 TURY A REALNIE TRZASKOWSKIEGO NIE POWINNO BYC W DRUGIEJ TURZE TYLKO NAWROCKI ORAZ MENTZEN I BRAUN,,,,0,0,0,179,31,0.0,niski,36,0.7596156231348568
188.0,robert_kosiorek,PKN ORLEN➡️ 61 ZŁ?👇 BARDZO ŁADNY KLIN! ZASIĘG 61 ZŁ NIE CHCĘ SIĘ BAWIĆ W PROROKA ALE WYKRESY SPÓŁEK Z WIG20 I SAMEGO INDEKSU WYGLĄDAJĄ TAK JAKBY WYBORY MIAŁ WYGRAĆ KAROL NAWROCKI ALBO WYBORY TO NOTHINGBURGER I NADCHODZI CZARNY ŁABĘDŹ,0,3,2,5,29-05-25,2025-05-29,2025.0,5.0,29.0,0.0,PKN ORLEN➡️ 61 ZŁ?👇 BARDZO ŁADNY KLIN! ZASIĘG 61 ZŁ NIE CHCĘ SIĘ BAWIĆ W PROROKA ALE WYKRESY SPÓŁEK Z WIG20 I SAMEGO INDEKSU WYGLĄDAJĄ TAK JAKBY WYBORY MIAŁ WYGRAĆ KAROL NAWROCKI ALBO WYBORY TO NOTHINGBURGER I NADCHODZI CZARNY ŁABĘDŹ,PKN ORLEN➡️ 61 ZŁ?👇 BARDZO ŁADNY KLIN! ZASIĘG 61 ZŁ NIE CHCĘ SIĘ BAWIĆ W PROROKA ALE WYKRESY SPÓŁEK Z WIG20 I SAMEGO INDEKSU WYGLĄDAJĄ TAK JAKBY WYBORY MIAŁ WYGRAĆ KAROL NAWROCKI ALBO WYBORY TO NOTHINGBURGER I NADCHODZI CZARNY ŁABĘDŹ,,,,0,0,0,233,40,1.5,średni,36,0.8574942864623802
17.0,meta_aron,Nawrocki Karol Tadeusz Prezydent Rzeczypospolitej Polskiej.,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Nawrocki Karol Tadeusz Prezydent Rzeczypospolitej Polskiej.,Nawrocki Karol Tadeusz Prezydent Rzeczypospolitej Polskiej.,,,,0,0,0,59,6,0.0,niski,36,0.8524141881714954
172.0,janziegler11,"Soudružko Konečná, Vidláku, prezident Nawrocki by si o vás neopřel ani kolo! medium.seznam.cz/clanek/jan-…",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Soudružko Konečná, Vidláku, prezident Nawrocki by si o vás neopřel ani kolo! medium.seznam.cz/clanek/jan-…","Soudružko Konečná, Vidláku, prezident Nawrocki by si o vás neopřel ani kolo! medium.seznam.cz/clanek/jan-…",,,,0,0,0,106,13,0.0,niski,36,1.0
886.0,krzysztof226462,"Zapamiętaj GuPi tomciu ❗❗❗😉😲 DOKTOR KAROL NAWROCKI ZOSTAŁ PREZYDENTEM NAJJAŚNIEJSZEJ RZECZYPOSPOLITEJ POLSKIEJ ❗🇵🇱❗🇵🇱❗🇵🇱❗🇵🇱❗🇵🇱😏🥳😍 I NIECH NIKT NIE WAŻY SIĘ TEMU ZAPRZECZYĆ , BO ,, gałązki "" POŁAMIEMY ❗❗❗😇🇵🇱🇵🇱🇵🇱🇵🇱🙂✌️ AMEN 🙏🙏",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Zapamiętaj GuPi tomciu ❗❗❗😉😲 DOKTOR KAROL NAWROCKI ZOSTAŁ PREZYDENTEM NAJJAŚNIEJSZEJ RZECZYPOSPOLITEJ POLSKIEJ ❗🇵🇱❗🇵🇱❗🇵🇱❗🇵🇱❗🇵🇱😏🥳😍 I NIECH NIKT NIE WAŻY SIĘ TEMU ZAPRZECZYĆ , BO ,, gałązki "" POŁAMIEMY ❗❗❗😇🇵🇱🇵🇱🇵🇱🇵🇱🙂✌️ AMEN 🙏🙏","Zapamiętaj GuPi tomciu ❗❗❗😉😲 DOKTOR KAROL NAWROCKI ZOSTAŁ PREZYDENTEM NAJJAŚNIEJSZEJ RZECZYPOSPOLITEJ POLSKIEJ ❗🇵🇱❗🇵🇱❗🇵🇱❗🇵🇱❗🇵🇱😏🥳😍 I NIECH NIKT NIE WAŻY SIĘ TEMU ZAPRZECZYĆ , BO ,, gałązki "" POŁAMIEMY ❗❗❗😇🇵🇱🇵🇱🇵🇱🇵🇱🙂✌️ AMEN 🙏🙏",,,,0,0,0,223,30,0.0,niski,36,0.7050882325037712
13.0,daria65578032,"OKW Nr 12 w Legnicy. Pierwsza tura wygrana przez Trzaskowskiego, w drugiej wygrywa Nawrocki. Przewodniczący od Nawrockiego, zastępca od Jakubiaka🙃",1,30,4,35,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"OKW Nr 12 w Legnicy. Pierwsza tura wygrana przez Trzaskowskiego, w drugiej wygrywa Nawrocki. Przewodniczący od Nawrockiego, zastępca od Jakubiaka🙃","OKW Nr 12 w Legnicy. Pierwsza tura wygrana przez Trzaskowskiego, w drugiej wygrywa Nawrocki. Przewodniczący od Nawrockiego, zastępca od Jakubiaka🙃",,,,0,0,0,146,20,7.5,wysoki,36,1.0
691.0,car_czarnowska,"Lepiej z cielakiem w błocie chlapać, niż za Gortatem bzdury sapać.😌 Niepozdrowienia dla Marcina Gortata — co ma siano w głowie, choć złota na klatach.🤡 #wybory #wieś #Nawrocki #Trzaskowski",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Lepiej z cielakiem w błocie chlapać, niż za Gortatem bzdury sapać.😌 Niepozdrowienia dla Marcina Gortata — co ma siano w głowie, choć złota na klatach.🤡 wybory wieś Nawrocki Trzaskowski","Lepiej z cielakiem w błocie chlapać, niż za Gortatem bzdury sapać.😌 Niepozdrowienia dla Marcina Gortata — co ma siano w głowie, choć złota na klatach.🤡",,#wybory|#wieś|#Nawrocki|#Trzaskowski,,0,4,0,184,29,0.0,niski,36,0.7596156231348568
724.0,karolpopieramy,"🚨 Okazuje się, ze informatorka Onetu- opiekunka Jerzego Ż. -Anna Kanigowska ma na koncie nie jeden wyrok, a więcej i figuruje jako karana ‼️Siedziała w więzieniu- za oszustwa i posługiwanie się sfałszowanymi dokumentami ‼️ To kolejny po Murańskim „autorytet” tej władzy. Wstyd!",1,57,5,63,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"🚨 Okazuje się, ze informatorka Onetu- opiekunka Jerzego Ż. -Anna Kanigowska ma na koncie nie jeden wyrok, a więcej i figuruje jako karana ‼️Siedziała w więzieniu- za oszustwa i posługiwanie się sfałszowanymi dokumentami ‼️ To kolejny po Murańskim „autorytet” tej władzy. Wstyd!","🚨 Okazuje się, ze informatorka Onetu- opiekunka Jerzego Ż. -Anna Kanigowska ma na koncie nie jeden wyrok, a więcej i figuruje jako karana ‼️Siedziała w więzieniu- za oszustwa i posługiwanie się sfałszowanymi dokumentami ‼️ To kolejny po Murańskim „autorytet” tej władzy. Wstyd!",,,,0,0,0,277,42,11.4,wysoki,36,0.7339292103311049
326.0,robertgoldbaumx,"Wybory w Polsce. Pierwsza tura wygrana przez Trzaskowskiego, w drugiej wygrywa Nawrocki",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Wybory w Polsce. Pierwsza tura wygrana przez Trzaskowskiego, w drugiej wygrywa Nawrocki","Wybory w Polsce. Pierwsza tura wygrana przez Trzaskowskiego, w drugiej wygrywa Nawrocki",,,,0,0,0,87,12,0.0,niski,36,1.0
