id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
210.0,kamild91,PAN PREZYDENT KAROL NAWROCKI🇵🇱🇵🇱🇵🇱🇵🇱 ☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,PAN PREZYDENT KAROL NAWROCKI🇵🇱🇵🇱🇵🇱🇵🇱 ☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️,PAN PREZYDENT KAROL NAWROCKI🇵🇱🇵🇱🇵🇱🇵🇱 ☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️☝️,,,,0,0,0,69,5,0.0,niski,37,1.0
16.0,armia_janosika,🎻💥13.06 Toruń oraz 14.06 Kielce na koncertowej trasie Małej Armii Janosika🍀Przybywajcie!,2,59,2,63,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,🎻💥13.06 Toruń oraz 14.06 Kielce na koncertowej trasie Małej Armii Janosika🍀Przybywajcie!,🎻💥13.06 Toruń oraz 14.06 Kielce na koncertowej trasie Małej Armii Janosika🍀Przybywajcie!,,,,0,0,0,88,11,29.5,wysoki,37,0.8189867597631949
357.0,ulchurska,Brawo Karol Nawrocki💪💪💪❤️Chce przywrocic CPK do pierwotnej wersji!!!,0,44,0,44,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Brawo Karol Nawrocki💪💪💪❤️Chce przywrocic CPK do pierwotnej wersji!!!,Brawo Karol Nawrocki💪💪💪❤️Chce przywrocic CPK do pierwotnej wersji!!!,,,,0,0,0,68,8,44.0,wysoki,37,1.0
420.0,boskismak,Podobny do tego zboczonego debila z K13g co był dyrektorem szkoły☝️,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Podobny do tego zboczonego debila z K13g co był dyrektorem szkoły☝️,Podobny do tego zboczonego debila z K13g co był dyrektorem szkoły☝️,,,,0,0,0,67,11,0.0,niski,37,0.9324831092975748
686.0,tulwinprzem,Jeszcze 54 dni Andrzeja Dudy i Wchodzi Pan Karol Nawrocki 💪 To jest kocur 👌,0,9,0,9,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Jeszcze 54 dni Andrzeja Dudy i Wchodzi Pan Karol Nawrocki 💪 To jest kocur 👌,Jeszcze 54 dni Andrzeja Dudy i Wchodzi Pan Karol Nawrocki 💪 To jest kocur 👌,,,,0,0,0,75,15,9.0,średni,37,0.879436895471121
960.0,2025_ewapolka,Szczęść Boże 🙏 ♥️ 🌹 🇵🇱 #PozdrawiamWas ♥️ 👋 😘,0,63,22,85,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,Szczęść Boże 🙏 ♥️ 🌹 🇵🇱 PozdrawiamWas ♥️ 👋 😘,Szczęść Boże 🙏 ♥️ 🌹 🇵🇱 ♥️ 👋 😘,,#PozdrawiamWas,,0,1,0,43,10,2.86,wysoki,37,1.0
1119.0,bogusaw70040688,"W tle, Hiacynty moje ukofane🤪",0,3,1,4,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,"W tle, Hiacynty moje ukofane🤪","W tle, Hiacynty moje ukofane🤪",,,,0,0,0,29,5,3.0,średni,37,1.0
181.0,malgorzatadomas,NARÓD WIE !!! WYGRAŁ NAWROCKI 💪🇵🇱❤,0,0,0,0,18-06-25,2025-06-18,2025.0,6.0,18.0,0.0,NARÓD WIE !!! WYGRAŁ NAWROCKI 💪🇵🇱❤,NARÓD WIE !!! WYGRAŁ NAWROCKI 💪🇵🇱❤,,,,0,0,0,34,6,0.0,niski,37,1.0
318.0,waldema51723109,TAK TRZYMAJ PANIE KAROLU NAWROCKI 🫡🇵🇱,4,28,1,33,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,TAK TRZYMAJ PANIE KAROLU NAWROCKI 🫡🇵🇱,TAK TRZYMAJ PANIE KAROLU NAWROCKI 🫡🇵🇱,,,,0,0,0,37,6,28.0,średni,37,1.0
4.0,annalipiec19,Karol Nawrocki PREZYDENTEM POLSKI 🇵🇱🇵🇱🇵🇱🇵🇱,0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,Karol Nawrocki PREZYDENTEM POLSKI 🇵🇱🇵🇱🇵🇱🇵🇱,Karol Nawrocki PREZYDENTEM POLSKI 🇵🇱🇵🇱🇵🇱🇵🇱,,,,0,0,0,42,5,0.0,niski,37,0.8333577913067389
27.0,annalipiec19,Karol Nawrocki PREZYDENTEM POLSKI 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,Karol Nawrocki PREZYDENTEM POLSKI 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,Karol Nawrocki PREZYDENTEM POLSKI 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,,,,0,0,0,44,5,0.0,niski,37,0.8212245619479033
371.0,jachcy,Pilne🔥 ➡️Karol Nawrocki nie ucałował dłoni Małgorzaty Kidawy-Błońskiej🤭🙃,0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,Pilne🔥 ➡️Karol Nawrocki nie ucałował dłoni Małgorzaty Kidawy-Błońskiej🤭🙃,Pilne🔥 ➡️Karol Nawrocki nie ucałował dłoni Małgorzaty Kidawy-Błońskiej🤭🙃,,,,0,0,0,72,8,0.0,niski,37,1.0
10.0,marek_kuna_,"Dobrej nocy‼️ A fotka tylko po to, żeby lewakom zagrać na nerwach... 😅😅😅💪",9,610,222,841,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"Dobrej nocy‼️ A fotka tylko po to, żeby lewakom zagrać na nerwach... 😅😅😅💪","Dobrej nocy‼️ A fotka tylko po to, żeby lewakom zagrać na nerwach... 😅😅😅💪",,,,0,0,0,73,13,2.75,wysoki,37,1.0
270.0,mateuszcpk,Kochani Prawi ‼️ Budujemy konto @Magdaa_K przy tym pokonujemy Bandę Ryżego Ciula 📷 Będę wdzięczny za pomoc i wsparcie! #PociągPrawych Nie zatrzymujemy się!,3,105,55,163,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,Kochani Prawi ‼️ Budujemy konto przy tym pokonujemy Bandę Ryżego Ciula 📷 Będę wdzięczny za pomoc i wsparcie! PociągPrawych Nie zatrzymujemy się!,Kochani Prawi ‼️ Budujemy konto przy tym pokonujemy Bandę Ryżego Ciula 📷 Będę wdzięczny za pomoc i wsparcie! Nie zatrzymujemy się!,@Magdaa_K,#PociągPrawych,,1,1,0,144,22,1.91,wysoki,37,1.0
147.0,jani40198,"Grzesiu ty to dopiero masz kota , ale w głowie 🤣😂🤣😂 Kiciaczku , nadzieja umiera ostatnia .... 🤣😂🤣😂 👊🇵🇱👊KAROL NAWROCKI PREZYDENTEM POLSKI👊🇵🇱👊 ps. Weź coś na uspokojenie i oddychaj głęboko , możesz też położyć sobie okład na zagotowaną głowę ,jednak to może nie pomóc 🤣",0,0,0,0,25-06-25,2025-06-25,2025.0,6.0,25.0,0.0,"Grzesiu ty to dopiero masz kota , ale w głowie 🤣😂🤣😂 Kiciaczku , nadzieja umiera ostatnia .... 🤣😂🤣😂 👊🇵🇱👊KAROL NAWROCKI PREZYDENTEM POLSKI👊🇵🇱👊 ps. Weź coś na uspokojenie i oddychaj głęboko , możesz też położyć sobie okład na zagotowaną głowę ,jednak to może nie pomóc 🤣","Grzesiu ty to dopiero masz kota , ale w głowie 🤣😂🤣😂 Kiciaczku , nadzieja umiera ostatnia .... 🤣😂🤣😂 👊🇵🇱👊KAROL NAWROCKI PREZYDENTEM POLSKI👊🇵🇱👊 ps. Weź coś na uspokojenie i oddychaj głęboko , możesz też położyć sobie okład na zagotowaną głowę ,jednak to może nie pomóc 🤣",,,,0,0,0,267,45,0.0,niski,37,1.0
451.0,agntwo1,"Nie przeszkadza. W końcu to nasze święto 🇵🇱 Karol Nawrocki nr 1, w centrum uwagi 🤗 Będzie pięknie 🥰🥰 #PrezydentRPKarolNawrocki",0,22,1,23,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,"Nie przeszkadza. W końcu to nasze święto 🇵🇱 Karol Nawrocki nr 1, w centrum uwagi 🤗 Będzie pięknie 🥰🥰 PrezydentRPKarolNawrocki","Nie przeszkadza. W końcu to nasze święto 🇵🇱 Karol Nawrocki nr 1, w centrum uwagi 🤗 Będzie pięknie 🥰🥰",,#PrezydentRPKarolNawrocki,,0,1,0,125,20,22.0,średni,37,1.0
89.0,lukaszmocsmaku,NAWROCKI Sigma 💪 Bodnar Skibidi toailet 😂,0,0,0,0,01-07-25,2025-07-01,2025.0,7.0,1.0,0.0,NAWROCKI Sigma 💪 Bodnar Skibidi toailet 😂,NAWROCKI Sigma 💪 Bodnar Skibidi toailet 😂,,,,0,0,0,41,7,0.0,niski,37,1.0
7.0,bipolska,🔴 Ważny komunikat jego współpracownika ➡️ businessinsider.com.pl/wiado…,0,0,0,0,02-07-25,2025-07-02,2025.0,7.0,2.0,0.0,🔴 Ważny komunikat jego współpracownika ➡️ .pl/wiado…,🔴 Ważny komunikat jego współpracownika ➡️ .pl/wiado…,,,businessinsider.com,0,0,1,52,7,0.0,niski,37,1.0
454.0,waldema51723109,PAN PREZYDENT KAROL NAWROCKI ‼️‼️‼️‼️‼️‼️-GŁOSOWAŁEM NA TEGO TWARDZIELA 🫡🫡🫡🫡🫡🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,0,55,20,75,30-07-25,2025-07-30,2025.0,7.0,30.0,0.0,PAN PREZYDENT KAROL NAWROCKI ‼️‼️‼️‼️‼️‼️-GŁOSOWAŁEM NA TEGO TWARDZIELA 🫡🫡🫡🫡🫡🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,PAN PREZYDENT KAROL NAWROCKI ‼️‼️‼️‼️‼️‼️-GŁOSOWAŁEM NA TEGO TWARDZIELA 🫡🫡🫡🫡🫡🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,,,,0,0,0,103,9,2.75,wysoki,37,1.0
15.0,lubiemaupy,PAN PREZYDENT RP DOKTOR KAROL NAWROCKI ‼️- powtórz debilu 😃,0,0,0,0,02-08-25,2025-08-02,2025.0,8.0,2.0,0.0,PAN PREZYDENT RP DOKTOR KAROL NAWROCKI ‼️- powtórz debilu 😃,PAN PREZYDENT RP DOKTOR KAROL NAWROCKI ‼️- powtórz debilu 😃,,,,0,0,0,59,10,0.0,niski,37,1.0
16.0,barbaratrabins1,"Kielce obowiązkowo będa , blisko swojego PREZYDENTA ✌️ Karol Nawrocki.🇵🇱🇵🇱🇵🇱🇵🇱",0,0,0,0,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,"Kielce obowiązkowo będa , blisko swojego PREZYDENTA ✌️ Karol Nawrocki.🇵🇱🇵🇱🇵🇱🇵🇱","Kielce obowiązkowo będa , blisko swojego PREZYDENTA ✌️ Karol Nawrocki.🇵🇱🇵🇱🇵🇱🇵🇱",,,,0,0,0,78,10,0.0,niski,37,1.0
9.0,marcin_wiklo,Odkrywamy karty‼️ @DanielNawrocki_ z programem w tv @wPolscepl 24 Witaj brachu na pokładzie‼️ #NawrockiWPolsce wpolityce.pl/media/736843-da…,2,23,3,28,04-08-25,2025-08-04,2025.0,8.0,4.0,0.0,Odkrywamy karty‼️ z programem w tv 24 Witaj brachu na pokładzie‼️ NawrockiWPolsce,Odkrywamy karty‼️ z programem w tv 24 Witaj brachu na pokładzie‼️,@DanielNawrocki_|@wPolscepl,#NawrockiWPolsce,wpolityce.pl/media/736843-da…,2,1,1,81,12,7.67,średni,37,1.0
