id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
10.0,fremdenlegionpl,Błogosławionego dnia Polsko. W święto Zesłania Ducha Świętego szczególnie 🇵🇱 Nasz Prezydent - dr Karol Nawrocki 🥊,7,447,90,544,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Błogosławionego dnia Polsko. W święto Zesłania Ducha Świętego szczególnie 🇵🇱 Nasz Prezydent - dr Karol Nawrocki 🥊,Błogosławionego dnia Polsko. W święto Zesłania Ducha Świętego szczególnie 🇵🇱 Nasz Prezydent - dr Karol Nawrocki 🥊,,,,0,0,0,113,17,4.97,wysoki,38,1.0
12.0,prezydentkarol,Karol Nawrocki mówi: Po pierwsze Polska! Po pierwsze Polacy! 🇵🇱,3,97,21,121,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Karol Nawrocki mówi: Po pierwsze Polska! Po pierwsze Polacy! 🇵🇱,Karol Nawrocki mówi: Po pierwsze Polska! Po pierwsze Polacy! 🇵🇱,,,,0,0,0,63,10,4.62,wysoki,38,1.0
2.0,krzyszt25104018,".Należy, dziękować za powrót do normalności, spadek inflacji przyspieszenie , gospodarki zwiększenie wydatków na obronę Przywracanie praworządnośći , okaże ,się czy prezydent Nawrocki, będzie poierał ,rozwój Polski,",0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,".Należy, dziękować za powrót do normalności, spadek inflacji przyspieszenie , gospodarki zwiększenie wydatków na obronę Przywracanie praworządnośći , okaże ,się czy prezydent Nawrocki, będzie poierał ,rozwój Polski,",".Należy, dziękować za powrót do normalności, spadek inflacji przyspieszenie , gospodarki zwiększenie wydatków na obronę Przywracanie praworządnośći , okaże ,się czy prezydent Nawrocki, będzie poierał ,rozwój Polski,",,,,0,0,0,215,27,0.0,niski,38,1.0
9.0,newsmax,"""[New Polish President Karol Nawrocki] will be a balanced counterweight to all the leftist elite in Poland."" — Mateusz Morawiecki, former Polish prime minister, sees a new conservative era starting for Poland @MorawieckiM @RitaCosby",10,328,48,386,07-06-25,2025-06-07,2025.0,6.0,7.0,0.0,"""[New Polish President Karol Nawrocki] will be a balanced counterweight to all the leftist elite in Poland."" — Mateusz Morawiecki, former Polish prime minister, sees a new conservative era starting for Poland","""[New Polish President Karol Nawrocki] will be a balanced counterweight to all the leftist elite in Poland."" — Mateusz Morawiecki, former Polish prime minister, sees a new conservative era starting for Poland",@MorawieckiM|@RitaCosby,,,2,0,0,208,32,6.83,wysoki,38,1.0
16.0,adamnawrocki3,Ile jeszcze ten pajac kulesza i jego kumpel probierz będą zarządzać polska piłką?,0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Ile jeszcze ten pajac kulesza i jego kumpel probierz będą zarządzać polska piłką?,Ile jeszcze ten pajac kulesza i jego kumpel probierz będą zarządzać polska piłką?,,,,0,0,0,81,13,0.0,niski,38,1.0
161.0,andrzejzmiasta,Strona amerykańska potwierdza kto załatwił chipy dla Polski💪👏‼️ Nie załatwił tego na pewno Karol Nawrocki‼️😡,10,200,4,214,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Strona amerykańska potwierdza kto załatwił chipy dla Polski💪👏‼️ Nie załatwił tego na pewno Karol Nawrocki‼️😡,Strona amerykańska potwierdza kto załatwił chipy dla Polski💪👏‼️ Nie załatwił tego na pewno Karol Nawrocki‼️😡,,,,0,0,0,108,15,50.0,wysoki,38,0.8752771670111958
667.0,b34ev,Czy dla obecnej Polski ma jakiekolwiek znaczenie kto będzie prezydentem to tylko kwestia prestiżu i animozji pomiędzy nawrockim a trzaskowski. Nawrocki będzie prawdziwym prezydentem czy też jego główną zaletą jest to że nie jest trzaskowskim już?,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Czy dla obecnej Polski ma jakiekolwiek znaczenie kto będzie prezydentem to tylko kwestia prestiżu i animozji pomiędzy nawrockim a trzaskowski. Nawrocki będzie prawdziwym prezydentem czy też jego główną zaletą jest to że nie jest trzaskowskim już?,Czy dla obecnej Polski ma jakiekolwiek znaczenie kto będzie prezydentem to tylko kwestia prestiżu i animozji pomiędzy nawrockim a trzaskowski. Nawrocki będzie prawdziwym prezydentem czy też jego główną zaletą jest to że nie jest trzaskowskim już?,,,,0,0,0,246,36,0.0,niski,38,1.0
727.0,bob57pl,"🆘🆘🆘FUNDACJA ""ŚWIAT WRAŻLIWY"" zlokalizowana w Gdańsku przy ulicy Zakopiańskiej 32B. W Radzie Fundacji zasiada KAROL Nawrocki ‼️ Mieszkanie, które zagrabili Nawroccy to Zakopiańska 26C. Przekłada z jednej kieszeni do drugiej, warto prześwietlić tę fundację‼️🤡",45,573,42,660,07-05-25,2025-05-07,2025.0,5.0,7.0,0.0,"🆘🆘🆘FUNDACJA ""ŚWIAT WRAŻLIWY"" zlokalizowana w Gdańsku przy ulicy Zakopiańskiej 32B. W Radzie Fundacji zasiada KAROL Nawrocki ‼️ Mieszkanie, które zagrabili Nawroccy to Zakopiańska 26C. Przekłada z jednej kieszeni do drugiej, warto prześwietlić tę fundację‼️🤡","🆘🆘🆘FUNDACJA ""ŚWIAT WRAŻLIWY"" zlokalizowana w Gdańsku przy ulicy Zakopiańskiej 32B. W Radzie Fundacji zasiada KAROL Nawrocki ‼️ Mieszkanie, które zagrabili Nawroccy to Zakopiańska 26C. Przekłada z jednej kieszeni do drugiej, warto prześwietlić tę fundację‼️🤡",,,,0,0,0,257,34,13.64,wysoki,38,1.0
7.0,dariusz_lasocki,Wszystkie oczy na @PanstwKomWyb #PKW #KBW. 🥊Nie pozwólmy ukraść zwyciestwa @NawrockiKn🏅 🥊Nie pozwólmy na #wariant_rumuński🥊 🥊Nie pozwólmy podpalić Polski.,0,13,2,15,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Wszystkie oczy na PKW KBW. 🥊Nie pozwólmy ukraść zwyciestwa 🏅 🥊Nie pozwólmy na wariant_rumuński🥊 🥊Nie pozwólmy podpalić Polski.,Wszystkie oczy na . 🥊Nie pozwólmy ukraść zwyciestwa 🏅 🥊Nie pozwólmy na 🥊 🥊Nie pozwólmy podpalić Polski.,@PanstwKomWyb|@NawrockiKn,#PKW|#KBW|#wariant_rumuński,,2,3,0,126,18,6.5,średni,38,1.0
177.0,marek1784427,Jestem pewny że nowy prezydent Karol Nawrocki to najlepsze co mogło spotkać Polskę👊🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,9,540,224,773,07-06-25,2025-06-07,2025.0,6.0,7.0,0.0,Jestem pewny że nowy prezydent Karol Nawrocki to najlepsze co mogło spotkać Polskę👊🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,Jestem pewny że nowy prezydent Karol Nawrocki to najlepsze co mogło spotkać Polskę👊🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,,,,0,0,0,119,13,2.41,wysoki,38,1.0
