id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
60.0,kennobiwan,"Premierze @donaldtusk @PremierRP jeśli nie wyjaśnicie fałszerstw wyborczych, to może być koniec demokracji w Polsce. Masa ludzi z wściekłości i bezsilności deklaruje, że już nigdy nie pójdzie na wybory, bo po co? Jeśli oni nie pójdą, to wiadomo co potem! piped.video/watch?v=G9PKLdRt…",2,24,2,28,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Premierze jeśli nie wyjaśnicie fałszerstw wyborczych, to może być koniec demokracji w Polsce. Masa ludzi z wściekłości i bezsilności deklaruje, że już nigdy nie pójdzie na wybory, bo po co? Jeśli oni nie pójdą, to wiadomo co potem! piped.video/watch?v=G9PKLdRt…","Premierze jeśli nie wyjaśnicie fałszerstw wyborczych, to może być koniec demokracji w Polsce. Masa ludzi z wściekłości i bezsilności deklaruje, że już nigdy nie pójdzie na wybory, bo po co? Jeśli oni nie pójdą, to wiadomo co potem! piped.video/watch?v=G9PKLdRt…",@donaldtusk|@PremierRP,,,2,0,0,261,39,12.0,średni,39,0.9435358386935432
623.0,mariapasternak4,"Wyście te wybory przegrali. Judzicie, żeby skłócać społeczeństwo. To się wam nie uda. Polska dla Polaków. Nawrocki nie pozwoli żeby UE i Niemcy zabrali nam suwerenność!!",0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Wyście te wybory przegrali. Judzicie, żeby skłócać społeczeństwo. To się wam nie uda. Polska dla Polaków. Nawrocki nie pozwoli żeby UE i Niemcy zabrali nam suwerenność!!","Wyście te wybory przegrali. Judzicie, żeby skłócać społeczeństwo. To się wam nie uda. Polska dla Polaków. Nawrocki nie pozwoli żeby UE i Niemcy zabrali nam suwerenność!!",,,,0,0,0,169,26,1.0,średni,39,0.5101283005528451
109.0,20kwietnia1970,"Przeliczenie nic nie da, jeśli karty są podrobione albo zniszczone. Ile komisji używało apkę mateckiego? Ile kart wyborczych poszło w niszczarkę lub został tam zakreślony Nawrocki? Tylko powtórzenie wyborów. Przypomnę, Marcinkiewicz, to osoba która złamała Konstytucję RP, dyskryminując Polonię, ograniczając nam prawa wyborcze o połowę.",0,30,13,43,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Przeliczenie nic nie da, jeśli karty są podrobione albo zniszczone. Ile komisji używało apkę mateckiego? Ile kart wyborczych poszło w niszczarkę lub został tam zakreślony Nawrocki? Tylko powtórzenie wyborów. Przypomnę, Marcinkiewicz, to osoba która złamała Konstytucję RP, dyskryminując Polonię, ograniczając nam prawa wyborcze o połowę.","Przeliczenie nic nie da, jeśli karty są podrobione albo zniszczone. Ile komisji używało apkę mateckiego? Ile kart wyborczych poszło w niszczarkę lub został tam zakreślony Nawrocki? Tylko powtórzenie wyborów. Przypomnę, Marcinkiewicz, to osoba która złamała Konstytucję RP, dyskryminując Polonię, ograniczając nam prawa wyborcze o połowę.",,,,0,0,0,337,45,2.31,wysoki,39,0.6417671903601644
2.0,madameclaudine2,"Co z nami nie tak, że pozwalamy takim komunistycznym wieprzom rządzić Polską?!",1,123,32,156,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Co z nami nie tak, że pozwalamy takim komunistycznym wieprzom rządzić Polską?!","Co z nami nie tak, że pozwalamy takim komunistycznym wieprzom rządzić Polską?!",,,,0,0,0,78,12,3.84,wysoki,39,0.4593481200799605
9.0,szykom89,Politycy opozycji z @pisorgpl sfałszowali wybory prezydenckie i sami (wpisem @waldemar_buda) się do tego przyznają przed Polakami. No niebywały skandal międzynarodowy! Wyniki nie są przyjęte zatem. Nie mamy prezydenta. Tyle. #Wybory2025 #nawrocki #WyboryPrezydenckie2025 #PiS,0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Politycy opozycji z sfałszowali wybory prezydenckie i sami (wpisem ) się do tego przyznają przed Polakami. No niebywały skandal międzynarodowy! Wyniki nie są przyjęte zatem. Nie mamy prezydenta. Tyle. Wybory2025 nawrocki WyboryPrezydenckie2025 PiS,Politycy opozycji z sfałszowali wybory prezydenckie i sami (wpisem ) się do tego przyznają przed Polakami. No niebywały skandal międzynarodowy! Wyniki nie są przyjęte zatem. Nie mamy prezydenta. Tyle.,@pisorgpl|@waldemar_buda,#Wybory2025|#nawrocki|#WyboryPrezydenckie2025|#PiS,,2,4,0,247,33,1.0,średni,39,0.7783631194330906
19.0,joannapeugeot20,"Głosowałam za lepszą Polską, chcę mieć pewność, że mój głos nie został przypisany komuś innemu lub dostawiono krzyżyk. Przy następnych wyborach nie chcę mieć dylematu - iść czy nie iść na wybory. Nawrocki to nie osłabi Polski? #PrzeliczmyGłosy #Siódemka",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Głosowałam za lepszą Polską, chcę mieć pewność, że mój głos nie został przypisany komuś innemu lub dostawiono krzyżyk. Przy następnych wyborach nie chcę mieć dylematu - iść czy nie iść na wybory. Nawrocki to nie osłabi Polski? PrzeliczmyGłosy Siódemka","Głosowałam za lepszą Polską, chcę mieć pewność, że mój głos nie został przypisany komuś innemu lub dostawiono krzyżyk. Przy następnych wyborach nie chcę mieć dylematu - iść czy nie iść na wybory. Nawrocki to nie osłabi Polski?",,#PrzeliczmyGłosy|#Siódemka,,0,2,0,251,39,0.0,niski,39,0.7777288413839332
5.0,se_pl,Czy wybory prezydenckie w Polsce powinny zostać powtórzone? #Wybory2025 #WyboryPrezydenckie #WyboryPrezydenckie2025 #wybory #Trzaskowski #Nawrocki,9,395,45,449,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Czy wybory prezydenckie w Polsce powinny zostać powtórzone? Wybory2025 WyboryPrezydenckie WyboryPrezydenckie2025 wybory Trzaskowski Nawrocki,Czy wybory prezydenckie w Polsce powinny zostać powtórzone?,,#Wybory2025|#WyboryPrezydenckie|#WyboryPrezydenckie2025|#wybory|#Trzaskowski|#Nawrocki,,0,6,0,140,14,8.78,wysoki,39,0.8356375321203721
425.0,bazikradek,"Najwyższa pora zrozumieć lenie z @Platforma_org! Wy nie przegraliście kolejnego ""stołka"" dla waszego partyjnego kolegi. Wy przegraliście oczekiwania, marzenia, kierunek zmian, stosunek do Polski w świecie, szybkość rozwoju, etc, wielu milionów Polaków.",1,18,2,21,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Najwyższa pora zrozumieć lenie z ! Wy nie przegraliście kolejnego ""stołka"" dla waszego partyjnego kolegi. Wy przegraliście oczekiwania, marzenia, kierunek zmian, stosunek do Polski w świecie, szybkość rozwoju, etc, wielu milionów Polaków.","Najwyższa pora zrozumieć lenie z ! Wy nie przegraliście kolejnego ""stołka"" dla waszego partyjnego kolegi. Wy przegraliście oczekiwania, marzenia, kierunek zmian, stosunek do Polski w świecie, szybkość rozwoju, etc, wielu milionów Polaków.",@Platforma_org,,,1,0,0,238,32,9.0,średni,39,0.5237188985459768
489.0,lis_tomasz,"„Popierać i nie przeszkadzać”, mówił swym zwolenników Kaczyński. Ale taki stosunek do obywateli zdają się mieć u nas wszyscy politycy. Demokracja w ogóle byłaby super gdyby nie ci pieprzeni obywatele, którzy stale marudzą i czegoś chcą.",0,15,14,29,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"„Popierać i nie przeszkadzać”, mówił swym zwolenników Kaczyński. Ale taki stosunek do obywateli zdają się mieć u nas wszyscy politycy. Demokracja w ogóle byłaby super gdyby nie ci pieprzeni obywatele, którzy stale marudzą i czegoś chcą.","„Popierać i nie przeszkadzać”, mówił swym zwolenników Kaczyński. Ale taki stosunek do obywateli zdają się mieć u nas wszyscy politycy. Demokracja w ogóle byłaby super gdyby nie ci pieprzeni obywatele, którzy stale marudzą i czegoś chcą.",,,,0,0,0,236,36,1.07,średni,39,0.5394204991167136
906.0,igor000200,Wybory na Prezydenta Polski powtórzymy za 5 lat i znowu wygra Karol Nawrocki.,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Wybory na Prezydenta Polski powtórzymy za 5 lat i znowu wygra Karol Nawrocki.,Wybory na Prezydenta Polski powtórzymy za 5 lat i znowu wygra Karol Nawrocki.,,,,0,0,0,77,13,0.0,niski,39,0.8356375321203721
