id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
28.0,mateusz_pln,"Trzaskowskiego to Kiereński w warszawskim ratuszu ogrywa, a Trzaskowski ma posiedzenie rady miasta nie przychodzi. Zero sprawczości, o której tak pięknie mówił. Ani on, ani Nawrocki nie są dobrymi kandydatami na prezydenta",0,0,0,0,23-09-25,2025-09-23,2025.0,9.0,23.0,0.0,"Trzaskowskiego to Kiereński w warszawskim ratuszu ogrywa, a Trzaskowski ma posiedzenie rady miasta nie przychodzi. Zero sprawczości, o której tak pięknie mówił. Ani on, ani Nawrocki nie są dobrymi kandydatami na prezydenta","Trzaskowskiego to Kiereński w warszawskim ratuszu ogrywa, a Trzaskowski ma posiedzenie rady miasta nie przychodzi. Zero sprawczości, o której tak pięknie mówił. Ani on, ani Nawrocki nie są dobrymi kandydatami na prezydenta",,,,0,0,0,222,32,0.0,niski,42,1.0
359.0,rmf24pl,Rafał Trzaskowski premierem Polski? Zaskakująca koncepcja. rmf24.pl/raporty/raport-wybo…,26,23,208,257,"Jun 2, 2025 · 5:41 PM UTC",,,,,,Rafał Trzaskowski premierem Polski? Zaskakująca koncepcja.,Rafał Trzaskowski premierem Polski? Zaskakująca koncepcja.,,,rmf24.pl/raporty/raport-wybo…,0,0,1,58,6,0.11,wysoki,42,1.0
936.0,ludwik_i,"Niedziele w czerwcu 2025: Tydzień temu o tej porze przyszłym prezydentem Polski był Rafał Trzaskowski a pierwszą damą Gosia Dziś o tej porze kapitanem reprezentacji Polski jest Piotr Zieliński, a Robert Lewandowski został kibicem kadry. Czy to też się zmieni do rana?",0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Niedziele w czerwcu 2025: Tydzień temu o tej porze przyszłym prezydentem Polski był Rafał Trzaskowski a pierwszą damą Gosia Dziś o tej porze kapitanem reprezentacji Polski jest Piotr Zieliński, a Robert Lewandowski został kibicem kadry. Czy to też się zmieni do rana?","Niedziele w czerwcu 2025: Tydzień temu o tej porze przyszłym prezydentem Polski był Rafał Trzaskowski a pierwszą damą Gosia Dziś o tej porze kapitanem reprezentacji Polski jest Piotr Zieliński, a Robert Lewandowski został kibicem kadry. Czy to też się zmieni do rana?",,,,0,0,0,267,42,0.0,niski,42,0.9691035471920568
8.0,alfred09183933,"Trzaskowski za burtą, Lewandowski za burtą. Czy Polska zwariowała? Łajdactwo górą - niestety.",0,2,4,6,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Trzaskowski za burtą, Lewandowski za burtą. Czy Polska zwariowała? Łajdactwo górą - niestety.","Trzaskowski za burtą, Lewandowski za burtą. Czy Polska zwariowała? Łajdactwo górą - niestety.",,,,0,0,0,93,13,0.5,wysoki,42,1.0
600.0,jakdorobic,"🇵🇱 To już tydzień, przeżyjmy to wspólnie jeszcze raz. Ten wspaniały moment, gdy Rafał Trzaskowski zostaje ogłoszony Prezydentem RP, po czym składa ślubowanie dla narodu oraz oficjalnie ogłasza pierwszą damę. Gosia! Gosia! Wygra Cała Polska! Polska cała na Rafała! 🇵🇱 piped.video/live/kt5uA4oYFxk…",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"🇵🇱 To już tydzień, przeżyjmy to wspólnie jeszcze raz. Ten wspaniały moment, gdy Rafał Trzaskowski zostaje ogłoszony Prezydentem RP, po czym składa ślubowanie dla narodu oraz oficjalnie ogłasza pierwszą damę. Gosia! Gosia! Wygra Cała Polska! Polska cała na Rafała! 🇵🇱 piped.video/live/kt5uA4oYFxk…","🇵🇱 To już tydzień, przeżyjmy to wspólnie jeszcze raz. Ten wspaniały moment, gdy Rafał Trzaskowski zostaje ogłoszony Prezydentem RP, po czym składa ślubowanie dla narodu oraz oficjalnie ogłasza pierwszą damę. Gosia! Gosia! Wygra Cała Polska! Polska cała na Rafała! 🇵🇱 piped.video/live/kt5uA4oYFxk…",,,,0,0,0,296,41,0.0,niski,42,0.9456660896541564
716.0,wolnosco,"Na polityczne😉 Rafał Trzaskowski o tym, że nie jest już prezydentem dowiedział się z late pollu Tak się traktuje polskich bohaterów",0,2,12,14,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Na polityczne😉 Rafał Trzaskowski o tym, że nie jest już prezydentem dowiedział się z late pollu Tak się traktuje polskich bohaterów","Na polityczne😉 Rafał Trzaskowski o tym, że nie jest już prezydentem dowiedział się z late pollu Tak się traktuje polskich bohaterów",,,,0,0,0,131,21,0.17,wysoki,42,1.0
37.0,revolt4334,Jak wiemy Trzaskowski przegrał bo alfabetycznie miał dalszą pozycję na liście. Czy w ramach walki o to by Polska miała w końcu potężnego Prezydenta ma Pan w planach do 2030 zmianę nazwiska z Zandberg na Adrian?,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Jak wiemy Trzaskowski przegrał bo alfabetycznie miał dalszą pozycję na liście. Czy w ramach walki o to by Polska miała w końcu potężnego Prezydenta ma Pan w planach do 2030 zmianę nazwiska z Zandberg na Adrian?,Jak wiemy Trzaskowski przegrał bo alfabetycznie miał dalszą pozycję na liście. Czy w ramach walki o to by Polska miała w końcu potężnego Prezydenta ma Pan w planach do 2030 zmianę nazwiska z Zandberg na Adrian?,,,,0,0,0,210,36,0.0,niski,42,0.911511830340679
143.0,powiadamw,"📢 Przypominam, że Polacy wybrali na prezydenta człowieka, który w trakcie debaty w telewizji zagrał Barkę na harmonijce 🙏 Prawdziwy Polak i katolik, Trzaskowski tak nie potrafił.",3,71,19,93,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"📢 Przypominam, że Polacy wybrali na prezydenta człowieka, który w trakcie debaty w telewizji zagrał Barkę na harmonijce 🙏 Prawdziwy Polak i katolik, Trzaskowski tak nie potrafił.","📢 Przypominam, że Polacy wybrali na prezydenta człowieka, który w trakcie debaty w telewizji zagrał Barkę na harmonijce 🙏 Prawdziwy Polak i katolik, Trzaskowski tak nie potrafił.",,,,0,0,0,178,27,3.74,wysoki,42,0.8933723721968723
521.0,domek58562302,Bo w Warszawie rządzi Trzaskowski i i unia.,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Bo w Warszawie rządzi Trzaskowski i i unia.,Bo w Warszawie rządzi Trzaskowski i i unia.,,,,0,0,0,43,8,0.0,niski,42,1.0
585.0,domek58562302,Bo w Warszawie rządzi Trzaskowski i unia.,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Bo w Warszawie rządzi Trzaskowski i unia.,Bo w Warszawie rządzi Trzaskowski i unia.,,,,0,0,0,41,7,0.0,niski,42,1.0
