id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
22.0,kazik43085484,"Z tego co kojarzę, to Trzaskowski ogłosił się prezydentem już o 21. O tym, że został nim Nawrocki ogłosiła PKW. Swoją drogą prezydentura Trzaskowskiego była najlepsza, nie zdążył nic spieprzyć.",0,0,0,0,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Z tego co kojarzę, to Trzaskowski ogłosił się prezydentem już o 21. O tym, że został nim Nawrocki ogłosiła PKW. Swoją drogą prezydentura Trzaskowskiego była najlepsza, nie zdążył nic spieprzyć.","Z tego co kojarzę, to Trzaskowski ogłosił się prezydentem już o 21. O tym, że został nim Nawrocki ogłosiła PKW. Swoją drogą prezydentura Trzaskowskiego była najlepsza, nie zdążył nic spieprzyć.",,,,0,0,0,193,30,0.0,niski,43,1.0
19.0,janmolskiiii,"„Czołem Panie Prezydencie!” Matko kochana, jak dobrze, że Karol Nawrocki, a nie Rafał Trzaskowski został prezydentem. No wyobrażam sobie go w takiej tej chwili.",11,163,55,229,06-08-25,2025-08-06,2025.0,8.0,6.0,0.0,"„Czołem Panie Prezydencie!” Matko kochana, jak dobrze, że Karol Nawrocki, a nie Rafał Trzaskowski został prezydentem. No wyobrażam sobie go w takiej tej chwili.","„Czołem Panie Prezydencie!” Matko kochana, jak dobrze, że Karol Nawrocki, a nie Rafał Trzaskowski został prezydentem. No wyobrażam sobie go w takiej tej chwili.",,,,0,0,0,160,24,2.96,wysoki,43,0.7922153263837659
289.0,przewodzik,beztrybu Karol Nawrocki jest moim prezydentem. Gdyby wygrał Rafał Trzaskowski również byłby moim prezydentem.,9,20,43,72,06-08-25,2025-08-06,2025.0,8.0,6.0,0.0,beztrybu Karol Nawrocki jest moim prezydentem. Gdyby wygrał Rafał Trzaskowski również byłby moim prezydentem.,beztrybu Karol Nawrocki jest moim prezydentem. Gdyby wygrał Rafał Trzaskowski również byłby moim prezydentem.,,,,0,0,0,109,14,0.47,wysoki,43,0.7991552804254769
140.0,wincent011069,"I czego rozsiewasz dezinformację, przecież Prezydent Nawrocki realizuje postulaty twego pupilka Trzaskowskiego i Tuska, który załatwił ci fuchę w Brukseli. Czyżbyś miała demencję Haka Grundbaum.🤔",0,0,0,0,27-08-25,2025-08-27,2025.0,8.0,27.0,0.0,"I czego rozsiewasz dezinformację, przecież Prezydent Nawrocki realizuje postulaty twego pupilka Trzaskowskiego i Tuska, który załatwił ci fuchę w Brukseli. Czyżbyś miała demencję Haka Grundbaum.🤔","I czego rozsiewasz dezinformację, przecież Prezydent Nawrocki realizuje postulaty twego pupilka Trzaskowskiego i Tuska, który załatwił ci fuchę w Brukseli. Czyżbyś miała demencję Haka Grundbaum.🤔",,,,0,0,0,195,25,0.0,niski,43,0.650371654709806
21.0,gregor07966579,Kochani . Może piszę nie stylistycznie może piszę z błędami ale myślę i nawet ja prosty człowiek wiem że @Nawrocki nie jest legalnym Prezydentem RP. @NawrockiKn został zaprzysiężony nielegalnie. Obecność jego w Stoczni Gdańskiej jest wstydem dla Solidarności 80',1,75,37,113,31-08-25,2025-08-31,2025.0,8.0,31.0,0.0,Kochani . Może piszę nie stylistycznie może piszę z błędami ale myślę i nawet ja prosty człowiek wiem że nie jest legalnym Prezydentem RP. został zaprzysiężony nielegalnie. Obecność jego w Stoczni Gdańskiej jest wstydem dla Solidarności 80',Kochani . Może piszę nie stylistycznie może piszę z błędami ale myślę i nawet ja prosty człowiek wiem że nie jest legalnym Prezydentem RP. został zaprzysiężony nielegalnie. Obecność jego w Stoczni Gdańskiej jest wstydem dla Solidarności 80',@Nawrocki|@NawrockiKn,,,2,0,0,240,37,2.03,wysoki,43,0.6483967670505248
899.0,wojciechowskavh,"Sztab Trzaskowskiego przedwcześnie odtrąbił zwycięstwo. Dzięki nim tej nocy byliśmy świadkami najkrótszej prezydentury w dziejach Karol Nawrocki prezydentem Polski Tuskowi i jego towarzyszom, na pohybel",3,119,33,155,"Jun 2, 2025 · 3:01 AM UTC",,,,,,"Sztab Trzaskowskiego przedwcześnie odtrąbił zwycięstwo. Dzięki nim tej nocy byliśmy świadkami najkrótszej prezydentury w dziejach Karol Nawrocki prezydentem Polski Tuskowi i jego towarzyszom, na pohybel","Sztab Trzaskowskiego przedwcześnie odtrąbił zwycięstwo. Dzięki nim tej nocy byliśmy świadkami najkrótszej prezydentury w dziejach Karol Nawrocki prezydentem Polski Tuskowi i jego towarzyszom, na pohybel",,,,0,0,0,202,25,3.61,wysoki,43,1.0
791.0,marek67r,Jak się okazuje Trzaskowski nie był nawet dwugodzinnym prezydentem Nawrocki przez całą niedzielę był prezydentem! Kluczowe ostatnie dwie godziny niezalezna.pl/polityka/nawro…,1,31,1,33,"Jun 4, 2025 · 3:30 AM UTC",,,,,,Jak się okazuje Trzaskowski nie był nawet dwugodzinnym prezydentem Nawrocki przez całą niedzielę był prezydentem! Kluczowe ostatnie dwie godziny,Jak się okazuje Trzaskowski nie był nawet dwugodzinnym prezydentem Nawrocki przez całą niedzielę był prezydentem! Kluczowe ostatnie dwie godziny,,,niezalezna.pl/polityka/nawro…,0,0,1,144,19,31.0,średni,43,1.0
7.0,k_wachowska,"Na prawicy śmieją się, że Rafał Trzaskowski za szybko zaczął się cieszyć, że został Prezydentem. Czy ktoś z Was zauważył z jaką pewnością Nawrocki powiedział, że w nocy jeszcze wszystko się zmieni na jego korzyść? Skąd ta pewność?",19,234,1143,1396,"Jun 5, 2025 · 5:19 AM UTC",,,,,,"Na prawicy śmieją się, że Rafał Trzaskowski za szybko zaczął się cieszyć, że został Prezydentem. Czy ktoś z Was zauważył z jaką pewnością Nawrocki powiedział, że w nocy jeszcze wszystko się zmieni na jego korzyść? Skąd ta pewność?","Na prawicy śmieją się, że Rafał Trzaskowski za szybko zaczął się cieszyć, że został Prezydentem. Czy ktoś z Was zauważył z jaką pewnością Nawrocki powiedział, że w nocy jeszcze wszystko się zmieni na jego korzyść? Skąd ta pewność?",,,,0,0,0,230,38,0.2,wysoki,43,1.0
21.0,murzynfrogxxx,"Równo tydzień temu rozpoczęła się historyczna, najkrótsza prezydentura w historii naszego kraju. Rafał Trzaskowski został prezydentem.",0,11,17,28,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Równo tydzień temu rozpoczęła się historyczna, najkrótsza prezydentura w historii naszego kraju. Rafał Trzaskowski został prezydentem.","Równo tydzień temu rozpoczęła się historyczna, najkrótsza prezydentura w historii naszego kraju. Rafał Trzaskowski został prezydentem.",,,,0,0,0,134,16,0.65,wysoki,43,1.0
100.0,pawlowska_pl,Tydzień temu Rafał Trzaskowski od 20 minut był ogłoszonym przez siebie Prezydentem RP. Za godzinę i 40 minut świętować będziemy zakończenie tej prezydentury. Niesamowity czas.,0,1,2,3,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Tydzień temu Rafał Trzaskowski od 20 minut był ogłoszonym przez siebie Prezydentem RP. Za godzinę i 40 minut świętować będziemy zakończenie tej prezydentury. Niesamowity czas.,Tydzień temu Rafał Trzaskowski od 20 minut był ogłoszonym przez siebie Prezydentem RP. Za godzinę i 40 minut świętować będziemy zakończenie tej prezydentury. Niesamowity czas.,,,,0,0,0,175,25,0.5,wysoki,43,0.7883145680943501
