id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
6.0,vampiorek,"Nie zgodzę się,wielu wyborców szła głosować na Rafała Trzaskowskiego by ratować kraj,byleby tylko nie Nawrocki.Koalicja zamiast wystawić jednego kandydata żarła się,podkopywała Rafała Trzaskowskiego,a mistrzostwem były ziemniaki w DPSie,nie szukajmy winy w tych którzy nie poszli.",0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Nie zgodzę się,wielu wyborców szła głosować na Rafała Trzaskowskiego by ratować kraj,byleby tylko nie Nawrocki.Koalicja zamiast wystawić jednego kandydata żarła się,podkopywała Rafała Trzaskowskiego,a mistrzostwem były ziemniaki w DPSie,nie szukajmy winy w tych którzy nie poszli.","Nie zgodzę się,wielu wyborców szła głosować na Rafała Trzaskowskiego by ratować kraj,byleby tylko nie Nawrocki.Koalicja zamiast wystawić jednego kandydata żarła się,podkopywała Rafała Trzaskowskiego,a mistrzostwem były ziemniaki w DPSie,nie szukajmy winy w tych którzy nie poszli.",,,,0,0,0,280,35,0.0,niski,44,0.7066874021735854
315.0,dawid07627034,"Panie Duda, tu dotyczy o 4,5 tys. głosów na rzecz Rafała Trzaskowskiego, więc nie ma co robić histerii. A sianiu strachu, nienawiści, podziałów Polaków w naszym kraju to PiS + Nawrocki + pan osobiście jesteście niestety brunatnie bardzo skuteczni",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Panie Duda, tu dotyczy o 4,5 tys. głosów na rzecz Rafała Trzaskowskiego, więc nie ma co robić histerii. A sianiu strachu, nienawiści, podziałów Polaków w naszym kraju to PiS + Nawrocki + pan osobiście jesteście niestety brunatnie bardzo skuteczni","Panie Duda, tu dotyczy o 4,5 tys. głosów na rzecz Rafała Trzaskowskiego, więc nie ma co robić histerii. A sianiu strachu, nienawiści, podziałów Polaków w naszym kraju to PiS + Nawrocki + pan osobiście jesteście niestety brunatnie bardzo skuteczni",,,,0,0,0,246,39,0.0,niski,44,0.7582431394359189
205.0,farmerkapl,Bo to co robi Bodnar i Giertych to szukanie winnych porażki Tuska i Trzaskowskiego. Najpierw to była wieś a teraz 100 tysięcy Polaków w komisjach. Teatr dla gojów silnych razem. Wybory przegraliście prezydentem jest Karol Nawrocki i już nic tego nie zmieni. Pozostało im wycie.,0,7,1,8,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Bo to co robi Bodnar i Giertych to szukanie winnych porażki Tuska i Trzaskowskiego. Najpierw to była wieś a teraz 100 tysięcy Polaków w komisjach. Teatr dla gojów silnych razem. Wybory przegraliście prezydentem jest Karol Nawrocki i już nic tego nie zmieni. Pozostało im wycie.,Bo to co robi Bodnar i Giertych to szukanie winnych porażki Tuska i Trzaskowskiego. Najpierw to była wieś a teraz 100 tysięcy Polaków w komisjach. Teatr dla gojów silnych razem. Wybory przegraliście prezydentem jest Karol Nawrocki i już nic tego nie zmieni. Pozostało im wycie.,,,,0,0,0,277,45,7.0,średni,44,0.995231951711633
1.0,hubnerrmax,"W sensie, że pomyłka że Trzaskowski zdobył 5 głosów, a Nawrocki 6, tak?",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"W sensie, że pomyłka że Trzaskowski zdobył 5 głosów, a Nawrocki 6, tak?","W sensie, że pomyłka że Trzaskowski zdobył 5 głosów, a Nawrocki 6, tak?",,,,0,0,0,71,13,0.0,niski,44,0.7582431394359189
24.0,bonaagnes,"Ktoś twierdzi, że jak pomyłki, to zawsze na szkodę R. Trzaskowskiego? Bzdura... #setkiAgnieszkiP #Wybory2025 #WyboryPrezydenckie2025 #trzaskowski #Nawrocki @Nawrocki25 @DanielNawrocki_ @CzarnekP @Tysol wybory.gov.pl/prezydent2025/…",0,14,2,16,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Ktoś twierdzi, że jak pomyłki, to zawsze na szkodę R. Trzaskowskiego? Bzdura... setkiAgnieszkiP Wybory2025 WyboryPrezydenckie2025 trzaskowski Nawrocki wybory.","Ktoś twierdzi, że jak pomyłki, to zawsze na szkodę R. Trzaskowskiego? Bzdura... wybory.",@Nawrocki25|@DanielNawrocki_|@CzarnekP|@Tysol,#setkiAgnieszkiP|#Wybory2025|#WyboryPrezydenckie2025|#trzaskowski|#Nawrocki,gov.pl/prezydent2025/…,4,5,1,158,18,7.0,średni,44,1.0
337.0,kv_ski,"Ale według wyników podanych o godzinie 21 w dniu 1 czerwca, Trzaskowski wygrał wybory. Dopiero dwie godziny później wygrał Nawrocki @grok",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Ale według wyników podanych o godzinie 21 w dniu 1 czerwca, Trzaskowski wygrał wybory. Dopiero dwie godziny później wygrał Nawrocki","Ale według wyników podanych o godzinie 21 w dniu 1 czerwca, Trzaskowski wygrał wybory. Dopiero dwie godziny później wygrał Nawrocki",@grok,,,1,0,0,131,20,0.0,niski,44,1.0
12.0,ankapodlasianka,"Co na to wyborcy @GrzegorzBraun_ , ci którzy nie poszli na 2 turę bo Trzaskowski czy Nawrocki to jedno zło? Dalej tak uważacie?",0,5,0,5,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,"Co na to wyborcy , ci którzy nie poszli na 2 turę bo Trzaskowski czy Nawrocki to jedno zło? Dalej tak uważacie?","Co na to wyborcy , ci którzy nie poszli na 2 turę bo Trzaskowski czy Nawrocki to jedno zło? Dalej tak uważacie?",@GrzegorzBraun_,,,1,0,0,111,22,5.0,średni,44,0.7276265217213543
15.0,lis_tomasz,"Gdyby Trzaskowski wygrał tak jak Nawrocki „ wygrał”, to te same tzw wolne media, które teraz głoszą, że sprawa jest zamknięta, twierdziłyby, że postulat ponownego przeliczenia głosów jest w obliczu niepewności co do rzeczywistych wyników, oczywiście słuszny.",3,295,122,420,18-06-25,2025-06-18,2025.0,6.0,18.0,0.0,"Gdyby Trzaskowski wygrał tak jak Nawrocki „ wygrał”, to te same tzw wolne media, które teraz głoszą, że sprawa jest zamknięta, twierdziłyby, że postulat ponownego przeliczenia głosów jest w obliczu niepewności co do rzeczywistych wyników, oczywiście słuszny.","Gdyby Trzaskowski wygrał tak jak Nawrocki „ wygrał”, to te same tzw wolne media, które teraz głoszą, że sprawa jest zamknięta, twierdziłyby, że postulat ponownego przeliczenia głosów jest w obliczu niepewności co do rzeczywistych wyników, oczywiście słuszny.",,,,0,0,0,258,37,2.42,wysoki,44,0.7582431394359189
179.0,antekszprycha92,"Dla mnie w tym wszystkim zadziwiająca jest cisza że strony Trzaskowskiego. Wie, że zagranie z przypisaniem głosów Nawrockiemu to robota jego ludzi ? Bo dzięki temu w przypadku przegranej będzie pretekst do unieważnienia czy powtorrzenia wyborów? On o tym wie.",0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"Dla mnie w tym wszystkim zadziwiająca jest cisza że strony Trzaskowskiego. Wie, że zagranie z przypisaniem głosów Nawrockiemu to robota jego ludzi ? Bo dzięki temu w przypadku przegranej będzie pretekst do unieważnienia czy powtorrzenia wyborów? On o tym wie.","Dla mnie w tym wszystkim zadziwiająca jest cisza że strony Trzaskowskiego. Wie, że zagranie z przypisaniem głosów Nawrockiemu to robota jego ludzi ? Bo dzięki temu w przypadku przegranej będzie pretekst do unieważnienia czy powtorrzenia wyborów? On o tym wie.",,,,0,0,0,259,40,0.0,niski,44,0.7797689301039049
167.0,79foofighter,"Za dużo obiecał Ursuli, wie że jeżeli Trzaskowski zostanie prezydentem i będzie miał pełna władze to po następnych wyborach KO zniknie. Ludzie ich rozpierdolą. Nawrocki blokujący zielony ład czy pakt migracyjny to tlen dla Donalda.",0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Za dużo obiecał Ursuli, wie że jeżeli Trzaskowski zostanie prezydentem i będzie miał pełna władze to po następnych wyborach KO zniknie. Ludzie ich rozpierdolą. Nawrocki blokujący zielony ład czy pakt migracyjny to tlen dla Donalda.","Za dużo obiecał Ursuli, wie że jeżeli Trzaskowski zostanie prezydentem i będzie miał pełna władze to po następnych wyborach KO zniknie. Ludzie ich rozpierdolą. Nawrocki blokujący zielony ład czy pakt migracyjny to tlen dla Donalda.",,,,0,0,0,231,35,0.0,niski,44,0.832011013297659
