id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
1.0,morgenstern616,"Programista Kajetan Mastela stworzył model w Pythonie, który symulował, jak głosy z pierwszej tury powinny rozłożyć się w drugiej turze, uwzględniając badania przepływów elektoratów. Wykrył ponad 800 komisji, w których Nawrocki uzyskał znacznie więcej głosów niż przewidywał model. Postuluje pełne, transparentne przeliczenie głosów, aby odbudować zaufanie do procesu wyborczego. facebook.com/story.php?story…",71,1269,107,1447,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Programista Kajetan Mastela stworzył model w Pythonie, który symulował, jak głosy z pierwszej tury powinny rozłożyć się w drugiej turze, uwzględniając badania przepływów elektoratów. Wykrył ponad 800 komisji, w których Nawrocki uzyskał znacznie więcej głosów niż przewidywał model. Postuluje pełne, transparentne przeliczenie głosów, aby odbudować zaufanie do procesu wyborczego.","Programista Kajetan Mastela stworzył model w Pythonie, który symulował, jak głosy z pierwszej tury powinny rozłożyć się w drugiej turze, uwzględniając badania przepływów elektoratów. Wykrył ponad 800 komisji, w których Nawrocki uzyskał znacznie więcej głosów niż przewidywał model. Postuluje pełne, transparentne przeliczenie głosów, aby odbudować zaufanie do procesu wyborczego.",,,facebook.com/story.php?story…,0,0,1,379,49,11.86,wysoki,45,0.7817615461256295
7.0,propeertys,Tak tylko przypomnę te 90% dziwnym trafem znalazło się przy nazwisku Nawrocki w niektórych komisjach,0,26,4,30,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Tak tylko przypomnę te 90% dziwnym trafem znalazło się przy nazwisku Nawrocki w niektórych komisjach,Tak tylko przypomnę te 90% dziwnym trafem znalazło się przy nazwisku Nawrocki w niektórych komisjach,,,,0,0,0,100,15,6.5,średni,45,0.7500225503074579
841.0,the_krzysztof,W ponad 6000 komisji Nawrocki w II turze dostał mniej głosów niż Nawrocki + Mentzen + Braun w I turze. Stanowi to ponad 77.000 głosów. Zostały ukradzione !!! Masowe fałszowanie. To trzeba sprawdzić !!!,0,3,0,3,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,W ponad 6000 komisji Nawrocki w II turze dostał mniej głosów niż Nawrocki + Mentzen + Braun w I turze. Stanowi to ponad 77.000 głosów. Zostały ukradzione !!! Masowe fałszowanie. To trzeba sprawdzić !!!,W ponad 6000 komisji Nawrocki w II turze dostał mniej głosów niż Nawrocki + Mentzen + Braun w I turze. Stanowi to ponad 77.000 głosów. Zostały ukradzione !!! Masowe fałszowanie. To trzeba sprawdzić !!!,,,,0,0,0,201,34,3.0,średni,45,0.9736297682882332
27.0,janszczerba_k,"3751 komisji zamieniło głosy Trzaskowskiego na Nawrockiego. Jeżeli przeciętnie ma każdą komisję wychodziloby po 50 osob, tom już Nawrocki przegrywa. Albo dokladnie przeliczyć głosy i doprowadzić do zmiany na Trzaskowskiego, albo POWTÓRZYĆ WYBORY !!!",0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"3751 komisji zamieniło głosy Trzaskowskiego na Nawrockiego. Jeżeli przeciętnie ma każdą komisję wychodziloby po 50 osob, tom już Nawrocki przegrywa. Albo dokladnie przeliczyć głosy i doprowadzić do zmiany na Trzaskowskiego, albo POWTÓRZYĆ WYBORY !!!","3751 komisji zamieniło głosy Trzaskowskiego na Nawrockiego. Jeżeli przeciętnie ma każdą komisję wychodziloby po 50 osob, tom już Nawrocki przegrywa. Albo dokladnie przeliczyć głosy i doprowadzić do zmiany na Trzaskowskiego, albo POWTÓRZYĆ WYBORY !!!",,,,0,0,0,249,34,1.0,średni,45,0.9736297682882332
562.0,goniecpl,"Ryszard Kalisz w „Gońcu Porannym”: W weekend otrzymałem kilkadziesiąt nowych zgłoszeń dotyczących nieprawidłowości przy liczeniu głosów. Skala tego zjawiska się powiększa, widzą to wszyscy w Polsce. 🔴 Link w komentarzu.",7,307,64,378,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Ryszard Kalisz w „Gońcu Porannym”: W weekend otrzymałem kilkadziesiąt nowych zgłoszeń dotyczących nieprawidłowości przy liczeniu głosów. Skala tego zjawiska się powiększa, widzą to wszyscy w Polsce. 🔴 Link w komentarzu.","Ryszard Kalisz w „Gońcu Porannym”: W weekend otrzymałem kilkadziesiąt nowych zgłoszeń dotyczących nieprawidłowości przy liczeniu głosów. Skala tego zjawiska się powiększa, widzą to wszyscy w Polsce. 🔴 Link w komentarzu.",,,,0,0,0,219,30,4.8,wysoki,45,0.7913972894183229
92.0,pani_scarlett,"Hołownia uzyskał w wyborach tylko 978 901 głosów. Karol Nawrocki uzyskał ponad 10 milionów głosów, a dokładnie 10 606 877. Polacy bardzo jednoznacznie się określili, kogo chcą za prezydenta.",1,10,3,14,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Hołownia uzyskał w wyborach tylko 978 901 głosów. Karol Nawrocki uzyskał ponad 10 milionów głosów, a dokładnie 10 606 877. Polacy bardzo jednoznacznie się określili, kogo chcą za prezydenta.","Hołownia uzyskał w wyborach tylko 978 901 głosów. Karol Nawrocki uzyskał ponad 10 milionów głosów, a dokładnie 10 606 877. Polacy bardzo jednoznacznie się określili, kogo chcą za prezydenta.",,,,0,0,0,190,29,3.33,średni,45,0.9103328973797788
92.0,macvvilk,"Kochani przeciętny obywatel, na szybko znalazł 114 komisji, w których Nawrocki ma w drugiej turze mniej głosów niż w pierwszej!!! Trzeba ponowić liczenie i sprawdzić, bo wyglada na to że taka była instrukcja, aby zamieniać wyniki Nawrockiego z Trzaskowskim. To jest praktycznie niemożliwe!!!",19,345,51,415,07-06-25,2025-06-07,2025.0,6.0,7.0,0.0,"Kochani przeciętny obywatel, na szybko znalazł 114 komisji, w których Nawrocki ma w drugiej turze mniej głosów niż w pierwszej!!! Trzeba ponowić liczenie i sprawdzić, bo wyglada na to że taka była instrukcja, aby zamieniać wyniki Nawrockiego z Trzaskowskim. To jest praktycznie niemożliwe!!!","Kochani przeciętny obywatel, na szybko znalazł 114 komisji, w których Nawrocki ma w drugiej turze mniej głosów niż w pierwszej!!! Trzeba ponowić liczenie i sprawdzić, bo wyglada na to że taka była instrukcja, aby zamieniać wyniki Nawrockiego z Trzaskowskim. To jest praktycznie niemożliwe!!!",,,,0,0,0,291,43,6.76,wysoki,45,0.882471027015487
29.0,bob57pl,✅Tylko w KRK komisji jadącej po bandzie PiS nikogo nie zgłosił oficjalnie‼️🤔 OKW93 - 2 Nawrocki OKW94 - 1 Nawrocki i 1 Stanowski (Brzozowski!) OKW95 - tylko Stanowski (słynny kierownik Brzozowski!) OKW96 - 1 Nawrocki i 1 Stanowski (Brzozowska!) 4 komisje - troje Brzozowskich ⁉️,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,✅Tylko w KRK komisji jadącej po bandzie PiS nikogo nie zgłosił oficjalnie‼️🤔 OKW93 - 2 Nawrocki OKW94 - 1 Nawrocki i 1 Stanowski (Brzozowski!) OKW95 - tylko Stanowski (słynny kierownik Brzozowski!) OKW96 - 1 Nawrocki i 1 Stanowski (Brzozowska!) 4 komisje - troje Brzozowskich ⁉️,✅Tylko w KRK komisji jadącej po bandzie PiS nikogo nie zgłosił oficjalnie‼️🤔 OKW93 - 2 Nawrocki OKW94 - 1 Nawrocki i 1 Stanowski (Brzozowski!) OKW95 - tylko Stanowski (słynny kierownik Brzozowski!) OKW96 - 1 Nawrocki i 1 Stanowski (Brzozowska!) 4 komisje - troje Brzozowskich ⁉️,,,,0,0,0,278,45,0.0,niski,45,0.8190975156856822
899.0,sebastianowcz10,Ponad 100 000 głosów dostał Nawrocki zamiast Trzaskowskiego. WYnik badania Chata GPT przeraża.,0,3,0,3,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Ponad 100 000 głosów dostał Nawrocki zamiast Trzaskowskiego. WYnik badania Chata GPT przeraża.,Ponad 100 000 głosów dostał Nawrocki zamiast Trzaskowskiego. WYnik badania Chata GPT przeraża.,,,,0,0,0,94,13,3.0,średni,45,0.7360719654417871
323.0,andrzejpiecuch,"To jakiś błąd logiczny i brak wiedzy. We wszystkich komisjach zamieniono głosy Trzaskowski < > Nawrocki, a co tam. Jeszcze jakiś problem ?? Czy już wszystko jasne ?? Pozdrawiam @pozar_w .",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"To jakiś błąd logiczny i brak wiedzy. We wszystkich komisjach zamieniono głosy Trzaskowski < > Nawrocki, a co tam. Jeszcze jakiś problem ?? Czy już wszystko jasne ?? Pozdrawiam .","To jakiś błąd logiczny i brak wiedzy. We wszystkich komisjach zamieniono głosy Trzaskowski < > Nawrocki, a co tam. Jeszcze jakiś problem ?? Czy już wszystko jasne ?? Pozdrawiam .",@pozar_w,,,1,0,0,178,30,0.0,niski,45,0.7138847637240412
