id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
1.0,groblklaud55667,Pan nawet nie zna prawdziwego wyniku wyborów,0,0,0,0,18-08-25,2025-08-18,2025.0,8.0,18.0,0.0,Pan nawet nie zna prawdziwego wyniku wyborów,Pan nawet nie zna prawdziwego wyniku wyborów,,,,0,0,0,44,7,0.0,niski,46,1.0
226.0,klimekzofia,To w którym momencie wysiadł kandydat?,0,0,0,0,"Jun 3, 2025 · 5:00 PM UTC",,,,,,To w którym momencie wysiadł kandydat?,To w którym momencie wysiadł kandydat?,,,,0,0,0,38,6,0.0,niski,46,0.969218263847649
6.0,polityczny_bajz,"Czy Giertych w ogóle wie, kto wygrał wybory?! 🤔 Roman Giertych komentuje sytuację powyborczą... ale czy naprawdę wie, kto wygrał? Chaos, sprzeczne narracje i polityczny zamęt – zobacz tę wypowiedź i oceń sam, czy trzyma s #Giertych #Wybory2025 #Sejm #Polityka #PolitycznyBajzel",0,0,0,0,25-06-25,2025-06-25,2025.0,6.0,25.0,0.0,"Czy Giertych w ogóle wie, kto wygrał wybory?! 🤔 Roman Giertych komentuje sytuację powyborczą... ale czy naprawdę wie, kto wygrał? Chaos, sprzeczne narracje i polityczny zamęt – zobacz tę wypowiedź i oceń sam, czy trzyma s Giertych Wybory2025 Sejm Polityka PolitycznyBajzel","Czy Giertych w ogóle wie, kto wygrał wybory?! 🤔 Roman Giertych komentuje sytuację powyborczą... ale czy naprawdę wie, kto wygrał? Chaos, sprzeczne narracje i polityczny zamęt – zobacz tę wypowiedź i oceń sam, czy trzyma s",,#Giertych|#Wybory2025|#Sejm|#Polityka|#PolitycznyBajzel,,0,5,0,272,41,0.0,niski,46,1.0
641.0,galernik24601,"Orientuje się ktoś w temacie tego, czy @lis_tomasz już wie, kto wygrał wybory prezydenckie?",0,2,6,8,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Orientuje się ktoś w temacie tego, czy już wie, kto wygrał wybory prezydenckie?","Orientuje się ktoś w temacie tego, czy już wie, kto wygrał wybory prezydenckie?",@lis_tomasz,,,1,0,0,79,13,0.33,wysoki,46,1.0
327.0,dh8831667799,Wygrali z Wami wybory prezydenckie..elo,0,0,0,0,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,Wygrali z Wami wybory prezydenckie..elo,Wygrali z Wami wybory prezydenckie..elo,,,,0,0,0,39,5,0.0,niski,46,0.8927958274617357
31.0,fritz_neuenburg,"Ograli? A to ja nie wiedziałem, że wybory, to jest gra, w której wygrywa ten, kto podmienił karty.",0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,"Ograli? A to ja nie wiedziałem, że wybory, to jest gra, w której wygrywa ten, kto podmienił karty.","Ograli? A to ja nie wiedziałem, że wybory, to jest gra, w której wygrywa ten, kto podmienił karty.",,,,0,0,0,98,18,0.0,niski,46,1.0
248.0,kamilkanclerz88,17 dni po wyborach nikt ale to absolutnie nikt nie jest w stanie powiedzieć kto wygrał wybory. A to jest wystarczający powód żeby to powtórzyć !,7,175,372,554,18-06-25,2025-06-18,2025.0,6.0,18.0,0.0,17 dni po wyborach nikt ale to absolutnie nikt nie jest w stanie powiedzieć kto wygrał wybory. A to jest wystarczający powód żeby to powtórzyć !,17 dni po wyborach nikt ale to absolutnie nikt nie jest w stanie powiedzieć kto wygrał wybory. A to jest wystarczający powód żeby to powtórzyć !,,,,0,0,0,144,26,0.47,wysoki,46,1.0
143.0,basiamakowska,"Poczekajmy z opiniami do wyjśnienia, kto tak naprawdę wygrał wybory!!",0,0,0,0,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Poczekajmy z opiniami do wyjśnienia, kto tak naprawdę wygrał wybory!!","Poczekajmy z opiniami do wyjśnienia, kto tak naprawdę wygrał wybory!!",,,,0,0,0,69,10,0.0,niski,46,1.0
376.0,znasz_chlopa,"Prawda, prawda...i w drodze o dobro demokracji tak zostanie...wybory się wygrywa przy przezroczystej urnie na oczach wyborców a nie po miesiącu w ciemnej piwnicy po kryjomu ;)",0,0,0,0,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Prawda, prawda...i w drodze o dobro demokracji tak zostanie...wybory się wygrywa przy przezroczystej urnie na oczach wyborców a nie po miesiącu w ciemnej piwnicy po kryjomu ;)","Prawda, prawda...i w drodze o dobro demokracji tak zostanie...wybory się wygrywa przy przezroczystej urnie na oczach wyborców a nie po miesiącu w ciemnej piwnicy po kryjomu ;)",,,,0,0,0,175,27,0.0,niski,46,0.9887922806815256
16.0,emichalik,"Wiecie, że wciąż nie wiemy, kto naprawdę wygrał wybory?",10,159,2,171,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Wiecie, że wciąż nie wiemy, kto naprawdę wygrał wybory?","Wiecie, że wciąż nie wiemy, kto naprawdę wygrał wybory?",,,,0,0,0,55,9,79.5,wysoki,46,1.0
