id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
507.0,ross_bony,"szacunek że pan nie odpuścił i się nie pokajał. a co do chraboty, to tak, wg niego nawrocki to są turbulencje demokratyczne",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"szacunek że pan nie odpuścił i się nie pokajał. a co do chraboty, to tak, wg niego nawrocki to są turbulencje demokratyczne","szacunek że pan nie odpuścił i się nie pokajał. a co do chraboty, to tak, wg niego nawrocki to są turbulencje demokratyczne",,,,0,0,0,123,22,0.0,niski,47,1.0
334.0,janey_mietka,A ty będziesz zamawiał papier toaletowy u nawrockiego. Tylko jak nawrocki wygra te wybory. PIS SFAŁSZOWAŁ WYBORY,0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,A ty będziesz zamawiał papier toaletowy u nawrockiego. Tylko jak nawrocki wygra te wybory. PIS SFAŁSZOWAŁ WYBORY,A ty będziesz zamawiał papier toaletowy u nawrockiego. Tylko jak nawrocki wygra te wybory. PIS SFAŁSZOWAŁ WYBORY,,,,0,0,0,112,17,0.0,niski,47,0.9678071856672807
27.0,59jpiech,"61 % z Nas chce powtórnego przeliczenia glosow .Pis banda widzi i slyszy ,nie bójcie się jak ukradliście wybory to pójdziecie siedzieć a jak nie to wasz Nawrocki zostanie waszym Bogiem.",0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"61 % z Nas chce powtórnego przeliczenia glosow .Pis banda widzi i slyszy ,nie bójcie się jak ukradliście wybory to pójdziecie siedzieć a jak nie to wasz Nawrocki zostanie waszym Bogiem.","61 % z Nas chce powtórnego przeliczenia glosow .Pis banda widzi i slyszy ,nie bójcie się jak ukradliście wybory to pójdziecie siedzieć a jak nie to wasz Nawrocki zostanie waszym Bogiem.",,,,0,0,0,185,31,0.0,niski,47,0.95578679594718
41.0,katarzynalachut,"Już nikogo z demokratycznej strony nie interesują twoje brednie.Kaminski,Bielan Nawrocki to twoje towarzystwo",0,3,2,5,05-09-25,2025-09-05,2025.0,9.0,5.0,0.0,"Już nikogo z demokratycznej strony nie interesują twoje brednie.Kaminski,Bielan Nawrocki to twoje towarzystwo","Już nikogo z demokratycznej strony nie interesują twoje brednie.Kaminski,Bielan Nawrocki to twoje towarzystwo",,,,0,0,0,109,13,1.5,średni,47,1.0
534.0,karol_kul,"Bo jesteście samonapędzającą się bańką, która z kilku nieznaczących pomyłek próbuje zrobić wyborczy przekręt... Ot dlaczego.",0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Bo jesteście samonapędzającą się bańką, która z kilku nieznaczących pomyłek próbuje zrobić wyborczy przekręt... Ot dlaczego.","Bo jesteście samonapędzającą się bańką, która z kilku nieznaczących pomyłek próbuje zrobić wyborczy przekręt... Ot dlaczego.",,,,0,0,0,124,16,0.0,niski,47,1.0
222.0,danagreifenberg,A może tak Duch cie oświeci i ruszycie tyłki odnośnie oszustw wyborczych.,0,3,0,3,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,A może tak Duch cie oświeci i ruszycie tyłki odnośnie oszustw wyborczych.,A może tak Duch cie oświeci i ruszycie tyłki odnośnie oszustw wyborczych.,,,,0,0,0,73,12,3.0,wysoki,47,0.949808138574376
920.0,agnes51235072,"przy grillu. Czy Wy zastanowiliście się, że ta moja koleżanka już nigdy nie pójdzie na wybory? Czy Wy wiecie, że Wasza arogancja zabija właśnie w ludziach wiarę i nadzieję, ale przede wszystkim niszczy zryw z 2023 roku? Jeśli tego nie wiecie, to się niedługo dowiecie.",0,61,10,71,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"przy grillu. Czy Wy zastanowiliście się, że ta moja koleżanka już nigdy nie pójdzie na wybory? Czy Wy wiecie, że Wasza arogancja zabija właśnie w ludziach wiarę i nadzieję, ale przede wszystkim niszczy zryw z 2023 roku? Jeśli tego nie wiecie, to się niedługo dowiecie.","przy grillu. Czy Wy zastanowiliście się, że ta moja koleżanka już nigdy nie pójdzie na wybory? Czy Wy wiecie, że Wasza arogancja zabija właśnie w ludziach wiarę i nadzieję, ale przede wszystkim niszczy zryw z 2023 roku? Jeśli tego nie wiecie, to się niedługo dowiecie.",,,,0,0,0,268,45,6.1,wysoki,47,0.9678071856672807
9.0,k_smiszek,"Stary, ale to wy panikowaliście najbardziej jeszcze w dniu wyborów. Wasza posłanka @WojciechowskavH jescze podczas waszego wieczoru wyborczego siała dezinformacje o licznych nieprawidłowościach. Więc zacznijcie od siebie🤷‍♂️",0,8,3,11,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Stary, ale to wy panikowaliście najbardziej jeszcze w dniu wyborów. Wasza posłanka jescze podczas waszego wieczoru wyborczego siała dezinformacje o licznych nieprawidłowościach. Więc zacznijcie od siebie🤷‍♂️","Stary, ale to wy panikowaliście najbardziej jeszcze w dniu wyborów. Wasza posłanka jescze podczas waszego wieczoru wyborczego siała dezinformacje o licznych nieprawidłowościach. Więc zacznijcie od siebie🤷‍♂️",@WojciechowskavH,,,1,0,0,207,26,2.67,wysoki,47,1.0
335.0,pawelkowalpl,"Czy ktoś z Was, niezależnie od tego na kogo oddaliście głos w wyborach, chciałby, żeby to Wasz głos został zaliczony dokładnie odwrotnie niż glosowaliście, a poważne osoby w państwie bagatelizowały ten fakt? Pomyślcie",27,789,670,1486,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Czy ktoś z Was, niezależnie od tego na kogo oddaliście głos w wyborach, chciałby, żeby to Wasz głos został zaliczony dokładnie odwrotnie niż glosowaliście, a poważne osoby w państwie bagatelizowały ten fakt? Pomyślcie","Czy ktoś z Was, niezależnie od tego na kogo oddaliście głos w wyborach, chciałby, żeby to Wasz głos został zaliczony dokładnie odwrotnie niż glosowaliście, a poważne osoby w państwie bagatelizowały ten fakt? Pomyślcie",,,,0,0,0,217,33,1.18,wysoki,47,0.9160324890334056
486.0,bob57pl,"Może byś tak łaskawco poczekał choćby aż minie termin zgłaszania protestów wyborczych, bo drepczesz nóżkami jak Duda❗️🤦‍♂️",0,2,0,2,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Może byś tak łaskawco poczekał choćby aż minie termin zgłaszania protestów wyborczych, bo drepczesz nóżkami jak Duda❗️🤦‍♂️","Może byś tak łaskawco poczekał choćby aż minie termin zgłaszania protestów wyborczych, bo drepczesz nóżkami jak Duda❗️🤦‍♂️",,,,0,0,0,122,17,2.0,wysoki,47,1.0
