id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
831.0,mwospl,"Nawet tu kłamiecie. Dlatego przegraliście. Zmieniliście koszyk produktów, których ceny są brane pod uwagę przez GUS. Po to była podmianka prezesa GUS.",1,152,24,177,"Jun 4, 2025 · 2:56 PM UTC",,,,,,"Nawet tu kłamiecie. Dlatego przegraliście. Zmieniliście koszyk produktów, których ceny są brane pod uwagę przez GUS. Po to była podmianka prezesa GUS.","Nawet tu kłamiecie. Dlatego przegraliście. Zmieniliście koszyk produktów, których ceny są brane pod uwagę przez GUS. Po to była podmianka prezesa GUS.",,,,0,0,0,150,22,6.33,wysoki,48,0.8072257032127473
34.0,micha78786,Ta światowa klasa przegrała wybory z najgorszym prezydentem. 5 lat później ta klasa przegrywa z partią jaką wszyscy wiemy i jej kandydatem też go znamy.,0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,Ta światowa klasa przegrała wybory z najgorszym prezydentem. 5 lat później ta klasa przegrywa z partią jaką wszyscy wiemy i jej kandydatem też go znamy.,Ta światowa klasa przegrała wybory z najgorszym prezydentem. 5 lat później ta klasa przegrywa z partią jaką wszyscy wiemy i jej kandydatem też go znamy.,,,,0,0,0,152,25,0.0,niski,48,1.0
295.0,marion50758141,ideologia u @trzaskowski_ dawno wygrała z rozumem dlatego przegrał kolejny raz wybory i nastepne wybory tez przegra bo go wystawią 🫣🫣🫣🫣,0,0,0,0,19-06-25,2025-06-19,2025.0,6.0,19.0,0.0,ideologia u dawno wygrała z rozumem dlatego przegrał kolejny raz wybory i nastepne wybory tez przegra bo go wystawią 🫣🫣🫣🫣,ideologia u dawno wygrała z rozumem dlatego przegrał kolejny raz wybory i nastepne wybory tez przegra bo go wystawią 🫣🫣🫣🫣,@trzaskowski_,,,1,0,0,121,20,0.0,niski,48,1.0
243.0,p19731971,"Jest pan największym ""przegrywem"" w ostatnich latach, przegrał pan wszystkie wybory w ostatnich latach, przegrał pan i pana kandydat Trzaskowski ostatnie wybory 🤷 myślę że nadszedł czas przyzwyczaić się do porażek,bo patrząc w przyszłość nie widać dobrych prognoz dla pana i PO",0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Jest pan największym ""przegrywem"" w ostatnich latach, przegrał pan wszystkie wybory w ostatnich latach, przegrał pan i pana kandydat Trzaskowski ostatnie wybory 🤷 myślę że nadszedł czas przyzwyczaić się do porażek,bo patrząc w przyszłość nie widać dobrych prognoz dla pana i PO","Jest pan największym ""przegrywem"" w ostatnich latach, przegrał pan wszystkie wybory w ostatnich latach, przegrał pan i pana kandydat Trzaskowski ostatnie wybory 🤷 myślę że nadszedł czas przyzwyczaić się do porażek,bo patrząc w przyszłość nie widać dobrych prognoz dla pana i PO",,,,0,0,0,277,42,0.0,niski,48,1.0
17.0,elzbietajs,"Wszystko wskazuje na to, że jednak nie wygraliście. Oczekujemy ponownego przeliczenia głosów!",0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Wszystko wskazuje na to, że jednak nie wygraliście. Oczekujemy ponownego przeliczenia głosów!","Wszystko wskazuje na to, że jednak nie wygraliście. Oczekujemy ponownego przeliczenia głosów!",,,,0,0,0,93,12,0.0,niski,48,0.8558716820898421
291.0,b_kamil57884,Liczyć to wy możecie dni do zaprzysiężenia Nawrockiego. A potem mozecie liczyć dni do kolejnych wyborów po których stracicie wszystko.,0,0,0,0,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,Liczyć to wy możecie dni do zaprzysiężenia Nawrockiego. A potem mozecie liczyć dni do kolejnych wyborów po których stracicie wszystko.,Liczyć to wy możecie dni do zaprzysiężenia Nawrockiego. A potem mozecie liczyć dni do kolejnych wyborów po których stracicie wszystko.,,,,0,0,0,134,20,0.0,niski,48,1.0
1.0,badziou,O jest największy polityczny przegryw. Wystartujesz 3x gorseciarzu?,0,0,0,0,07-07-25,2025-07-07,2025.0,7.0,7.0,0.0,O jest największy polityczny przegryw. Wystartujesz 3x gorseciarzu?,O jest największy polityczny przegryw. Wystartujesz 3x gorseciarzu?,,,,0,0,0,67,8,0.0,niski,48,0.826609516105329
20.0,czardam,"Jakby ktoś szukał, czemu @trzaskowski_ przegrał wybory😉",0,11,2,13,07-07-25,2025-07-07,2025.0,7.0,7.0,0.0,"Jakby ktoś szukał, czemu przegrał wybory😉","Jakby ktoś szukał, czemu przegrał wybory😉",@trzaskowski_,,,1,0,0,41,6,5.5,wysoki,48,0.6870932763480818
13.0,jacek_ns,"No i komuchy trzeci raz z rzędu, przegrali wybory prezydenckie😀",0,0,0,0,01-09-25,2025-09-01,2025.0,9.0,1.0,0.0,"No i komuchy trzeci raz z rzędu, przegrali wybory prezydenckie😀","No i komuchy trzeci raz z rzędu, przegrali wybory prezydenckie😀",,,,0,0,0,63,10,0.0,niski,48,0.9750742701319168
9.0,annajot75,No kochany jesteś… <3 Już raz na tym beznadziejny marketingu politycznym przegrałeś 2 razy… i dalej to samo…,0,0,0,0,02-09-25,2025-09-02,2025.0,9.0,2.0,0.0,No kochany jesteś… <3 Już raz na tym beznadziejny marketingu politycznym przegrałeś 2 razy… i dalej to samo…,No kochany jesteś… <3 Już raz na tym beznadziejny marketingu politycznym przegrałeś 2 razy… i dalej to samo…,,,,0,0,0,108,18,0.0,niski,48,0.928835556585968
