id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
23.0,wewuncia,"Tego nie wiemy, czy zostały sfałszowane czy nie. Różnica głosów jest niewielka i radzę optować za ponownym przeliczeniem głosów i rewizją raportów komisji wyborczych niż z góry przesądzać że KN został wybrany uczciwie.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Tego nie wiemy, czy zostały sfałszowane czy nie. Różnica głosów jest niewielka i radzę optować za ponownym przeliczeniem głosów i rewizją raportów komisji wyborczych niż z góry przesądzać że KN został wybrany uczciwie.","Tego nie wiemy, czy zostały sfałszowane czy nie. Różnica głosów jest niewielka i radzę optować za ponownym przeliczeniem głosów i rewizją raportów komisji wyborczych niż z góry przesądzać że KN został wybrany uczciwie.",,,,0,0,0,218,33,0.0,niski,51,1.0
825.0,monikaweitzel1,"Falsification of election. Over half a million more ballots were counted than we have voters. Private application prohibiting people from voting Placing additional marks to make vote invalid on a large scare / trends and all in favor of Nawrocki. Miracle, indeed",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Falsification of election. Over half a million more ballots were counted than we have voters. Private application prohibiting people from voting Placing additional marks to make vote invalid on a large scare / trends and all in favor of Nawrocki. Miracle, indeed","Falsification of election. Over half a million more ballots were counted than we have voters. Private application prohibiting people from voting Placing additional marks to make vote invalid on a large scare / trends and all in favor of Nawrocki. Miracle, indeed",,,,0,0,0,262,42,0.0,niski,51,0.8739051380193189
86.0,niko_kobra,"Mam gdzieś na kogo pani baba głosowała. Sprawdzenie głosów to nie zamach na demokrację, to nasze prawo. Wygra nawrocki- uszanujemy. Ale nawet jak wygra żądamy kar dla fałszerzy i ich przywódców. To zamach na święte prawo demokraci! Nie jesteśmy jeszcze republiką radziecką!",0,5,0,5,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,"Mam gdzieś na kogo pani baba głosowała. Sprawdzenie głosów to nie zamach na demokrację, to nasze prawo. Wygra nawrocki- uszanujemy. Ale nawet jak wygra żądamy kar dla fałszerzy i ich przywódców. To zamach na święte prawo demokraci! Nie jesteśmy jeszcze republiką radziecką!","Mam gdzieś na kogo pani baba głosowała. Sprawdzenie głosów to nie zamach na demokrację, to nasze prawo. Wygra nawrocki- uszanujemy. Ale nawet jak wygra żądamy kar dla fałszerzy i ich przywódców. To zamach na święte prawo demokraci! Nie jesteśmy jeszcze republiką radziecką!",,,,0,0,0,273,42,5.0,średni,51,0.975577426709409
6.0,kozub_seba72737,"No cóż jeżeli pojawi się wola sprawdzenia wyników wyborów to się przekonamy ,póki co możemy patrzeć na ręce i komentować idiotyczne decyzje",0,0,0,0,31-08-25,2025-08-31,2025.0,8.0,31.0,0.0,"No cóż jeżeli pojawi się wola sprawdzenia wyników wyborów to się przekonamy ,póki co możemy patrzeć na ręce i komentować idiotyczne decyzje","No cóż jeżeli pojawi się wola sprawdzenia wyników wyborów to się przekonamy ,póki co możemy patrzeć na ręce i komentować idiotyczne decyzje",,,,0,0,0,139,22,0.0,niski,51,0.9015699869875874
595.0,l_f_drummond,"Sie sind eine Gefahr für die Demokratie, wenn Sie demokratische Wahlergebnisse nicht akzeptieren. Sie sind ein größerer Hetzer und Spalter, als es Nawrocki je sein könnte.",0,1,1,2,"Jun 2, 2025 · 6:03 PM UTC",,,,,,"Sie sind eine Gefahr für die Demokratie, wenn Sie demokratische Wahlergebnisse nicht akzeptieren. Sie sind ein größerer Hetzer und Spalter, als es Nawrocki je sein könnte.","Sie sind eine Gefahr für die Demokratie, wenn Sie demokratische Wahlergebnisse nicht akzeptieren. Sie sind ein größerer Hetzer und Spalter, als es Nawrocki je sein könnte.",,,,0,0,0,171,26,1.0,średni,51,0.9503998670886212
29.0,tomaszgintrowic,Czyżby poparcie dla @trzaskowski_ miało wpływ na tą decyzję…?🧐,0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Czyżby poparcie dla miało wpływ na tą decyzję…?🧐,Czyżby poparcie dla miało wpływ na tą decyzję…?🧐,@trzaskowski_,,,1,0,0,48,8,0.0,niski,51,0.897862994246298
809.0,ulacy80998,"Tak działa demokracja, czasem wygrywa ktoś, kogo nie lubimy, albo się go nawet brzydzimy. Alternatywą jest oligarchizacja demokracji, co prowadzi do jej upadku i wprowadzenia takiej bądź innej dyktatury.",0,0,0,0,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Tak działa demokracja, czasem wygrywa ktoś, kogo nie lubimy, albo się go nawet brzydzimy. Alternatywą jest oligarchizacja demokracji, co prowadzi do jej upadku i wprowadzenia takiej bądź innej dyktatury.","Tak działa demokracja, czasem wygrywa ktoś, kogo nie lubimy, albo się go nawet brzydzimy. Alternatywą jest oligarchizacja demokracji, co prowadzi do jej upadku i wprowadzenia takiej bądź innej dyktatury.",,,,0,0,0,203,29,0.0,niski,51,0.991173999418286
71.0,kmiecik_maciej,"Idealnie przedstawiła Pani i moje zdanie w kwestii wyborów i ich rzetelności. ➡️Każdy jeden głos musi mieć znaczenie! ➡️Każda próba fałszerstwa wyników wyborów musi być ujawniona! ➡️Osoby, które dopuściły się „wyborczych przekrętów” muszą być ukarane z pełną surowością. Po prostu te trzy warunki bezwzględnie muszą być spełnione, aby każdy wyborca czuł, że jego głos ma sprawczą moc!👌💪",1,57,3,61,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Idealnie przedstawiła Pani i moje zdanie w kwestii wyborów i ich rzetelności. ➡️Każdy jeden głos musi mieć znaczenie! ➡️Każda próba fałszerstwa wyników wyborów musi być ujawniona! ➡️Osoby, które dopuściły się „wyborczych przekrętów” muszą być ukarane z pełną surowością. Po prostu te trzy warunki bezwzględnie muszą być spełnione, aby każdy wyborca czuł, że jego głos ma sprawczą moc!👌💪","Idealnie przedstawiła Pani i moje zdanie w kwestii wyborów i ich rzetelności. ➡️Każdy jeden głos musi mieć znaczenie! ➡️Każda próba fałszerstwa wyników wyborów musi być ujawniona! ➡️Osoby, które dopuściły się „wyborczych przekrętów” muszą być ukarane z pełną surowością. Po prostu te trzy warunki bezwzględnie muszą być spełnione, aby każdy wyborca czuł, że jego głos ma sprawczą moc!👌💪",,,,0,0,0,386,57,19.0,wysoki,51,0.9594923564201778
190.0,epwok2,"Jeśli sprawa nie będzie wyjaśniona ludzie nie pójdą na następne wybory bo po co oddawać głos, który może być zmanipulowany co daje wynik wyborów z góry ustawiony.",0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Jeśli sprawa nie będzie wyjaśniona ludzie nie pójdą na następne wybory bo po co oddawać głos, który może być zmanipulowany co daje wynik wyborów z góry ustawiony.","Jeśli sprawa nie będzie wyjaśniona ludzie nie pójdą na następne wybory bo po co oddawać głos, który może być zmanipulowany co daje wynik wyborów z góry ustawiony.",,,,0,0,0,162,27,1.0,średni,51,0.9700158316983613
28.0,nightman1746014,"To może tak organizujmy wybory i powtarzajmy, aż nie wygra ten jedyny właściwy kandydat @trzaskowski_ . Demokracja jest wtedy jak wygrywa ten którego chcemy - w przeciwnym wypadku powtórka. Mechanizmy chyba znany-nie było tak ostatnio z jakimiś sędziami przydzielanymi do spraw?",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"To może tak organizujmy wybory i powtarzajmy, aż nie wygra ten jedyny właściwy kandydat . Demokracja jest wtedy jak wygrywa ten którego chcemy - w przeciwnym wypadku powtórka. Mechanizmy chyba znany-nie było tak ostatnio z jakimiś sędziami przydzielanymi do spraw?","To może tak organizujmy wybory i powtarzajmy, aż nie wygra ten jedyny właściwy kandydat . Demokracja jest wtedy jak wygrywa ten którego chcemy - w przeciwnym wypadku powtórka. Mechanizmy chyba znany-nie było tak ostatnio z jakimiś sędziami przydzielanymi do spraw?",@trzaskowski_,,,1,0,0,264,40,0.0,niski,51,0.893530881449904
