id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
11.0,jonjonny19,Jesteśmy świadkami narodzin nowej sekty. Sekty wyborczej,0,0,0,0,30-06-25,2025-06-30,2025.0,6.0,30.0,0.0,Jesteśmy świadkami narodzin nowej sekty. Sekty wyborczej,Jesteśmy świadkami narodzin nowej sekty. Sekty wyborczej,,,,0,0,0,56,7,0.0,niski,52,0.9905636859940634
8.0,monikanowacka16,"Powiedzmy sobie jasno; za rok, 1 czerwca, będziemy obchodzić rocznicę skręconych wyborów i pana zapadnięcia się pod ziemię. Roz-czaro-wanie👎",0,0,0,0,01-09-25,2025-09-01,2025.0,9.0,1.0,0.0,"Powiedzmy sobie jasno; za rok, 1 czerwca, będziemy obchodzić rocznicę skręconych wyborów i pana zapadnięcia się pod ziemię. Roz-czaro-wanie👎","Powiedzmy sobie jasno; za rok, 1 czerwca, będziemy obchodzić rocznicę skręconych wyborów i pana zapadnięcia się pod ziemię. Roz-czaro-wanie👎",,,,0,0,0,140,19,0.0,niski,52,1.0
603.0,hipis_1,"Wybory już sie odbyły. Chyba, że to kampania ujadania pod te przyszłe do Sejmu.",0,0,0,0,"Jun 4, 2025 · 7:07 PM UTC",,,,,,"Wybory już sie odbyły. Chyba, że to kampania ujadania pod te przyszłe do Sejmu.","Wybory już sie odbyły. Chyba, że to kampania ujadania pod te przyszłe do Sejmu.",,,,0,0,0,79,14,0.0,niski,52,1.0
8.0,zabrze24info,Przedterminowe wybory w Zabrzu. Czas na kampanię i głosowanie jest wyjątkowo nieszczęśliwy - komentuje politolog. Więcej ⬇️ zabrze24.info/przedterminowe… #zabrze #zabrze24info #portal #wybory2025 #WyboryPrezydenckie2025 @UMZabrze,0,0,0,0,03-07-25,2025-07-03,2025.0,7.0,3.0,0.0,Przedterminowe wybory w Zabrzu. Czas na kampanię i głosowanie jest wyjątkowo nieszczęśliwy - komentuje politolog. Więcej ⬇️ zabrze24.info/przedterminowe… zabrze zabrze24info portal wybory2025 WyboryPrezydenckie2025,Przedterminowe wybory w Zabrzu. Czas na kampanię i głosowanie jest wyjątkowo nieszczęśliwy - komentuje politolog. Więcej ⬇️ zabrze24.info/przedterminowe…,@UMZabrze,#zabrze|#zabrze24info|#portal|#wybory2025|#WyboryPrezydenckie2025,,1,5,0,214,23,0.0,niski,52,1.0
2.0,etomaszek,Ty bardziej jak na jesieni będą wybory i koniec KO.,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Ty bardziej jak na jesieni będą wybory i koniec KO.,Ty bardziej jak na jesieni będą wybory i koniec KO.,,,,0,0,0,51,10,0.0,niski,52,1.0
912.0,mariuszderwisz,"A mocodawcy Mateckiego, już pewnie klepią kolejną apkę na kolejne wybory. Tym razem protokoły, z jedynie poprawnymi wynikami, będą już w minutę po OTWARCIU lokali wyborczych.",0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"A mocodawcy Mateckiego, już pewnie klepią kolejną apkę na kolejne wybory. Tym razem protokoły, z jedynie poprawnymi wynikami, będą już w minutę po OTWARCIU lokali wyborczych.","A mocodawcy Mateckiego, już pewnie klepią kolejną apkę na kolejne wybory. Tym razem protokoły, z jedynie poprawnymi wynikami, będą już w minutę po OTWARCIU lokali wyborczych.",,,,0,0,0,174,26,0.0,niski,52,1.0
913.0,fuksiarzpl,Wybory wcześniej niż myślisz? 🗳️ Typuj polityczny kalendarz i zgarnij freebet!,2,16,20,38,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,Wybory wcześniej niż myślisz? 🗳️ Typuj polityczny kalendarz i zgarnij freebet!,Wybory wcześniej niż myślisz? 🗳️ Typuj polityczny kalendarz i zgarnij freebet!,,,,0,0,0,78,11,0.8,wysoki,52,0.944728784336942
29.0,johnmadbot,"Warto dodać, że strona podróży wyborczych Giertycha wciąż działa! Domenę odnowili w zeszłym roku, więc jak widać czeka na następne wybory... podrozewyborcze.pl/",0,1,1,2,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Warto dodać, że strona podróży wyborczych Giertycha wciąż działa! Domenę odnowili w zeszłym roku, więc jak widać czeka na następne wybory...","Warto dodać, że strona podróży wyborczych Giertycha wciąż działa! Domenę odnowili w zeszłym roku, więc jak widać czeka na następne wybory...",,,podrozewyborcze.pl/,0,0,1,140,21,1.0,średni,52,0.9933930825014384
739.0,pablopaulpawel,"Dwie reguły na przyszłe wybory: 1. Głosować jak najpóźniej 2. Nie brać udziału w ankietach / kłamać w ankietach. Następne wybory są dla prawicy, nic tego nie zmieni.",0,6,1,7,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Dwie reguły na przyszłe wybory: 1. Głosować jak najpóźniej 2. Nie brać udziału w ankietach / kłamać w ankietach. Następne wybory są dla prawicy, nic tego nie zmieni.","Dwie reguły na przyszłe wybory: 1. Głosować jak najpóźniej 2. Nie brać udziału w ankietach / kłamać w ankietach. Następne wybory są dla prawicy, nic tego nie zmieni.",,,,0,0,0,165,28,6.0,wysoki,52,1.0
12.0,koneserunii,❗️THE END❗️ Premier już wie że w przyszłym roku będą nowe wybory.,0,7,5,12,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,❗️THE END❗️ Premier już wie że w przyszłym roku będą nowe wybory.,❗️THE END❗️ Premier już wie że w przyszłym roku będą nowe wybory.,,,,0,0,0,65,12,1.4,wysoki,52,1.0
