id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
4.0,szykom89,"Głos rozsądku, jakże teraz ważny, mądry i potrzebny: @pisorgpl #nawrocki #SfałszowaneWybory #Prezydent #WyboryPrezydenckie2025 #Prezydent2025 #PiS #PKW @prezydentpl #Wybory2025 @NawrockiKn",0,2,0,2,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,"Głos rozsądku, jakże teraz ważny, mądry i potrzebny: nawrocki SfałszowaneWybory Prezydent WyboryPrezydenckie2025 Prezydent2025 PiS PKW Wybory2025","Głos rozsądku, jakże teraz ważny, mądry i potrzebny:",@pisorgpl|@prezydentpl|@NawrockiKn,#nawrocki|#SfałszowaneWybory|#Prezydent|#WyboryPrezydenckie2025|#Prezydent2025|#PiS|#PKW|#Wybory2025,,3,8,0,145,16,2.0,średni,53,0.6725039131908048
160.0,ola29542806,Nie wierze XDD Ale to trzeba być niestabilnym #Wybory2025 #Nawrocki,0,0,0,0,"Jun 3, 2025 · 8:02 AM UTC",,,,,,Nie wierze XDD Ale to trzeba być niestabilnym Wybory2025 Nawrocki,Nie wierze XDD Ale to trzeba być niestabilnym,,#Wybory2025|#Nawrocki,,0,2,0,65,10,0.0,niski,53,0.8673944101750884
433.0,dudekpl4,Ta piosenka to będzie hit 2025 r.,11,169,23,203,"Jun 3, 2025 · 8:57 AM UTC",,,,,,Ta piosenka to będzie hit 2025 r.,Ta piosenka to będzie hit 2025 r.,,,,0,0,0,33,7,7.35,wysoki,53,1.0
16.0,snupek24,Pójdźmy o krok dalej unieważni wybory które odbędą się za 5 lat. Tak dla waszej pewności 😂,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Pójdźmy o krok dalej unieważni wybory które odbędą się za 5 lat. Tak dla waszej pewności 😂,Pójdźmy o krok dalej unieważni wybory które odbędą się za 5 lat. Tak dla waszej pewności 😂,,,,0,0,0,90,17,0.0,niski,53,0.6381185702830297
299.0,korpo_boss,"Koalicjanci nie odpuszczą swoich obecnych stanowisk, więc tylko wybory 2027 mogą pomóc.. Pytanie tylko jak te wybory będą wyglądały",0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Koalicjanci nie odpuszczą swoich obecnych stanowisk, więc tylko wybory 2027 mogą pomóc.. Pytanie tylko jak te wybory będą wyglądały","Koalicjanci nie odpuszczą swoich obecnych stanowisk, więc tylko wybory 2027 mogą pomóc.. Pytanie tylko jak te wybory będą wyglądały",,,,0,0,0,131,19,0.0,niski,53,0.8403003146631747
69.0,renata512339531,"Panie Duda, chce pan byśmy domagali się przeliczenia głosów z wyborów 2020? To jest do załatwienia!",2,142,32,176,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Panie Duda, chce pan byśmy domagali się przeliczenia głosów z wyborów 2020? To jest do załatwienia!","Panie Duda, chce pan byśmy domagali się przeliczenia głosów z wyborów 2020? To jest do załatwienia!",,,,0,0,0,99,16,4.44,wysoki,53,0.6891947456372333
26.0,spodlasku,"Plus Pegazus....to było już wtedy oczywiste, że skręcili wybory w 2020. Rozzuchwaleni brakiem reakcji, a co za tym idzie poszzli dalej",0,16,4,20,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,"Plus Pegazus....to było już wtedy oczywiste, że skręcili wybory w 2020. Rozzuchwaleni brakiem reakcji, a co za tym idzie poszzli dalej","Plus Pegazus....to było już wtedy oczywiste, że skręcili wybory w 2020. Rozzuchwaleni brakiem reakcji, a co za tym idzie poszzli dalej",,,,0,0,0,134,21,4.0,wysoki,53,0.8299543728857967
279.0,rafalpytko,Ja nie widziałem takiego oświadczenia w 2023,0,0,0,0,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,Ja nie widziałem takiego oświadczenia w 2023,Ja nie widziałem takiego oświadczenia w 2023,,,,0,0,0,44,7,0.0,niski,53,0.6024851555108232
8.0,szabadsag1956,Who would you vote for in 2025? 🇩🇪 CDU 🇨🇦 Conservative 🇪🇨 Noboa 🇦🇺 Labor 🇷🇴 Dan 🇵🇹 AD 🇵🇱 Trzaskowski 🇰🇷 Kim Moon-soo 🇧🇴 Doria Medina/Quiroga 🇨🇿 SPOLU 🇲🇩 PAS 🇳🇱 VVD 🇦🇷 LLA 🇨🇱 Matthei,1,0,1,2,22-08-25,2025-08-22,2025.0,8.0,22.0,0.0,Who would you vote for in 2025? 🇩🇪 CDU 🇨🇦 Conservative 🇪🇨 Noboa 🇦🇺 Labor 🇷🇴 Dan 🇵🇹 AD 🇵🇱 Trzaskowski 🇰🇷 Kim Moon-soo 🇧🇴 Doria Medina/Quiroga 🇨🇿 SPOLU 🇲🇩 PAS 🇳🇱 VVD 🇦🇷 LLA 🇨🇱 Matthei,Who would you vote for in 2025? 🇩🇪 CDU 🇨🇦 Conservative 🇪🇨 Noboa 🇦🇺 Labor 🇷🇴 Dan 🇵🇹 AD 🇵🇱 Trzaskowski 🇰🇷 Kim Moon-soo 🇧🇴 Doria Medina/Quiroga 🇨🇿 SPOLU 🇲🇩 PAS 🇳🇱 VVD 🇦🇷 LLA 🇨🇱 Matthei,,,,0,0,0,181,37,0.0,wysoki,53,0.7368388818937778
11.0,magorza60450178,czy mozna wiedziec kiedy mniej wiecej w 2026? w pierwszej czy drugiej polowie roku?,0,0,0,0,11-09-25,2025-09-11,2025.0,9.0,11.0,0.0,czy mozna wiedziec kiedy mniej wiecej w 2026? w pierwszej czy drugiej polowie roku?,czy mozna wiedziec kiedy mniej wiecej w 2026? w pierwszej czy drugiej polowie roku?,,,,0,0,0,83,14,0.0,niski,53,0.7626764629887922
